Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,80.068217,[ 9 38] ; [261  61],[34.3902439 12.6097561] ; [235.6097561  86.3902439],1
r3,1,0.0,71.177606,[31 15] ; [318   6],[43.38918919  2.61081081] ; [305.61081081  18.38918919],1
r2,1,0.0,65.917743,[28 17] ; [310  11],[41.55737705  3.44262295] ; [296.44262295  24.55737705],1
v4,1,0.0,51.031135,[31 14] ; [314  10],[42.07317073  2.92682927] ; [302.92682927  21.07317073],1
n6,1,6.2e-05,16.036896,[29 19] ; [273  50],[39.07277628  8.92722372] ; [262.92722372  60.07277628],1
p11,1,7.1e-05,15.794607,[31 17] ; [282  42],[40.38709677  7.61290323] ; [272.61290323  51.38709677],1
b1,1,0.000102,15.108031,[28 20] ; [ 97 227],[16.12903226 31.87096774] ; [108.87096774 215.12903226],1
a6,1,0.000123,14.748488,[22 26] ; [237  87],[33.41935484 14.58064516] ; [225.58064516  98.41935484],1
a1,1,0.000371,12.671104,[ 7 41] ; [ 10 314],[ 2.19354839 45.80645161] ; [ 14.80645161 309.19354839],1
p10,1,0.000395,12.55625,[33 12] ; [295  29],[40.  5.] ; [288.  36.],1
d4,1,0.001335,10.292974,[30 18] ; [267  57],[38.32258065  9.67741935] ; [258.67741935  65.32258065],0
d1,1,0.002693,9.00456,[16 32] ; [183 141],[25.67741935 22.32258065] ; [173.32258065 150.67741935],0
a7,1,0.003069,8.766121,[27 21] ; [246  76],[35.41621622 12.58378378] ; [237.58378378  84.41621622],0
d5,1,0.004011,8.278887,[30 18] ; [261  62],[37.64959569 10.35040431] ; [253.35040431  69.64959569],0
n4,1,0.005416,7.73501,[25 23] ; [233  91],[33.29032258 14.70967742] ; [224.70967742  99.29032258],0
a5,1,0.005625,7.66667,[24 24] ; [227  97],[32.38709677 15.61290323] ; [218.61290323 105.38709677],0
u3,1,0.005814,7.607023,[ 6 18] ; [67 53],[12.16666667 11.83333333] ; [60.83333333 59.16666667],0
p8,1,0.007012,7.269886,[15 32] ; [169 150],[23.6284153 23.3715847] ; [160.3715847 158.6284153],0
v2,1,0.008651,6.893469,[15 29] ; [169 137],[23.13142857 20.86857143] ; [160.86857143 145.13142857],0
d3,1,0.014514,5.974566,[24 23] ; [223 100],[31.37567568 15.62432432] ; [215.62432432 107.37567568],0
s6,1,0.017355,5.660117,[17 30] ; [173 143],[24.60055096 22.39944904] ; [165.39944904 150.60055096],0
s8,1,0.023464,5.133837,[ 4 44] ; [ 73 251],[ 9.93548387 38.06451613] ; [ 67.06451613 256.93548387],0
p7,1,0.028908,4.773103,[19 26] ; [189 129],[25.78512397 19.21487603] ; [182.21487603 135.78512397],0
n5,1,0.051475,3.792738,[27 20] ; [230  92],[32.73441734 14.26558266] ; [224.26558266  97.73441734],0
v3,1,0.055593,3.664208,[ 9 37] ; [104 205],[14.64225352 31.35774648] ; [ 98.35774648 210.64225352],0
p4,1,0.057803,3.599333,[18 29] ; [171 151],[24.07317073 22.92682927] ; [164.92682927 157.07317073],0
b2,1,0.062223,3.477121,[ 4 20] ; [ 62 111],[ 8.04060914 15.95939086] ; [ 57.95939086 115.04060914],0
b3,1,0.062223,3.477121,[ 4 20] ; [ 62 111],[ 8.04060914 15.95939086] ; [ 57.95939086 115.04060914],0
p6,1,0.070035,3.282196,[ 8 38] ; [ 97 223],[13.19672131 32.80327869] ; [ 91.80327869 228.19672131],0
a3,1,0.07429,3.185598,[23 24] ; [202 121],[28.58108108 18.41891892] ; [196.41891892 126.58108108],0
p2,1,0.085836,2.950775,[33 11] ; [275  48],[36.92643052  7.07356948] ; [271.07356948  51.92643052],0
p1,1,0.122886,2.380151,[ 6 41] ; [ 21 302],[ 3.42972973 43.57027027] ; [ 23.57027027 299.42972973],0
a2,1,0.130975,2.280911,[ 5 43] ; [ 63 261],[ 8.77419355 39.22580645] ; [ 59.22580645 264.77419355],0
n2,1,0.138792,2.191304,[9 6] ; [54 15],[11.25  3.75] ; [51.75 17.25],0
s1,1,0.139055,2.188391,[ 2 46] ; [  4 314],[ 0.78688525 47.21311475] ; [  5.21311475 312.78688525],0
s5,1,0.142783,2.147706,[ 7 40] ; [ 76 233],[10.95786517 36.04213483] ; [ 72.04213483 236.95786517],0
p3,1,0.185099,1.756205,[15 31] ; [139 185],[19.14594595 26.85405405] ; [134.85405405 189.14594595],0
u2,1,0.211518,1.561004,[10 15] ; [65 56],[12.84246575 12.15753425] ; [62.15753425 58.84246575],0
p12,1,0.214057,1.543772,[ 1 46] ; [ 22 301],[ 2.92162162 44.07837838] ; [ 20.07837838 302.92162162],0
a4,1,0.233027,1.422288,[16 32] ; [137 186],[19.79514825 28.20485175] ; [133.20485175 189.79514825],0
