Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,67.431038,[ 29 107] ; [72 23],[59.46320346 76.53679654] ; [41.53679654 53.46320346],1
s2,1,0.0,42.876707,[44 97] ; [74 26],[69.0373444 71.9626556] ; [48.9626556 51.0373444],1
s6,1,0.0,32.394052,[78 63] ; [88 10],[97.93305439 43.06694561] ; [68.06694561 29.93305439],1
s3,1,0.0,26.636822,[54 87] ; [72 28],[73.71784232 67.28215768] ; [52.28215768 47.71784232],1
s5,1,4.7e-05,16.579829,[ 38 103] ; [50 44],[52.8 88.2] ; [35.2 58.8],1
p6,1,7.7e-05,15.640927,[40 96] ; [54 44],[54.63247863 81.36752137] ; [39.36752137 58.63247863],1
d2,1,0.000662,11.594295,[50 93] ; [57 43],[62.96707819 80.03292181] ; [44.03292181 55.96707819],1
p7,1,0.000831,11.170987,[76 63] ; [73 23],[88.13191489 50.86808511] ; [60.86808511 35.13191489],1
p9,1,0.001456,10.133711,[113  27] ; [94  5],[121.25523013  18.74476987] ; [85.74476987 13.25523013],0
p10,1,0.003201,8.689339,[106  34] ; [88  9],[114.59915612  25.40084388] ; [79.40084388 17.59915612],0
a8,1,0.008772,6.868687,[ 13 119] ; [20 68],[ 19.8 112.2] ; [13.2 74.8],0
u1,1,0.031279,4.637558,[ 19 124] ; [24 76],[ 25.30452675 117.69547325] ; [17.69547325 82.30452675],0
r3,1,0.033259,4.532412,[129  12] ; [98  2],[132.80912863   8.19087137] ; [94.19087137  5.80912863],0
v4,1,0.034689,4.460431,[129  12] ; [97  2],[132.775   8.225] ; [93.225  5.775],0
p4,1,0.036177,4.388765,[77 65] ; [67 32],[84.84647303 57.15352697] ; [59.15352697 39.84647303],0
a5,1,0.039378,4.244489,[99 44] ; [81 19],[105.92592593  37.07407407] ; [74.07407407 25.92592593],0
s4,1,0.039562,4.236588,[ 23 118] ; [27 72],[ 29.375 111.625] ; [20.625 78.375],0
b5,1,0.043921,4.059615,[85 58] ; [72 28],[92.3909465 50.6090535] ; [64.6090535 35.3909465],0
