Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.032109,4.592663,[2 3] ; [ 3 36],[0.56818182 4.43181818] ; [ 4.43181818 34.56818182],0
s7,1,0.04729,3.935049,[2 2] ; [ 4 30],[0.63157895 3.36842105] ; [ 5.36842105 28.63157895],0
n1,1,0.061587,3.494118,[3 2] ; [ 3 14],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
p8,1,0.123142,2.376896,[3 2] ; [10 28],[1.51162791 3.48837209] ; [11.48837209 26.51162791],0
p11,1,0.124883,2.354982,[4 1] ; [17 22],[2.38636364 2.61363636] ; [18.61363636 20.38636364],0
d5,1,0.154143,2.030769,[1 4] ; [21 18],[2.5 2.5] ; [19.5 19.5],0
a3,1,0.169991,1.883026,[4 1] ; [18 20],[2.55813953 2.44186047] ; [19.44186047 18.55813953],0
b5,1,0.187351,1.738324,[1 4] ; [20 19],[2.38636364 2.61363636] ; [18.61363636 20.38636364],0
r1,1,0.194221,1.685305,[3 2] ; [12 27],[1.70454545 3.29545455] ; [13.29545455 25.70454545],0
p4,1,0.243208,1.361905,[3 2] ; [13 26],[1.81818182 3.18181818] ; [14.18181818 24.81818182],0
b4,1,0.266328,1.235563,[4 1] ; [21 18],[2.84090909 2.15909091] ; [22.15909091 16.84090909],0
n3,1,0.279353,1.170236,[4 1] ; [9 8],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
b1,1,0.297375,1.085928,[2 3] ; [25 14],[3.06818182 1.93181818] ; [23.93181818 15.06818182],0
r3,1,0.341921,0.903215,[4 1] ; [22 16],[3.02325581 1.97674419] ; [22.97674419 15.02325581],0
n5,1,0.363325,0.826367,[4 1] ; [23 16],[3.06818182 1.93181818] ; [23.93181818 15.06818182],0
a6,1,0.363325,0.826367,[1 4] ; [16 23],[1.93181818 3.06818182] ; [15.06818182 23.93181818],0
p7,1,0.363325,0.826367,[1 4] ; [16 23],[1.93181818 3.06818182] ; [15.06818182 23.93181818],0
p1,1,0.367439,0.812308,[1 4] ; [ 3 36],[0.45454545 4.54545455] ; [ 3.54545455 35.45454545],0
s1,1,0.367439,0.812308,[1 4] ; [ 3 36],[0.45454545 4.54545455] ; [ 3.54545455 35.45454545],0
a2,1,0.367439,0.812308,[1 4] ; [ 3 36],[0.45454545 4.54545455] ; [ 3.54545455 35.45454545],0
p9,1,0.422608,0.643051,[3 1] ; [20 17],[2.24390244 1.75609756] ; [20.75609756 16.24390244],0
d2,1,0.497305,0.460684,[2 3] ; [10 29],[1.36363636 3.63636364] ; [10.63636364 28.36363636],0
v1,1,0.497305,0.460684,[2 3] ; [10 29],[1.36363636 3.63636364] ; [10.63636364 28.36363636],0
s4,1,0.518074,0.417725,[1 4] ; [ 4 35],[0.56818182 4.43181818] ; [ 4.43181818 34.56818182],0
v2,1,0.546711,0.363243,[2 3] ; [10 27],[1.42857143 3.57142857] ; [10.57142857 26.42857143],0
v4,1,0.559504,0.340564,[2 3] ; [21 18],[2.61363636 2.38636364] ; [20.38636364 18.61363636],0
n4,1,0.559504,0.340564,[3 2] ; [18 21],[2.38636364 2.61363636] ; [18.61363636 20.38636364],0
a7,1,0.713292,0.135011,[2 3] ; [19 20],[2.38636364 2.61363636] ; [18.61363636 20.38636364],0
p3,1,0.760918,0.092584,[1 4] ; [10 28],[1.27906977 3.72093023] ; [ 9.72093023 28.27906977],0
a4,1,0.76717,0.087663,[2 3] ; [13 26],[1.70454545 3.29545455] ; [13.29545455 25.70454545],0
a5,1,0.794727,0.067692,[2 3] ; [18 21],[2.27272727 2.72727273] ; [17.72727273 21.27272727],0
b2,1,0.846085,0.037681,[1 2] ; [ 9 14],[1.15384615 1.84615385] ; [ 8.84615385 14.15384615],0
b3,1,0.846085,0.037681,[1 2] ; [ 9 14],[1.15384615 1.84615385] ; [ 8.84615385 14.15384615],0
d3,1,0.857514,0.032234,[2 3] ; [14 25],[1.81818182 3.18181818] ; [14.18181818 24.81818182],0
d1,1,0.877162,0.023891,[1 4] ; [ 9 30],[1.13636364 3.86363636] ; [ 8.86363636 30.13636364],0
p2,1,0.87874,0.023277,[3 2] ; [22 17],[2.84090909 2.15909091] ; [22.15909091 16.84090909],0
d4,1,0.964972,0.001929,[3 2] ; [23 16],[2.95454545 2.04545455] ; [23.04545455 15.95454545],0
