Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.34227,[290 323] ; [90 36],[315.2097429 297.7902571] ; [64.7902571 61.2097429],1
s5,1,2e-06,22.708696,[188 412] ; [64 54],[210.58495822 389.41504178] ; [41.41504178 76.58495822],1
s6,1,2e-06,22.592045,[392 216] ; [107  17],[414.46994536 193.53005464] ; [84.53005464 39.46994536],1
s3,1,0.000106,15.02865,[316 291] ; [90 37],[335.7520436 271.2479564] ; [70.2479564 56.7520436],1
n4,1,0.001015,10.799603,[507 108] ; [90 39],[493.48790323 121.51209677] ; [103.51209677  25.48790323],0
a8,1,0.002175,9.395684,[ 87 470] ; [  6 114],[ 76.5155096 480.4844904] ; [ 16.4844904 103.5155096],0
b3,1,0.00261,9.061566,[161 224] ; [15 52],[149.91150442 235.08849558] ; [26.08849558 40.91150442],0
b2,1,0.00261,9.061566,[161 224] ; [15 52],[149.91150442 235.08849558] ; [26.08849558 40.91150442],0
v3,1,0.01368,6.078996,[258 337] ; [40 87],[245.58171745 349.41828255] ; [52.41828255 74.58171745],0
v2,1,0.033924,4.498522,[346 247] ; [60 65],[335.31754875 257.68245125] ; [70.68245125 54.31754875],0
p2,1,0.054623,3.693555,[521  91] ; [101  28],[513.71659919  98.28340081] ; [108.28340081  20.71659919],0
s7,1,0.057406,3.610775,[290 297] ; [74 52],[299.67461431 287.32538569] ; [64.32538569 61.67461431],0
p11,1,0.066357,3.370924,[502 114] ; [96 33],[494.45369128 121.54630872] ; [103.54630872  25.45369128],0
v1,1,0.079142,3.082434,[333 264] ; [61 68],[323.99173554 273.00826446] ; [70.00826446 58.99173554],0
d3,1,0.088285,2.905368,[414 201] ; [96 32],[422.13997308 192.86002692] ; [87.86002692 40.13997308],0
u2,1,0.096525,2.762038,[96 80] ; [16 24],[91.25925926 84.74074074] ; [20.74074074 19.25925926],0
u4,1,0.181937,1.781732,[ 17 599] ; [  1 128],[ 14.88322148 601.11677852] ; [  3.11677852 125.88322148],0
n5,1,0.19291,1.695255,[493 121] ; [97 32],[487.56393001 126.43606999] ; [102.43606999  26.56393001],0
s8,1,0.244567,1.354075,[274 338] ; [65 64],[279.98380567 332.01619433] ; [59.01619433 69.98380567],0
p5,1,0.251901,1.312728,[ 79 531] ; [ 12 117],[ 75.1150203 534.8849797] ; [ 15.8849797 113.1150203],0
n1,1,0.272268,1.205285,[52 83] ; [ 9 23],[49.31137725 85.68862275] ; [11.68862275 20.31137725],0
a6,1,0.276337,1.185016,[416 198] ; [81 48],[410.71063257 203.28936743] ; [86.28936743 42.71063257],0
s1,1,0.317382,0.999704,[ 18 590] ; [  6 122],[ 19.82608696 588.17391304] ; [  4.17391304 123.82608696],0
