Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.2e-05,19.090909,[ 7 26] ; [21  6],[15.4 17.6] ; [12.6 14.4],1
p3,1,0.00011,14.964407,[ 2 33] ; [13 14],[ 8.46774194 26.53225806] ; [ 6.53225806 20.46774194],1
s3,1,0.000254,13.38386,[ 8 26] ; [19  8],[15.04918033 18.95081967] ; [11.95081967 15.04918033],1
p2,1,0.000481,12.188664,[13 22] ; [22  5],[19.75806452 15.24193548] ; [15.24193548 11.75806452],1
r3,1,0.000637,11.664613,[16 18] ; [24  3],[22.29508197 11.70491803] ; [17.70491803  9.29508197],1
s6,1,0.001341,10.285714,[ 8 27] ; [16  9],[14. 21.] ; [10. 15.],0
s2,1,0.001531,10.040838,[ 6 29] ; [15 12],[11.85483871 23.14516129] ; [ 9.14516129 17.85483871],0
r4,1,0.002112,9.449392,[15 20] ; [22  5],[20.88709677 14.11290323] ; [16.11290323 10.88709677],0
s5,1,0.002777,8.948629,[ 1 33] ; [ 8 18],[ 5.1 28.9] ; [ 3.9 22.1],0
s8,1,0.003222,8.677433,[ 4 31] ; [12 15],[ 9.03225806 25.96774194] ; [ 6.96774194 20.03225806],0
s7,1,0.006576,7.385234,[ 6 27] ; [13 12],[10.81034483 22.18965517] ; [ 8.18965517 16.81034483],0
b3,1,0.007308,7.195724,[ 9 10] ; [ 1 15],[ 5.42857143 13.57142857] ; [ 4.57142857 11.42857143],0
b2,1,0.007308,7.195724,[ 9 10] ; [ 1 15],[ 5.42857143 13.57142857] ; [ 4.57142857 11.42857143],0
n6,1,0.026185,4.943745,[17 17] ; [21  6],[21.18032787 12.81967213] ; [16.81967213 10.18032787],0
n3,1,0.027012,4.890046,[7 9] ; [8 1],[9.6 6.4] ; [5.4 3.6],0
v2,1,0.030626,4.673791,[ 5 27] ; [11 16],[ 8.6779661 23.3220339] ; [ 7.3220339 19.6779661],0
a5,1,0.043682,4.068818,[13 22] ; [17 10],[16.93548387 18.06451613] ; [13.06451613 13.93548387],0
d5,1,0.124032,2.365651,[11 23] ; [14 13],[13.93442623 20.06557377] ; [11.06557377 15.93442623],0
s4,1,0.138458,2.195018,[ 4 31] ; [ 7 20],[ 6.20967742 28.79032258] ; [ 4.79032258 22.20967742],0
p10,1,0.146583,2.107453,[10 22] ; [13 13],[12.68965517 19.31034483] ; [10.31034483 15.68965517],0
v4,1,0.146644,2.106818,[22 12] ; [22  5],[24.52459016  9.47540984] ; [19.47540984  7.52459016],0
b1,1,0.154209,2.030113,[17 18] ; [18  9],[19.75806452 15.24193548] ; [15.24193548 11.75806452],0
a7,1,0.157385,1.999177,[16 17] ; [18  9],[18.7 14.3] ; [15.3 11.7],0
v1,1,0.195258,1.677489,[10 25] ; [12 15],[12.41935484 22.58064516] ; [ 9.58064516 17.41935484],0
u3,1,0.198674,1.652098,[ 7 15] ; [7 6],[ 8.8 13.2] ; [5.2 7.8],0
r2,1,0.210189,1.570125,[26  8] ; [24  3],[27.86885246  6.13114754] ; [22.13114754  4.86885246],0
d3,1,0.270912,1.212121,[ 9 24] ; [11 16],[11. 22.] ; [ 9. 18.],0
n4,1,0.299365,1.077023,[24 10] ; [15 11],[22.1 11.9] ; [16.9  9.1],0
b4,1,0.324447,0.970934,[16 19] ; [ 9 18],[14.11290323 20.88709677] ; [10.88709677 16.11290323],0
r1,1,0.329662,0.950226,[14 20] ; [14 12],[15.86666667 18.13333333] ; [12.13333333 13.86666667],0
a3,1,0.334552,0.931197,[13 20] ; [14 13],[14.85 18.15] ; [12.15 14.85],0
n5,1,0.345009,0.891731,[26  8] ; [17  9],[24.36666667  9.63333333] ; [18.63333333  7.36666667],0
d2,1,0.399597,0.70954,[ 6 29] ; [ 7 20],[ 7.33870968 27.66129032] ; [ 5.66129032 21.33870968],0
p9,1,0.429692,0.623656,[14 17] ; [15 12],[15.5 15.5] ; [13.5 13.5],0
a2,1,0.43905,0.598764,[ 2 33] ; [ 3 24],[ 2.82258065 32.17741935] ; [ 2.17741935 24.82258065],0
a8,1,0.440973,0.59375,[ 4 28] ; [ 5 20],[ 5.05263158 26.94736842] ; [ 3.94736842 21.05263158],0
p8,1,0.529735,0.394899,[ 8 26] ; [ 8 18],[ 9.06666667 24.93333333] ; [ 6.93333333 19.06666667],0
n1,1,0.573025,0.317647,[ 6 12] ; [4 5],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
n2,1,0.579639,0.306818,[10  8] ; [6 3],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
u2,1,0.58018,0.305944,[ 7 15] ; [ 3 10],[ 6.28571429 15.71428571] ; [3.71428571 9.28571429],0
p6,1,0.667574,0.184453,[ 7 26] ; [ 7 20],[ 7.7 25.3] ; [ 6.3 20.7],0
v3,1,0.690257,0.158807,[ 8 24] ; [ 8 19],[ 8.6779661 23.3220339] ; [ 7.3220339 19.6779661],0
p1,1,0.7116,0.136684,[ 5 30] ; [ 3 24],[ 4.51612903 30.48387097] ; [ 3.48387097 23.51612903],0
a6,1,0.797842,0.065608,[17 18] ; [14 13],[17.5 17.5] ; [13.5 13.5],0
b5,1,0.848967,0.036266,[19 16] ; [14 13],[18.62903226 16.37096774] ; [14.37096774 12.62903226],0
d1,1,0.851614,0.034991,[ 1 34] ; [ 1 26],[ 1.12903226 33.87096774] ; [ 0.87096774 26.12903226],0
s1,1,0.875164,0.024681,[ 3 31] ; [ 2 24],[ 2.83333333 31.16666667] ; [ 2.16666667 23.83333333],0
a4,1,0.92993,0.007732,[ 6 28] ; [ 5 22],[ 6.13114754 27.86885246] ; [ 4.86885246 22.13114754],0
