Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,26.822018,[90 17] ; [ 8 16],[80.04580153 26.95419847] ; [17.95419847  6.04580153],1
d3,1,1.6e-05,18.623082,[77 30] ; [ 6 18],[67.79389313 39.20610687] ; [15.20610687  8.79389313],1
r3,1,0.000392,12.56829,[103   4] ; [18  6],[98.83206107  8.16793893] ; [22.16793893  1.83206107],1
d2,1,0.001994,9.554797,[55 52] ; [ 4 20],[48.19083969 58.80916031] ; [10.80916031 13.19083969],0
v2,1,0.004764,7.967088,[83 23] ; [12 12],[77.46153846 28.53846154] ; [17.53846154  6.46153846],0
p2,1,0.011216,6.430771,[77 29] ; [11 13],[71.75384615 34.24615385] ; [16.24615385  7.75384615],0
p1,1,0.01507,5.908209,[  6 101] ; [ 5 19],[ 8.98473282 98.01526718] ; [ 2.01526718 21.98473282],0
a4,1,0.035425,4.424566,[52 55] ; [ 6 18],[47.3740458 59.6259542] ; [10.6259542 13.3740458],0
s1,1,0.040537,4.195264,[ 5 99] ; [ 4 20],[ 7.3125 96.6875] ; [ 1.6875 22.3125],0
a3,1,0.090213,2.870575,[80 26] ; [14 10],[76.64615385 29.35384615] ; [17.35384615  6.64615385],0
p7,1,0.105819,2.615583,[54 47] ; [ 8 15],[50.5 50.5] ; [11.5 11.5],0
n5,1,0.120306,2.413339,[72 35] ; [20  4],[75.14503817 31.85496183] ; [16.85496183  7.14503817],0
n6,1,0.128554,2.309883,[90 17] ; [17  7],[87.39694656 19.60305344] ; [19.60305344  4.39694656],0
a2,1,0.138083,2.199195,[23 84] ; [ 2 22],[20.41984733 86.58015267] ; [ 4.58015267 19.41984733],0
u1,1,0.155272,2.019678,[16 91] ; [ 1 23],[13.88549618 93.11450382] ; [ 3.11450382 20.88549618],0
u2,1,0.166439,1.914725,[17  9] ; [4 6],[15.16666667 10.83333333] ; [5.83333333 4.16666667],0
s8,1,0.174941,1.840089,[52 55] ; [ 8 16],[49.00763359 57.99236641] ; [10.99236641 13.00763359],0
p5,1,0.205547,1.602516,[  3 103] ; [ 2 22],[  4.07692308 101.92307692] ; [ 0.92307692 23.07692308],0
v4,1,0.227643,1.455528,[101   6] ; [21  3],[99.64885496  7.35114504] ; [22.35114504  1.64885496],0
b4,1,0.301074,1.069431,[70 37] ; [13 11],[67.79389313 39.20610687] ; [15.20610687  8.79389313],0
a5,1,0.310384,1.02904,[78 29] ; [15  9],[75.96183206 31.03816794] ; [17.03816794  6.96183206],0
s3,1,0.34426,0.894502,[53 53] ; [14  9],[55.05426357 50.94573643] ; [11.94573643 11.05426357],0
a7,1,0.359531,0.83953,[77 30] ; [15  9],[75.14503817 31.85496183] ; [16.85496183  7.14503817],0
p11,1,0.361541,0.832533,[81 26] ; [16  8],[79.22900763 27.77099237] ; [17.77099237  6.22900763],0
s5,1,0.363082,0.827206,[21 81] ; [ 7 17],[22.66666667 79.33333333] ; [ 5.33333333 18.66666667],0
p8,1,0.369401,0.805678,[33 70] ; [10 14],[34.87401575 68.12598425] ; [ 8.12598425 15.87401575],0
n4,1,0.372156,0.796453,[80 27] ; [20  4],[81.67938931 25.32061069] ; [18.32061069  5.67938931],0
a8,1,0.420605,0.648624,[15 84] ; [ 2 21],[13.79508197 85.20491803] ; [ 3.20491803 19.79508197],0
r1,1,0.549904,0.35749,[82 25] ; [17  7],[80.86259542 26.13740458] ; [18.13740458  5.86259542],0
p3,1,0.553884,0.350404,[33 73] ; [ 6 18],[31.8 74.2] ; [ 7.2 16.8],0
a6,1,0.593847,0.284377,[68 38] ; [14 10],[66.86153846 39.13846154] ; [15.13846154  8.86153846],0
b1,1,0.633034,0.227969,[39 68] ; [10 14],[40.02290076 66.97709924] ; [ 8.97709924 15.02290076],0
b5,1,0.633034,0.227969,[68 39] ; [14 10],[66.97709924 40.02290076] ; [15.02290076  8.97709924],0
u3,1,0.658725,0.195076,[14 13] ; [6 4],[14.59459459 12.40540541] ; [5.40540541 4.59459459],0
s6,1,0.680368,0.169712,[66 39] ; [14 10],[65.11627907 39.88372093] ; [14.88372093  9.11627907],0
s7,1,0.698919,0.149599,[51 51] ; [10 12],[50.17741935 51.82258065] ; [10.82258065 11.17741935],0
n1,1,0.753905,0.098279,[ 7 21] ; [1 2],[ 7.22580645 20.77419355] ; [0.77419355 2.22580645],0
s4,1,0.757736,0.095145,[16 91] ; [ 3 21],[15.51908397 91.48091603] ; [ 3.48091603 20.51908397],0
p6,1,0.771743,0.084155,[19 85] ; [ 5 19],[19.5 84.5] ; [ 4.5 19.5],0
s2,1,0.806454,0.060027,[52 55] ; [11 13],[51.45801527 55.54198473] ; [11.54198473 12.45801527],0
r4,1,0.832951,0.044487,[91 16] ; [20  4],[90.66412214 16.33587786] ; [20.33587786  3.66412214],0
a1,1,0.876507,0.024149,[10 97] ; [ 2 22],[ 9.80152672 97.19847328] ; [ 2.19847328 21.80152672],0
p10,1,0.883212,0.021579,[81 25] ; [18  6],[80.72307692 25.27692308] ; [18.27692308  5.72307692],0
v1,1,0.92416,0.009062,[58 47] ; [13 11],[57.79069767 47.20930233] ; [13.20930233 10.79069767],0
b3,1,0.924216,0.009049,[21 37] ; [ 6 10],[21.16216216 36.83783784] ; [ 5.83783784 10.16216216],0
b2,1,0.924216,0.009049,[21 37] ; [ 6 10],[21.16216216 36.83783784] ; [ 5.83783784 10.16216216],0
p9,1,0.972325,0.001204,[82 22] ; [19  5],[82.0625 21.9375] ; [18.9375  5.0625],0
