Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000113,14.908722,[52  6] ; [8 9],[46.4 11.6] ; [13.6  3.4],1
a5,1,0.000538,11.979333,[46 12] ; [ 6 11],[40.21333333 17.78666667] ; [11.78666667  5.21333333],1
v4,1,0.000777,11.295639,[55  3] ; [11  6],[51.04  6.96] ; [14.96  2.04],1
d1,1,0.001958,9.588777,[35 23] ; [ 3 14],[29.38666667 28.61333333] ; [8.61333333 8.38666667],0
v2,1,0.005889,7.584082,[41 16] ; [ 6 11],[36.2027027 20.7972973] ; [10.7972973  6.2027027],0
s8,1,0.005897,7.58143,[28 29] ; [ 2 15],[23.10810811 33.89189189] ; [ 6.89189189 10.10810811],0
s6,1,0.013803,6.063158,[42 15] ; [6 9],[38. 19.] ; [10.  5.],0
d4,1,0.023144,5.157668,[49  9] ; [10  7],[45.62666667 12.37333333] ; [13.37333333  3.62666667],0
r3,1,0.026105,4.949032,[51  7] ; [11  6],[47.94666667 10.05333333] ; [14.05333333  2.94666667],0
s7,1,0.029504,4.737958,[27 23] ; [ 4 13],[23.13432836 26.86567164] ; [7.86567164 9.13432836],0
d5,1,0.038187,4.296664,[48 10] ; [10  7],[44.85333333 13.14666667] ; [13.14666667  3.85333333],0
p4,1,0.057696,3.602398,[32 23] ; [ 5 11],[28.66197183 26.33802817] ; [8.33802817 7.66197183],0
a4,1,0.069655,3.291134,[28 30] ; [ 4 13],[24.74666667 33.25333333] ; [7.25333333 9.74666667],0
p6,1,0.075439,3.160519,[20 36] ; [ 2 14],[17.11111111 38.88888889] ; [ 4.88888889 11.11111111],0
s2,1,0.076983,3.127469,[34 23] ; [ 6 11],[30.81081081 26.18918919] ; [9.18918919 7.81081081],0
d2,1,0.090012,2.874167,[34 24] ; [ 6 11],[30.93333333 27.06666667] ; [9.06666667 7.93333333],0
p3,1,0.09281,2.82494,[26 30] ; [ 4 13],[23.01369863 32.98630137] ; [ 6.98630137 10.01369863],0
a2,1,0.114113,2.496312,[18 40] ; [ 2 15],[15.46666667 42.53333333] ; [ 4.53333333 12.46666667],0
u3,1,0.114324,2.493401,[10  7] ; [2 6],[8.16 8.84] ; [3.84 4.16],0
b3,1,0.183097,1.772308,[ 7 23] ; [3 3],[ 8.33333333 21.66666667] ; [1.66666667 4.33333333],0
b2,1,0.183097,1.772308,[ 7 23] ; [3 3],[ 8.33333333 21.66666667] ; [1.66666667 4.33333333],0
r2,1,0.186438,1.74554,[55  2] ; [15  2],[53.91891892  3.08108108] ; [16.08108108  0.91891892],0
a3,1,0.187314,1.738621,[40 17] ; [9 8],[37.74324324 19.25675676] ; [11.25675676  5.74324324],0
p10,1,0.203608,1.616304,[36 20] ; [8 9],[33.75342466 22.24657534] ; [10.24657534  6.75342466],0
n5,1,0.22214,1.49049,[40 18] ; [9 8],[37.89333333 20.10666667] ; [11.10666667  5.89333333],0
s3,1,0.225141,1.471296,[28 30] ; [ 5 11],[25.86486486 32.13513514] ; [7.13513514 8.86486486],0
