Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.6e-05,15.920025,[25 14] ; [ 47 111],[14.25380711 24.74619289] ; [ 57.74619289 100.25380711],1
p8,1,0.00364,8.455413,[18 21] ; [ 37 124],[10.725 28.275] ; [ 44.275 116.725],0
a5,1,0.01593,5.810569,[29 10] ; [86 76],[22.31343284 16.68656716] ; [92.68656716 69.31343284],0
r2,1,0.023876,5.103632,[38  1] ; [132  26],[33.65482234  5.34517766] ; [136.34517766  21.65482234],0
n4,1,0.024719,5.043487,[31  8] ; [97 64],[24.96 14.04] ; [103.04  57.96],0
u1,1,0.028454,4.80033,[ 7 32] ; [ 11 151],[ 3.49253731 35.50746269] ; [ 14.50746269 147.49253731],0
v2,1,0.030004,4.709037,[22 17] ; [57 96],[16.046875 22.953125] ; [62.953125 90.046875],0
v3,1,0.033167,4.53714,[15 23] ; [ 35 120],[ 9.84455959 28.15544041] ; [ 40.15544041 114.84455959],0
r4,1,0.044582,4.034367,[32  7] ; [106  56],[26.7761194 12.2238806] ; [111.2238806  50.7761194],0
a3,1,0.049263,3.866366,[30  9] ; [96 64],[24.69346734 14.30653266] ; [101.30653266  58.69346734],0
s5,1,0.053675,3.722784,[ 7 30] ; [ 13 145],[ 3.79487179 33.20512821] ; [ 16.20512821 141.79487179],0
b1,1,0.064725,3.411983,[21 18] ; [ 61 101],[15.91044776 23.08955224] ; [66.08955224 95.91044776],0
p1,1,0.076352,3.140884,[ 5 34] ; [  8 152],[ 2.54773869 36.45226131] ; [ 10.45226131 149.54773869],0
s8,1,0.088736,2.897151,[ 8 31] ; [ 17 145],[ 4.85074627 34.14925373] ; [ 20.14925373 141.85074627],0
n3,1,0.09408,2.803132,[7 1] ; [34 26],[4.82352941 3.17647059] ; [36.17647059 23.82352941],0
v4,1,0.094996,2.787602,[35  4] ; [123  35],[31.27918782  7.72081218] ; [126.72081218  31.27918782],0
s7,1,0.103181,2.655681,[ 9 27] ; [ 21 130],[ 5.77540107 30.22459893] ; [ 24.22459893 126.77540107],0
d4,1,0.114447,2.491709,[32  7] ; [111  49],[28.02512563 10.97487437] ; [114.97487437  45.02512563],0
p6,1,0.120278,2.413701,[ 8 29] ; [ 19 141],[ 5.07106599 31.92893401] ; [ 21.92893401 138.07106599],0
v1,1,0.123014,2.378521,[16 23] ; [ 45 114],[12.01515152 26.98484848] ; [ 48.98484848 110.01515152],0
s2,1,0.135881,2.224001,[10 29] ; [ 25 136],[ 6.825 32.175] ; [ 28.175 132.825],0
u2,1,0.137631,2.204252,[2 7] ; [32 34],[4.08 4.92] ; [29.92 36.08],0
a6,1,0.148262,2.090039,[28 11] ; [96 66],[24.05970149 14.94029851] ; [99.94029851 62.05970149],0
s3,1,0.152843,2.043643,[13 26] ; [ 36 125],[ 9.555 29.445] ; [ 39.445 121.555],0
a4,1,0.162796,1.948062,[18 21] ; [ 55 106],[14.235 24.765] ; [ 58.765 102.235],0
r1,1,0.220493,1.50116,[28 11] ; [98 62],[24.69346734 14.30653266] ; [101.30653266  58.69346734],0
a8,1,0.231565,1.431221,[ 6 32] ; [ 14 139],[ 3.97905759 34.02094241] ; [ 16.02094241 136.97905759],0
d5,1,0.246474,1.343179,[29 10] ; [104  57],[25.935 13.065] ; [107.065  53.935],0
p10,1,0.258812,1.275101,[25 14] ; [86 73],[21.86363636 17.13636364] ; [89.13636364 69.86363636],0
u3,1,0.30989,1.031145,[5 4] ; [25 41],[3.6 5.4] ; [26.4 39.6],0
r3,1,0.33269,0.938397,[34  5] ; [128  31],[31.90909091  7.09090909] ; [130.09090909  28.90909091],0
a2,1,0.356945,0.848614,[ 7 32] ; [ 20 142],[ 5.23880597 33.76119403] ; [ 21.76119403 140.23880597],0
d1,1,0.362763,0.828307,[20 19] ; [70 92],[17.46268657 21.53731343] ; [72.53731343 89.46268657],0
b5,1,0.362763,0.828307,[19 20] ; [92 70],[21.53731343 17.46268657] ; [89.46268657 72.53731343],0
n2,1,0.375089,0.786736,[6 2] ; [37 26],[4.84507042 3.15492958] ; [38.15492958 24.84507042],0
p2,1,0.418712,0.653928,[26 13] ; [96 65],[23.79 15.21] ; [98.21 62.79],0
s4,1,0.423274,0.641209,[ 5 34] ; [ 14 148],[ 3.68656716 35.31343284] ; [ 15.31343284 146.68656716],0
p11,1,0.434681,0.610283,[26 13] ; [97 65],[23.86567164 15.13432836] ; [99.13432836 62.86567164],0
p9,1,0.461743,0.541667,[26 13] ; [94 62],[24. 15.] ; [96. 60.],0
n5,1,0.495661,0.464215,[25 14] ; [93 67],[23.12562814 15.87437186] ; [94.87437186 65.12562814],0
d3,1,0.503843,0.446832,[24 15] ; [89 71],[22.14572864 16.85427136] ; [90.85427136 69.14572864],0
b3,1,0.531036,0.392409,[10 13] ; [32 56],[ 8.7027027 14.2972973] ; [33.2972973 54.7027027],0
b2,1,0.531036,0.392409,[10 13] ; [32 56],[ 8.7027027 14.2972973] ; [33.2972973 54.7027027],0
n6,1,0.579338,0.307306,[24 15] ; [106  54],[25.47738693 13.52261307] ; [104.52261307  55.47738693],0
n1,1,0.59488,0.282787,[2 6] ; [21 40],[2.66666667 5.33333333] ; [20.33333333 40.66666667],0
a1,1,0.613127,0.255647,[ 3 36] ; [  9 153],[ 2.32835821 36.67164179] ; [  9.67164179 152.32835821],0
a7,1,0.721616,0.12695,[25 14] ; [97 62],[24.03030303 14.96969697] ; [97.96969697 61.03030303],0
p5,1,0.779128,0.078655,[ 1 38] ; [  3 158],[ 0.78 38.22] ; [  3.22 157.78],0
s1,1,0.849677,0.035922,[ 1 38] ; [  5 154],[ 1.18181818 37.81818182] ; [  4.81818182 154.18181818],0
d2,1,0.964698,0.001959,[16 22] ; [68 92],[16.12121212 21.87878788] ; [67.87878788 92.12121212],0
b4,1,0.978595,0.00072,[22 17] ; [91 71],[21.92537313 17.07462687] ; [91.07462687 70.92537313],0
