Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,25.130801,[22  4] ; [ 9 32],[12.02985075 13.97014925] ; [18.97014925 22.02985075],1
s6,1,9.3e-05,15.271852,[27  2] ; [21 22],[19.33333333  9.66666667] ; [28.66666667 14.33333333],1
u1,1,0.00049,12.152419,[12 18] ; [ 3 41],[ 6.08108108 23.91891892] ; [ 8.91891892 35.08108108],1
p10,1,0.001079,10.686456,[25  5] ; [19 23],[18.33333333 11.66666667] ; [25.66666667 16.33333333],0
s2,1,0.001268,10.387865,[23  7] ; [17 27],[16.21621622 13.78378378] ; [23.78378378 20.21621622],0
p6,1,0.002469,9.163636,[15 15] ; [ 7 35],[ 9.16666667 20.83333333] ; [12.83333333 29.16666667],0
r4,1,0.002766,8.955508,[29  1] ; [30 14],[23.91891892  6.08108108] ; [35.08108108  8.91891892],0
s5,1,0.003038,8.784607,[16 12] ; [10 34],[10.11111111 17.88888889] ; [15.88888889 28.11111111],0
r1,1,0.005897,7.58143,[28  2] ; [29 15],[23.10810811  6.89189189] ; [33.89189189 10.10810811],0
n4,1,0.006462,7.416818,[27  3] ; [27 17],[21.89189189  8.10810811] ; [32.10810811 11.89189189],0
a4,1,0.009134,6.796413,[18 12] ; [13 31],[12.56756757 17.43243243] ; [18.43243243 25.56756757],0
d2,1,0.013859,6.056024,[21  9] ; [18 26],[15.81081081 14.18918919] ; [23.18918919 20.81081081],0
a2,1,0.019851,5.42495,[12 18] ; [ 7 37],[ 7.7027027 22.2972973] ; [11.2972973 32.7027027],0
n5,1,0.024325,5.071329,[24  6] ; [24 20],[19.45945946 10.54054054] ; [28.54054054 15.45945946],0
d5,1,0.028482,4.798649,[27  3] ; [30 14],[23.10810811  6.89189189] ; [33.89189189 10.10810811],0
n6,1,0.034361,4.476631,[25  4] ; [28 16],[21.05479452  7.94520548] ; [31.94520548 12.05479452],0
p2,1,0.035859,4.40381,[23  7] ; [22 20],[18.75 11.25] ; [26.25 15.75],0
p9,1,0.035859,4.40381,[23  7] ; [22 20],[18.75 11.25] ; [26.25 15.75],0
v2,1,0.043564,4.073371,[23  7] ; [23 20],[18.90410959 11.09589041] ; [27.09589041 15.90410959],0
p3,1,0.056267,3.644129,[16 14] ; [13 29],[12.08333333 17.91666667] ; [16.91666667 25.08333333],0
d1,1,0.058202,3.587879,[19 11] ; [18 26],[15. 15.] ; [22. 22.],0
u3,1,0.063787,3.436086,[6 2] ; [ 6 11],[3.84 4.16] ; [8.16 8.84],0
p4,1,0.084371,2.978622,[19 11] ; [17 23],[15.42857143 14.57142857] ; [20.57142857 19.42857143],0
a5,1,0.089009,2.892211,[24  6] ; [27 17],[20.67567568  9.32432432] ; [30.32432432 13.67567568],0
a6,1,0.12727,2.325496,[21  9] ; [23 21],[17.83783784 12.16216216] ; [26.16216216 17.83783784],0
v1,1,0.130425,2.287437,[19 11] ; [20 24],[15.81081081 14.18918919] ; [23.18918919 20.81081081],0
b1,1,0.155425,2.018182,[18 12] ; [19 25],[15. 15.] ; [22. 22.],0
