Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,56.00648,[ 7 28] ; [63  5],[23.78640777 11.21359223] ; [46.21359223 21.78640777],1
b1,1,0.011152,6.440922,[ 6 29] ; [29 40],[11.77884615 23.22115385] ; [23.22115385 45.77884615],0
p7,1,0.030586,4.676061,[16 17] ; [48 20],[20.91089109 12.08910891] ; [43.08910891 24.91089109],0
p4,1,0.041479,4.156326,[14 21] ; [41 26],[18.87254902 16.12745098] ; [36.12745098 30.87254902],0
b3,1,0.05192,3.778331,[ 3 13] ; [20 23],[6.23728814 9.76271186] ; [16.76271186 26.23728814],0
b2,1,0.05192,3.778331,[ 3 13] ; [20 23],[6.23728814 9.76271186] ; [16.76271186 26.23728814],0
d5,1,0.052814,3.749784,[25 10] ; [60  9],[28.60576923  6.39423077] ; [56.39423077 12.60576923],0
r4,1,0.054399,3.700399,[28  7] ; [64  5],[30.96153846  4.03846154] ; [61.03846154  7.96153846],0
v1,1,0.065604,3.389727,[15 18] ; [44 24],[19.27722772 13.72277228] ; [39.72277228 28.27722772],0
a4,1,0.083786,2.989885,[12 23] ; [36 33],[16.15384615 18.84615385] ; [31.84615385 37.15384615],0
p6,1,0.087767,2.914866,[ 7 27] ; [25 42],[10.77227723 23.22772277] ; [21.22772277 45.77227723],0
s2,1,0.092412,2.831852,[20 15] ; [27 41],[15.97087379 19.02912621] ; [31.02912621 36.97087379],0
n3,1,0.093533,2.8125,[5 5] ; [7 1],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
a3,1,0.102671,2.663558,[17 17] ; [46 23],[20.7961165 13.2038835] ; [42.2038835 26.7961165],0
p10,1,0.105673,2.617761,[25  9] ; [58  9],[27.94059406  6.05940594] ; [55.05940594 11.94059406],0
r1,1,0.110577,2.545952,[24 10] ; [58 11],[27.06796117  6.93203883] ; [54.93203883 14.06796117],0
n1,1,0.114758,2.487446,[2 8] ; [4 3],[3.52941176 6.47058824] ; [2.47058824 4.52941176],0
r3,1,0.129447,2.29912,[34  1] ; [60  8],[31.94174757  3.05825243] ; [62.05825243  5.94174757],0
s3,1,0.139761,2.180594,[20 14] ; [29 38],[16.4950495 17.5049505] ; [32.5049505 34.4950495],0
s6,1,0.158711,1.986462,[28  7] ; [44 22],[24.95049505 10.04950495] ; [47.04950495 18.95049505],0
p8,1,0.162938,1.946743,[15 20] ; [39 29],[18.34951456 16.65048544] ; [35.65048544 32.34951456],0
a1,1,0.173255,1.85455,[ 4 31] ; [ 3 66],[ 2.35576923 32.64423077] ; [ 4.64423077 64.35576923],0
n6,1,0.17339,1.853387,[28  7] ; [61  7],[30.24271845  4.75728155] ; [58.75728155  9.24271845],0
d2,1,0.187826,1.734586,[14 21] ; [36 31],[17.15686275 17.84313725] ; [32.84313725 34.15686275],0
p1,1,0.192288,1.7,[ 2 32] ; [10 58],[ 4. 30.] ; [ 8. 60.],0
u2,1,0.250616,1.319865,[ 5 13] ; [10 12],[ 6.75 11.25] ; [ 8.25 13.75],0
v3,1,0.266155,1.236454,[ 8 26] ; [23 44],[10.43564356 23.56435644] ; [20.56435644 46.43564356],0
a5,1,0.280899,1.162733,[24 11] ; [54 15],[26.25  8.75] ; [51.75 17.25],0
p11,1,0.31775,0.998185,[26  9] ; [57 12],[27.93269231  7.06730769] ; [55.06730769 13.93269231],0
s4,1,0.335577,0.927254,[ 8 27] ; [10 56],[ 6.23762376 28.76237624] ; [11.76237624 54.23762376],0
b4,1,0.340558,0.908331,[20 15] ; [46 23],[22.21153846 12.78846154] ; [43.78846154 25.21153846],0
p5,1,0.347558,0.882353,[ 4 30] ; [13 55],[ 5.66666667 28.33333333] ; [11.33333333 56.66666667],0
d1,1,0.349766,0.874305,[19 16] ; [44 25],[21.20192308 13.79807692] ; [41.79807692 27.20192308],0
b5,1,0.36914,0.806557,[20 15] ; [33 36],[17.83653846 17.16346154] ; [35.16346154 33.83653846],0
n2,1,0.374857,0.7875,[7 3] ; [7 1],[7.77777778 2.22222222] ; [6.22222222 1.77777778],0
a2,1,0.454005,0.560634,[ 5 30] ; [14 55],[ 6.39423077 28.60576923] ; [12.60576923 56.39423077],0
p2,1,0.480574,0.497561,[26  8] ; [56 12],[27.33333333  6.66666667] ; [54.66666667 13.33333333],0
d4,1,0.487825,0.481319,[31  4] ; [63  5],[31.94174757  3.05825243] ; [62.05825243  5.94174757],0
p12,1,0.502588,0.449467,[ 4 31] ; [ 5 62],[ 3.08823529 31.91176471] ; [ 5.91176471 61.08823529],0
u1,1,0.535866,0.383255,[ 4 31] ; [11 58],[ 5.04807692 29.95192308] ; [ 9.95192308 59.04807692],0
a6,1,0.601591,0.272602,[21 14] ; [45 24],[22.21153846 12.78846154] ; [43.78846154 25.21153846],0
u3,1,0.623158,0.241454,[10  8] ; [11 12],[9.2195122 8.7804878] ; [11.7804878 11.2195122],0
s1,1,0.629079,0.233312,[ 1 34] ; [ 1 67],[ 0.67961165 34.32038835] ; [ 1.32038835 66.67961165],0
p3,1,0.680193,0.169908,[16 19] ; [34 34],[16.99029126 18.00970874] ; [33.00970874 34.99029126],0
a7,1,0.693974,0.154817,[23 12] ; [42 26],[22.08737864 12.91262136] ; [42.91262136 25.08737864],0
d3,1,0.812213,0.05644,[22 13] ; [45 24],[22.54807692 12.45192308] ; [44.45192308 24.54807692],0
s8,1,0.840862,0.040317,[ 8 27] ; [17 52],[ 8.41346154 26.58653846] ; [16.58653846 52.41346154],0
v2,1,0.89131,0.018672,[18 17] ; [33 33],[17.67326733 17.32673267] ; [33.32673267 32.67326733],0
p9,1,0.896697,0.016857,[29  6] ; [54 12],[28.76237624  6.23762376] ; [54.23762376 11.76237624],0
v4,1,0.957802,0.0028,[31  2] ; [65  4],[31.05882353  1.94117647] ; [64.94117647  4.05882353],0
r2,1,0.986141,0.000302,[32  2] ; [65  4],[32.01941748  1.98058252] ; [64.98058252  4.01941748],0
