Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.008164,6.997169,[4 9] ; [10  2],[7.28 5.72] ; [6.72 5.28],0
a6,1,0.072674,3.221565,[9 4] ; [4 8],[6.76 6.24] ; [6.24 5.76],0
p9,1,0.143687,2.138024,[11  2] ; [7 5],[9.36 3.64] ; [8.64 3.36],0
v3,1,0.147501,2.097902,[6 7] ; [2 9],[4.33333333 8.66666667] ; [3.66666667 7.33333333],0
a5,1,0.161178,1.963141,[10  3] ; [6 6],[8.32 4.68] ; [7.68 4.32],0
n6,1,0.161178,1.963141,[9 4] ; [11  1],[10.4  2.6] ; [9.6 2.4],0
n4,1,0.161178,1.963141,[9 4] ; [11  1],[10.4  2.6] ; [9.6 2.4],0
n5,1,0.161178,1.963141,[9 4] ; [11  1],[10.4  2.6] ; [9.6 2.4],0
a3,1,0.177895,1.815126,[10  2] ; [7 5],[8.5 3.5] ; [8.5 3.5],0
u2,1,0.186858,1.742222,[1 2] ; [4 1],[1.875 1.125] ; [3.125 1.875],0
p2,1,0.205903,1.6,[6 6] ; [9 3],[7.5 4.5] ; [7.5 4.5],0
p5,1,0.273322,1.2,[3 9] ; [ 1 11],[ 2. 10.] ; [ 2. 10.],0
p6,1,0.293803,1.102114,[ 2 11] ; [4 8],[3.12 9.88] ; [2.88 9.12],0
p8,1,0.301941,1.065601,[7 6] ; [4 8],[5.72 7.28] ; [5.28 6.72],0
d4,1,0.319499,0.990997,[10  3] ; [7 5],[8.84 4.16] ; [8.16 3.84],0
a7,1,0.320423,0.987221,[8 5] ; [5 7],[6.76 6.24] ; [6.24 5.76],0
d3,1,0.320423,0.987221,[8 5] ; [5 7],[6.76 6.24] ; [6.24 5.76],0
n1,1,0.390636,0.736961,[4 2] ; [3 4],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
u3,1,0.465209,0.533333,[1 2] ; [3 2],[1.5 1.5] ; [2.5 2.5],0
v2,1,0.475512,0.509138,[ 3 10] ; [4 7],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
s1,1,0.490279,0.475913,[ 1 12] ; [ 2 10],[ 1.56 11.44] ; [ 1.44 10.56],0
s3,1,0.509903,0.434266,[4 7] ; [6 6],[4.7826087 6.2173913] ; [5.2173913 6.7826087],0
p1,1,0.548186,0.360577,[ 2 11] ; [3 9],[ 2.6 10.4] ; [2.4 9.6],0
s7,1,0.561471,0.337163,[5 8] ; [6 6],[5.72 7.28] ; [5.28 6.72],0
p4,1,0.561471,0.337163,[5 8] ; [6 6],[5.72 7.28] ; [5.28 6.72],0
b1,1,0.561471,0.337163,[8 5] ; [6 6],[7.28 5.72] ; [6.72 5.28],0
d1,1,0.561471,0.337163,[5 8] ; [6 6],[5.72 7.28] ; [5.28 6.72],0
r2,1,0.568261,0.3256,[10  3] ; [8 4],[9.36 3.64] ; [8.64 3.36],0
p10,1,0.570632,0.321626,[9 4] ; [7 5],[8.32 4.68] ; [7.68 4.32],0
b5,1,0.570632,0.321626,[9 4] ; [7 5],[8.32 4.68] ; [7.68 4.32],0
s8,1,0.570632,0.321626,[4 9] ; [5 7],[4.68 8.32] ; [4.32 7.68],0
a1,1,0.587793,0.293803,[ 2 11] ; [ 1 11],[ 1.56 11.44] ; [ 1.44 10.56],0
a4,1,0.67329,0.177778,[4 8] ; [5 7],[4.5 7.5] ; [4.5 7.5],0
p3,1,0.67329,0.177778,[4 8] ; [5 7],[4.5 7.5] ; [4.5 7.5],0
b4,1,0.748233,0.103022,[9 4] ; [9 3],[9.36 3.64] ; [8.64 3.36],0
d5,1,0.789561,0.071225,[8 5] ; [8 4],[8.32 4.68] ; [7.68 4.32],0
n3,1,0.796762,0.066327,[3 3] ; [4 3],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
b3,1,0.799846,0.064286,[2 6] ; [2 8],[1.77777778 6.22222222] ; [2.22222222 7.77777778],0
b2,1,0.799846,0.064286,[2 6] ; [2 8],[1.77777778 6.22222222] ; [2.22222222 7.77777778],0
r1,1,0.821348,0.050991,[7 6] ; [7 5],[7.28 5.72] ; [6.72 5.28],0
p11,1,0.821348,0.050991,[7 6] ; [7 5],[7.28 5.72] ; [6.72 5.28],0
s5,1,0.847501,0.036982,[6 7] ; [6 6],[6.24 6.76] ; [5.76 6.24],0
s2,1,0.847501,0.036982,[6 7] ; [6 6],[6.24 6.76] ; [5.76 6.24],0
r4,1,0.847501,0.036982,[6 7] ; [6 6],[6.24 6.76] ; [5.76 6.24],0
n2,1,0.852876,0.034392,[4 2] ; [5 2],[4.15384615 1.84615385] ; [4.84615385 2.15384615],0
p7,1,0.878854,0.023232,[4 7] ; [4 8],[3.82608696 7.17391304] ; [4.17391304 7.82608696],0
v4,1,0.930388,0.007631,[11  2] ; [10  2],[10.92  2.08] ; [10.08  1.92],0
p12,1,0.952933,0.003484,[ 1 12] ; [ 1 11],[ 1.04 11.96] ; [ 0.96 11.04],0
