Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,4.5e-05,16.631117,[28  6] ; [ 7 17],[20.51724138 13.48275862] ; [14.48275862  9.51724138],1
a4,1,9.7e-05,15.194478,[18 16] ; [ 1 23],[11.13793103 22.86206897] ; [ 7.86206897 16.13793103],1
d5,1,0.000664,11.588571,[24 11] ; [ 6 19],[17.5 17.5] ; [12.5 12.5],1
d2,1,0.005562,7.68694,[19 15] ; [ 5 20],[13.83050847 20.16949153] ; [10.16949153 14.83050847],0
a6,1,0.007728,7.095503,[22 13] ; [ 7 18],[16.91666667 18.08333333] ; [12.08333333 12.91666667],0
n5,1,0.021526,5.283697,[28  7] ; [13 12],[23.91666667 11.08333333] ; [17.08333333  7.91666667],0
n4,1,0.037248,4.339029,[26  9] ; [12 13],[22.16666667 12.83333333] ; [15.83333333  9.16666667],0
d1,1,0.0455,4.0,[14 21] ; [ 4 21],[10.5 24.5] ; [ 7.5 17.5],0
r2,1,0.06321,3.451098,[26  7] ; [14 11],[22.75862069 10.24137931] ; [17.24137931  7.75862069],0
n1,1,0.07077,3.265079,[12  8] ; [ 4 10],[ 9.41176471 10.58823529] ; [6.58823529 7.41176471],0
n6,1,0.083124,3.002737,[20 14] ; [ 9 16],[16.71186441 17.28813559] ; [12.28813559 12.71186441],0
a7,1,0.087141,2.926407,[19 16] ; [ 8 17],[15.75 19.25] ; [11.25 13.75],0
p11,1,0.100615,2.695764,[14 21] ; [ 5 20],[11.08333333 23.91666667] ; [ 7.91666667 17.08333333],0
d3,1,0.106157,2.61052,[20 15] ; [ 9 16],[16.91666667 18.08333333] ; [12.08333333 12.91666667],0
p4,1,0.114317,2.493506,[12 23] ; [ 4 21],[ 9.33333333 25.66666667] ; [ 6.66666667 18.33333333],0
d4,1,0.147759,2.095238,[22 13] ; [11 14],[19.25 15.75] ; [13.75 11.25],0
s3,1,0.154414,2.0281,[14 20] ; [ 5 17],[11.53571429 22.46428571] ; [ 7.46428571 14.53571429],0
s5,1,0.172402,1.861934,[ 9 25] ; [ 3 22],[ 6.91525424 27.08474576] ; [ 5.08474576 19.91525424],0
a1,1,0.19936,1.647059,[ 7 28] ; [ 2 23],[ 5.25 29.75] ; [ 3.75 21.25],0
p6,1,0.206497,1.595818,[ 5 30] ; [ 1 23],[ 3.55932203 31.44067797] ; [ 2.44067797 21.55932203],0
u2,1,0.236386,1.402019,[1 6] ; [ 7 11],[2.24 4.76] ; [ 5.76 12.24],0
v3,1,0.283935,1.148158,[ 8 27] ; [ 3 22],[ 6.41666667 28.58333333] ; [ 4.58333333 20.41666667],0
r1,1,0.285049,1.142857,[16 19] ; [ 8 17],[14. 21.] ; [10. 15.],0
p9,1,0.324732,0.969792,[17 15] ; [10 15],[15.15789474 16.84210526] ; [11.84210526 13.15789474],0
v4,1,0.356981,0.848485,[21 14] ; [12 13],[19.25 15.75] ; [13.75 11.25],0
p1,1,0.359301,0.840336,[ 4 31] ; [ 5 20],[ 5.25 29.75] ; [ 3.75 21.25],0
s2,1,0.367869,0.810849,[ 9 26] ; [ 4 21],[ 7.58333333 27.41666667] ; [ 5.41666667 19.58333333],0
b5,1,0.381673,0.765306,[18 17] ; [10 15],[16.33333333 18.66666667] ; [11.66666667 13.33333333],0
s8,1,0.384933,0.754888,[ 7 27] ; [ 3 22],[ 5.76271186 28.23728814] ; [ 4.23728814 20.76271186],0
b1,1,0.400353,0.707265,[22 13] ; [13 12],[20.41666667 14.58333333] ; [14.58333333 10.41666667],0
p3,1,0.411979,0.673084,[10 24] ; [ 5 20],[ 8.6440678 25.3559322] ; [ 6.3559322 18.6440678],0
s1,1,0.45462,0.559107,[ 5 30] ; [ 2 23],[ 4.08333333 30.91666667] ; [ 2.91666667 22.08333333],0
s6,1,0.483899,0.490063,[11 23] ; [ 6 19],[ 9.79661017 24.20338983] ; [ 7.20338983 17.79661017],0
n2,1,0.485845,0.485714,[11  9] ; [6 8],[10. 10.] ; [7. 7.],0
s7,1,0.488775,0.479223,[ 9 22] ; [ 5 19],[ 7.89090909 23.10909091] ; [ 6.10909091 17.89090909],0
r4,1,0.582306,0.302521,[ 6 29] ; [ 3 22],[ 5.25 29.75] ; [ 3.75 21.25],0
p10,1,0.659671,0.193924,[16 19] ; [10 15],[15.16666667 19.83333333] ; [10.83333333 14.16666667],0
b4,1,0.659671,0.193924,[19 16] ; [15 10],[19.83333333 15.16666667] ; [14.16666667 10.83333333],0
p8,1,0.746207,0.104746,[ 8 25] ; [ 7 18],[ 8.53448276 24.46551724] ; [ 6.46551724 18.53448276],0
v1,1,0.775097,0.081633,[11 24] ; [ 7 18],[10.5 24.5] ; [ 7.5 17.5],0
b3,1,0.780332,0.077778,[ 9 15] ; [ 6 12],[ 8.57142857 15.42857143] ; [ 6.42857143 11.57142857],0
b2,1,0.780332,0.077778,[ 9 15] ; [ 6 12],[ 8.57142857 15.42857143] ; [ 6.42857143 11.57142857],0
u3,1,0.818733,0.052521,[2 5] ; [ 6 12],[2.24 4.76] ; [ 5.76 12.24],0
p2,1,0.828302,0.047037,[14 20] ; [11 14],[14.40677966 19.59322034] ; [10.59322034 14.40677966],0
n3,1,0.881162,0.022349,[ 9 10] ; [7 7],[9.21212121 9.78787879] ; [6.78787879 7.21212121],0
p7,1,0.926229,0.008573,[10 23] ; [ 7 17],[ 9.84210526 23.15789474] ; [ 7.15789474 16.84210526],0
s4,1,1.0,0.0,[ 7 28] ; [ 5 20],[ 7. 28.] ; [ 5. 20.],0
