Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,29.078438,[46  6] ; [18 31],[32.95049505 19.04950495] ; [31.04950495 17.95049505],1
p6,1,1.2e-05,19.112721,[27 26] ; [ 5 43],[16.79207921 36.20792079] ; [15.20792079 32.79207921],1
r4,1,0.001138,10.588093,[53  1] ; [38 11],[47.70873786  6.29126214] ; [43.29126214  5.70873786],0
p4,1,0.001707,9.84049,[37 17] ; [18 30],[29.11764706 24.88235294] ; [25.88235294 22.11764706],0
p10,1,0.004579,8.038575,[49  4] ; [34 14],[43.55445545  9.44554455] ; [39.44554455  8.55445545],0
p2,1,0.007112,7.244522,[48  5] ; [34 15],[42.60784314 10.39215686] ; [39.39215686  9.60784314],0
p3,1,0.007384,7.177213,[33 21] ; [17 32],[26.21359223 27.78640777] ; [23.78640777 25.21359223],0
p11,1,0.014154,6.018852,[48  6] ; [34 15],[42.99029126 11.00970874] ; [39.00970874  9.99029126],0
p9,1,0.020636,5.357305,[48  5] ; [35 13],[43.55445545  9.44554455] ; [39.44554455  8.55445545],0
v4,1,0.070137,3.279811,[52  1] ; [43  5],[49.85148515  3.14851485] ; [45.14851485  2.85148515],0
s8,1,0.073191,3.209974,[17 37] ; [ 8 41],[13.10679612 40.89320388] ; [11.89320388 37.10679612],0
b2,1,0.088155,2.907754,[16 18] ; [ 6 18],[12.89655172 21.10344828] ; [ 9.10344828 14.89655172],0
b3,1,0.088155,2.907754,[16 18] ; [ 6 18],[12.89655172 21.10344828] ; [ 9.10344828 14.89655172],0
p5,1,0.092189,2.835734,[12 41] ; [ 5 44],[ 8.83333333 44.16666667] ; [ 8.16666667 40.83333333],0
n5,1,0.1628,1.948019,[40 14] ; [30 19],[36.69902913 17.30097087] ; [33.30097087 15.69902913],0
n4,1,0.162938,1.946743,[39 15] ; [29 20],[35.65048544 18.34951456] ; [32.34951456 16.65048544],0
v1,1,0.185701,1.751395,[34 19] ; [24 23],[30.74 22.26] ; [27.26 19.74],0
s6,1,0.197156,1.663316,[40 12] ; [32 17],[37.06930693 14.93069307] ; [34.93069307 14.06930693],0
v3,1,0.21261,1.553566,[19 33] ; [12 36],[16.12 35.88] ; [14.88 33.12],0
r3,1,0.217121,1.523297,[51  3] ; [42  6],[49.23529412  4.76470588] ; [43.76470588  4.23529412],0
d1,1,0.229106,1.446404,[36 18] ; [27 22],[33.02912621 20.97087379] ; [29.97087379 19.02912621],0
a8,1,0.257357,1.282917,[ 7 45] ; [ 3 43],[ 5.30612245 46.69387755] ; [ 4.69387755 41.30612245],0
r1,1,0.29884,1.079365,[45  9] ; [36 12],[42.88235294 11.11764706] ; [38.11764706  9.88235294],0
u2,1,0.302936,1.061224,[ 6 15] ; [ 8 10],[ 7.53846154 13.46153846] ; [ 6.46153846 11.53846154],0
d5,1,0.318471,0.995216,[46  8] ; [38 11],[44.03883495  9.96116505] ; [39.96116505  9.03883495],0
r2,1,0.321263,0.983796,[52  2] ; [44  4],[50.82352941  3.17647059] ; [45.17647059  2.82352941],0
a5,1,0.332275,0.940009,[43 11] ; [35 14],[40.89320388 13.10679612] ; [37.10679612 11.89320388],0
n1,1,0.348723,0.878099,[3 3] ; [3 8],[2.11764706 3.88235294] ; [3.88235294 7.11764706],0
p12,1,0.355084,0.855205,[ 6 47] ; [ 3 46],[ 4.67647059 48.32352941] ; [ 4.32352941 44.67647059],0
b5,1,0.372032,0.796867,[25 29] ; [27 22],[27.26213592 26.73786408] ; [24.73786408 24.26213592],0
a6,1,0.395575,0.721735,[32 22] ; [33 16],[34.0776699 19.9223301] ; [30.9223301 18.0776699],0
s4,1,0.421894,0.645032,[ 8 45] ; [10 37],[ 9.54 43.46] ; [ 8.46 38.54],0
n2,1,0.422678,0.642857,[4 2] ; [10  2],[4.66666667 1.33333333] ; [9.33333333 2.66666667],0
n3,1,0.45675,0.553846,[4 1] ; [8 5],[3.33333333 1.66666667] ; [8.66666667 4.33333333],0
b1,1,0.491756,0.472681,[20 34] ; [15 34],[18.34951456 35.65048544] ; [16.65048544 32.34951456],0
a7,1,0.512275,0.429418,[36 18] ; [29 19],[34.41176471 19.58823529] ; [30.58823529 17.41176471],0
u1,1,0.525191,0.403687,[ 9 45] ; [ 6 43],[ 7.86407767 46.13592233] ; [ 7.13592233 41.86407767],0
a1,1,0.599475,0.275789,[ 3 51] ; [ 4 45],[ 3.66990291 50.33009709] ; [ 3.33009709 45.66990291],0
d3,1,0.64121,0.217163,[34 20] ; [33 16],[35.12621359 18.87378641] ; [31.87378641 17.12621359],0
u3,1,0.751529,0.100251,[10 11] ; [10  9],[10.5 10.5] ; [9.5 9.5],0
b4,1,0.804492,0.061275,[34 20] ; [32 17],[34.60194175 19.39805825] ; [31.39805825 17.60194175],0
s3,1,0.822303,0.050438,[26 27] ; [22 25],[25.44 27.56] ; [22.56 24.44],0
v2,1,0.841198,0.040145,[27 26] ; [23 24],[26.5 26.5] ; [23.5 23.5],0
n6,1,0.844901,0.038271,[47  7] ; [42  7],[46.66019417  7.33980583] ; [42.33980583  6.66019417],0
d4,1,0.869288,0.027081,[49  5] ; [44  4],[49.23529412  4.76470588] ; [43.76470588  4.23529412],0
a3,1,0.885443,0.020757,[33 21] ; [30 18],[33.35294118 20.64705882] ; [29.64705882 18.35294118],0
p1,1,0.912679,0.012025,[ 6 46] ; [ 6 43],[ 6.17821782 45.82178218] ; [ 5.82178218 43.17821782],0
d2,1,0.915057,0.011377,[27 27] ; [23 24],[26.73267327 27.26732673] ; [23.26732673 23.73267327],0
a4,1,0.947952,0.004261,[25 29] ; [23 26],[25.16504854 28.83495146] ; [22.83495146 26.16504854],0
s1,1,0.955299,0.003142,[ 1 52] ; [ 1 48],[ 1.03921569 51.96078431] ; [ 0.96078431 48.03921569],0
s2,1,0.968853,0.001525,[24 29] ; [22 27],[23.90196078 29.09803922] ; [22.09803922 26.90196078],0
a2,1,0.984239,0.00039,[10 44] ; [ 9 40],[ 9.96116505 44.03883495] ; [ 9.03883495 39.96116505],0
