Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.1e-05,16.073096,[62 11] ; [5 9],[56.2183908 16.7816092] ; [10.7816092  3.2183908],1
r3,1,0.000647,11.635457,[66  6] ; [8 6],[61.95348837 10.04651163] ; [12.04651163  1.95348837],1
v4,1,0.002246,9.336476,[69  3] ; [10  4],[66.13953488  5.86046512] ; [12.86046512  1.13953488],0
s6,1,0.004058,8.257841,[46 27] ; [ 3 11],[41.11494253 31.88505747] ; [7.88505747 6.11494253],0
v1,1,0.006263,7.472977,[39 33] ; [ 2 12],[34.3255814 37.6744186] ; [6.6744186 7.3255814],0
r1,1,0.014529,5.972683,[51 22] ; [5 9],[46.98850575 26.01149425] ; [9.01149425 4.98850575],0
s2,1,0.022271,5.224462,[34 38] ; [ 2 12],[30.13953488 41.86046512] ; [5.86046512 8.13953488],0
b1,1,0.02229,5.223025,[28 45] ; [10  4],[31.88505747 41.11494253] ; [6.11494253 7.88505747],0
p2,1,0.040518,4.196062,[56 17] ; [7 7],[52.86206897 20.13793103] ; [10.13793103  3.86206897],0
p5,1,0.046084,3.978514,[ 2 71] ; [ 2 11],[ 3.39534884 69.60465116] ; [ 0.60465116 12.39534884],0
d5,1,0.051492,3.792193,[51 22] ; [6 8],[47.82758621 25.17241379] ; [9.17241379 4.82758621],0
d4,1,0.059446,3.552787,[54 18] ; [7 7],[51.06976744 20.93023256] ; [9.93023256 4.06976744],0
a7,1,0.066553,3.366055,[50 23] ; [6 8],[46.98850575 26.01149425] ; [9.01149425 4.98850575],0
s8,1,0.068656,3.314861,[29 44] ; [ 2 12],[26.01149425 46.98850575] ; [4.98850575 9.01149425],0
d1,1,0.082619,3.012607,[28 45] ; [ 2 12],[25.17241379 47.82758621] ; [4.82758621 9.17241379],0
s3,1,0.107245,2.594353,[38 35] ; [ 4 10],[35.24137931 37.75862069] ; [6.75862069 7.24137931],0
s7,1,0.121031,2.403932,[28 42] ; [ 2 10],[25.6097561 44.3902439] ; [4.3902439 7.6097561],0
n6,1,0.136585,2.216017,[55 17] ; [8 6],[52.74418605 19.25581395] ; [10.25581395  3.74418605],0
s5,1,0.159653,1.977508,[17 54] ; [ 1 13],[15.03529412 55.96470588] ; [ 2.96470588 11.03529412],0
a8,1,0.16548,1.92342,[ 3 64] ; [ 2 12],[ 4.13580247 62.86419753] ; [ 0.86419753 13.13580247],0
a6,1,0.182363,1.778262,[50 23] ; [7 7],[47.82758621 25.17241379] ; [9.17241379 4.82758621],0
p12,1,0.186746,1.743105,[ 1 72] ; [ 1 13],[ 1.67816092 71.32183908] ; [ 0.32183908 13.67816092],0
s1,1,0.191196,1.708381,[ 1 71] ; [ 1 13],[ 1.6744186 70.3255814] ; [ 0.3255814 13.6744186],0
v2,1,0.20201,1.627779,[35 35] ; [4 9],[32.89156627 37.10843373] ; [6.10843373 6.89156627],0
p8,1,0.218378,1.515001,[31 41] ; [8 5],[33.03529412 38.96470588] ; [5.96470588 7.03529412],0
n2,1,0.224114,1.477833,[23  6] ; [4 3],[21.75  7.25] ; [5.25 1.75],0
s4,1,0.224156,1.477565,[22 51] ; [ 2 12],[20.13793103 52.86206897] ; [ 3.86206897 10.13793103],0
b4,1,0.22726,1.45793,[44 29] ; [6 8],[41.95402299 31.04597701] ; [8.04597701 5.95402299],0
n3,1,0.269685,1.218348,[19 10] ; [3 4],[17.72222222 11.27777778] ; [4.27777778 2.72222222],0
u2,1,0.271473,1.209289,[13 14] ; [5 2],[14.29411765 12.70588235] ; [3.70588235 3.29411765],0
p9,1,0.291551,1.112447,[59 13] ; [9 4],[57.6 14.4] ; [10.4  2.6],0
b5,1,0.309625,1.032275,[47 26] ; [7 7],[45.31034483 27.68965517] ; [8.68965517 5.31034483],0
a2,1,0.319834,0.989625,[13 60] ; [ 1 13],[11.74712644 61.25287356] ; [ 2.25287356 11.74712644],0
p3,1,0.347026,0.884303,[25 48] ; [ 3 11],[23.49425287 49.50574713] ; [4.50574713 9.49425287],0
a3,1,0.360648,0.835635,[46 27] ; [7 7],[44.47126437 28.52873563] ; [8.52873563 5.47126437],0
v3,1,0.372313,0.795929,[18 53] ; [ 2 12],[16.70588235 54.29411765] ; [ 3.29411765 10.70588235],0
p10,1,0.407262,0.686779,[54 18] ; [9 5],[52.74418605 19.25581395] ; [10.25581395  3.74418605],0
