Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7.2e-05,15.75301,[13 18] ; [57 13],[21.48514851  9.51485149] ; [48.51485149 21.48514851],1
a6,1,7.6e-05,15.663789,[12 19] ; [56 15],[20.66666667 10.33333333] ; [47.33333333 23.66666667],1
p9,1,0.025072,5.0189,[24  7] ; [66  5],[27.35294118  3.64705882] ; [62.64705882  8.35294118],0
d5,1,0.027592,4.853355,[19 12] ; [58 13],[23.40196078  7.59803922] ; [53.59803922 17.40196078],0
v1,1,0.037788,4.314545,[19 12] ; [26 41],[14.23469388 16.76530612] ; [30.76530612 36.23469388],0
s3,1,0.043267,4.084929,[22  9] ; [34 35],[17.36 13.64] ; [38.64 30.36],0
r2,1,0.044272,4.046145,[23  7] ; [64  6],[26.1  3.9] ; [60.9  9.1],0
b5,1,0.047499,3.927609,[15 16] ; [49 22],[19.45098039 11.54901961] ; [44.54901961 26.45098039],0
a1,1,0.04783,3.915947,[ 3 28] ; [ 1 70],[ 1.21568627 29.78431373] ; [ 2.78431373 68.21568627],0
d4,1,0.082846,3.00816,[21 10] ; [59 12],[24.31372549  6.68627451] ; [55.68627451 15.31372549],0
r4,1,0.088649,2.898734,[20 11] ; [57 14],[23.40196078  7.59803922] ; [53.59803922 17.40196078],0
v4,1,0.088838,2.89531,[25  4] ; [68  3],[26.97  2.03] ; [66.03  4.97],0
b1,1,0.131833,2.270786,[19 12] ; [32 39],[15.5 15.5] ; [35.5 35.5],0
p2,1,0.141836,2.157922,[20 10] ; [57 14],[22.87128713  7.12871287] ; [54.12871287 16.87128713],0
p1,1,0.209104,1.577619,[ 4 27] ; [ 4 67],[ 2.43137255 28.56862745] ; [ 5.56862745 65.43137255],0
a8,1,0.22508,1.471688,[ 1 29] ; [ 7 58],[ 2.52631579 27.47368421] ; [ 5.47368421 59.52631579],0
d1,1,0.227259,1.457937,[13 18] ; [39 32],[15.80392157 15.19607843] ; [36.19607843 34.80392157],0
b4,1,0.245885,1.346536,[20 11] ; [37 34],[17.32352941 13.67647059] ; [39.67647059 31.32352941],0
r1,1,0.246224,1.344601,[20 11] ; [53 17],[22.40594059  8.59405941] ; [50.59405941 19.40594059],0
s4,1,0.289598,1.12149,[ 7 24] ; [10 61],[ 5.16666667 25.83333333] ; [11.83333333 59.16666667],0
