Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,26.293184,[118  47] ; [18 37],[102.  63.] ; [34. 21.],1
d3,1,1e-06,25.157647,[141  24] ; [29 26],[127.5  37.5] ; [42.5 12.5],1
p2,1,5.5e-05,16.26526,[129  34] ; [28 27],[117.38990826  45.61009174] ; [39.61009174 15.38990826],1
v4,1,0.00289,8.875794,[152  12] ; [43 12],[146.02739726  17.97260274] ; [48.97260274  6.02739726],0
a2,1,0.003218,8.679549,[ 34 131] ; [ 2 53],[ 27. 138.] ; [ 9. 46.],0
u1,1,0.005062,7.857143,[ 27 138] ; [ 1 54],[ 21. 144.] ; [ 7. 48.],0
b1,1,0.006199,7.491458,[ 53 112] ; [29 26],[ 61.5 103.5] ; [20.5 34.5],0
n1,1,0.00832,6.9632,[ 9 41] ; [9 9],[13.23529412 36.76470588] ; [ 4.76470588 13.23529412],0
p9,1,0.013153,6.148463,[121  40] ; [31 23],[113.82325581  47.17674419] ; [38.17674419 15.82325581],0
p10,1,0.014144,6.020067,[111  51] ; [27 27],[103.5  58.5] ; [34.5 19.5],0
a4,1,0.017545,5.641026,[ 60 105] ; [30 25],[67.5 97.5] ; [22.5 32.5],0
d5,1,0.070424,3.273102,[143  22] ; [42 13],[138.75  26.25] ; [46.25  8.75],0
n6,1,0.100976,2.690064,[104  60] ; [28 27],[98.84931507 65.15068493] ; [33.15068493 21.84931507],0
r2,1,0.101018,2.689405,[147  14] ; [45  9],[143.77674419  17.22325581] ; [48.22325581  5.77674419],0
p11,1,0.105588,2.619048,[110  55] ; [30 25],[105.  60.] ; [35. 20.],0
a1,1,0.107967,2.583732,[  6 159] ; [ 5 50],[  8.25 156.75] ; [ 2.75 52.25],0
d1,1,0.109067,2.567694,[107  58] ; [29 26],[102.  63.] ; [34. 21.],0
s4,1,0.119471,2.424242,[ 29 136] ; [15 40],[ 33. 132.] ; [11. 44.],0
p3,1,0.169802,1.884688,[ 60 103] ; [26 29],[64.30275229 98.69724771] ; [21.69724771 33.30275229],0
s5,1,0.173335,1.853858,[ 44 114] ; [19 31],[ 47.85576923 110.14423077] ; [15.14423077 34.85576923],0
r1,1,0.19068,1.712359,[125  39] ; [37 18],[121.31506849  42.68493151] ; [40.68493151 14.31506849],0
b5,1,0.203628,1.616162,[103  62] ; [29 26],[99. 66.] ; [33. 22.],0
p5,1,0.216356,1.528381,[ 10 154] ; [ 1 53],[  8.27522936 155.72477064] ; [ 2.72477064 51.27522936],0
r3,1,0.230478,1.437908,[155  10] ; [49  6],[153.  12.] ; [51.  4.],0
u3,1,0.231755,1.430059,[35 17] ; [11 10],[32.76712329 19.23287671] ; [13.23287671  7.76712329],0
n3,1,0.237491,1.395428,[37 13] ; [10  7],[35.07462687 14.92537313] ; [11.92537313  5.07462687],0
n2,1,0.261551,1.260527,[28 21] ; [13  5],[29.98507463 19.01492537] ; [11.01492537  6.98507463],0
r4,1,0.321973,0.980917,[136  29] ; [42 13],[133.5  31.5] ; [44.5 10.5],0
v2,1,0.356658,0.849628,[85 71] ; [25 28],[82.10526316 73.89473684] ; [27.89473684 25.10526316],0
s1,1,0.371857,0.797448,[  7 158] ; [ 4 51],[  8.25 156.75] ; [ 2.75 52.25],0
s3,1,0.387983,0.745256,[75 88] ; [28 25],[77.72685185 85.27314815] ; [25.27314815 27.72685185],0
p12,1,0.409042,0.681583,[  7 156] ; [ 1 53],[  6.00921659 156.99078341] ; [ 1.99078341 52.00921659],0
b3,1,0.422056,0.644583,[26 59] ; [13 21],[27.85714286 57.14285714] ; [11.14285714 22.85714286],0
b2,1,0.422056,0.644583,[26 59] ; [13 21],[27.85714286 57.14285714] ; [11.14285714 22.85714286],0
v3,1,0.476347,0.507215,[ 47 111] ; [12 37],[ 45.03381643 112.96618357] ; [13.96618357 35.03381643],0
p1,1,0.512812,0.428325,[  8 154] ; [ 4 51],[  8.95852535 153.04147465] ; [ 3.04147465 51.95852535],0
d2,1,0.531716,0.391111,[73 92] ; [27 28],[75. 90.] ; [25. 30.],0
a3,1,0.561116,0.337776,[111  54] ; [34 20],[109.24657534  55.75342466] ; [35.75342466 18.24657534],0
p4,1,0.569816,0.32299,[71 93] ; [21 33],[69.21100917 94.78899083] ; [22.78899083 31.21100917],0
p8,1,0.593,0.285683,[64 99] ; [19 35],[ 62.34562212 100.65437788] ; [20.65437788 33.34562212],0
a5,1,0.681375,0.168582,[110  55] ; [35 20],[108.75  56.25] ; [36.25 18.75],0
v1,1,0.757075,0.095681,[61 98] ; [22 32],[61.95774648 97.04225352] ; [21.04225352 32.95774648],0
