Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0003,13.070068,[16 19] ; [14 78],[ 8.26771654 26.73228346] ; [21.73228346 70.26771654],1
p7,1,0.000766,11.321154,[22 14] ; [26 64],[13.71428571 22.28571429] ; [34.28571429 55.71428571],1
d3,1,0.002132,9.432405,[28  8] ; [44 48],[20.25 15.75] ; [51.75 40.25],0
p2,1,0.003437,8.559688,[26 10] ; [40 52],[18.5625 17.4375] ; [47.4375 44.5625],0
s6,1,0.005938,7.568979,[21 15] ; [29 62],[14.17322835 21.82677165] ; [35.82677165 55.17322835],0
v2,1,0.006497,7.406934,[20 16] ; [26 62],[13.35483871 22.64516129] ; [32.64516129 55.35483871],0
r3,1,0.009891,6.654375,[33  3] ; [63 27],[27.42857143  8.57142857] ; [68.57142857 21.42857143],0
r4,1,0.011207,6.43225,[29  7] ; [52 40],[22.78125 13.21875] ; [58.21875 33.78125],0
v4,1,0.012267,6.27192,[33  3] ; [63 26],[27.648  8.352] ; [68.352 20.648],0
s8,1,0.014974,5.919552,[12 24] ; [13 78],[ 7.08661417 28.91338583] ; [17.91338583 73.08661417],0
p6,1,0.031952,4.601092,[10 26] ; [11 80],[ 5.95275591 30.04724409] ; [15.04724409 75.95275591],0
r2,1,0.034294,4.48,[34  2] ; [71 19],[30.  6.] ; [75. 15.],0
a5,1,0.035905,4.401609,[25 11] ; [45 47],[19.6875 16.3125] ; [50.3125 41.6875],0
d5,1,0.056245,3.64479,[29  7] ; [58 34],[24.46875 11.53125] ; [62.53125 29.46875],0
u1,1,0.062246,3.4765,[ 8 28] ; [ 9 83],[ 4.78125 31.21875] ; [12.21875 79.78125],0
s7,1,0.067378,3.345773,[14 22] ; [19 65],[ 9.9 26.1] ; [23.1 60.9],0
s3,1,0.096418,2.763823,[18 18] ; [31 60],[13.88976378 22.11023622] ; [35.11023622 55.88976378],0
d1,1,0.116451,2.464415,[20 16] ; [37 55],[16.03125 19.96875] ; [40.96875 51.03125],0
a7,1,0.151327,2.058824,[25 11] ; [50 40],[21.42857143 14.57142857] ; [53.57142857 36.42857143],0
v3,1,0.170472,1.878788,[12 24] ; [19 69],[ 9. 27.] ; [22. 66.],0
