Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.1e-05,18.083488,[32 10] ; [ 1 11],[25.66666667 16.33333333] ; [7.33333333 4.66666667],1
v4,1,0.000782,11.282293,[36  5] ; [5 7],[31.71698113  9.28301887] ; [9.28301887 2.71698113],1
r3,1,0.005479,7.714286,[32 10] ; [4 8],[28. 14.] ; [8. 4.],0
u3,1,0.025827,4.967575,[13 11] ; [1 8],[10.18181818 13.81818182] ; [3.81818182 5.18181818],0
r1,1,0.038214,4.295455,[28 14] ; [4 8],[24.88888889 17.11111111] ; [7.11111111 4.88888889],0
d3,1,0.066962,3.355968,[15 27] ; [ 1 11],[12.44444444 29.55555556] ; [3.55555556 8.44444444],0
a5,1,0.073371,3.205937,[19 23] ; [ 2 10],[16.33333333 25.66666667] ; [4.66666667 7.33333333],0
d5,1,0.073371,3.205937,[19 23] ; [ 2 10],[16.33333333 25.66666667] ; [4.66666667 7.33333333],0
v3,1,0.138211,2.197768,[12 29] ; [ 1 11],[10.05660377 30.94339623] ; [2.94339623 9.05660377],0
p4,1,0.162273,1.952915,[20 22] ; [3 9],[17.88888889 24.11111111] ; [5.11111111 6.88888889],0
n2,1,0.164725,1.930303,[12  6] ; [3 5],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
s7,1,0.202402,1.624956,[11 29] ; [ 1 10],[ 9.41176471 30.58823529] ; [2.58823529 8.41176471],0
p11,1,0.24417,1.356358,[22 20] ; [4 8],[20.22222222 21.77777778] ; [5.77777778 6.22222222],0
d2,1,0.264813,1.243421,[14 28] ; [ 2 10],[12.44444444 29.55555556] ; [3.55555556 8.44444444],0
p10,1,0.288934,1.124584,[ 9 32] ; [ 1 11],[ 7.73584906 33.26415094] ; [2.26415094 9.73584906],0
s8,1,0.303052,1.060714,[ 9 33] ; [ 1 11],[ 7.77777778 34.22222222] ; [2.22222222 9.77777778],0
a2,1,0.335592,0.927198,[ 1 41] ; [ 1 11],[ 1.55555556 40.44444444] ; [ 0.44444444 11.55555556],0
p12,1,0.335592,0.927198,[ 1 41] ; [ 1 11],[ 1.55555556 40.44444444] ; [ 0.44444444 11.55555556],0
s3,1,0.344401,0.893982,[20 21] ; [4 8],[18.56603774 22.43396226] ; [5.43396226 6.56603774],0
a3,1,0.346843,0.884972,[18 24] ; [3 8],[16.64150943 25.35849057] ; [4.35849057 6.64150943],0
a6,1,0.379775,0.771429,[20 22] ; [4 8],[18.66666667 23.33333333] ; [5.33333333 6.66666667],0
s2,1,0.383828,0.758406,[12 29] ; [ 2 10],[10.83018868 30.16981132] ; [3.16981132 8.83018868],0
n6,1,0.459181,0.54789,[26 16] ; [6 6],[24.88888889 17.11111111] ; [7.11111111 4.88888889],0
p3,1,0.471738,0.517902,[11 30] ; [ 2 10],[10.05660377 30.94339623] ; [2.94339623 9.05660377],0
b3,1,0.479003,0.501133,[ 7 22] ; [1 7],[ 6.27027027 22.72972973] ; [1.72972973 6.27027027],0
b2,1,0.479003,0.501133,[ 7 22] ; [1 7],[ 6.27027027 22.72972973] ; [1.72972973 6.27027027],0
b1,1,0.512691,0.428571,[20 22] ; [7 5],[21. 21.] ; [6. 6.],0
b5,1,0.512691,0.428571,[20 22] ; [7 5],[21. 21.] ; [6. 6.],0
n3,1,0.525358,0.403361,[12  4] ; [5 3],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
a8,1,0.568247,0.325625,[ 4 34] ; [ 2 10],[ 4.56 33.44] ; [ 1.44 10.56],0
v2,1,0.573922,0.316164,[10 31] ; [ 2 10],[ 9.28301887 31.71698113] ; [2.71698113 9.28301887],0
p5,1,0.580197,0.305916,[ 2 40] ; [ 1 10],[ 2.37735849 39.62264151] ; [ 0.62264151 10.37735849],0
p8,1,0.58262,0.302019,[11 31] ; [2 9],[10.30188679 31.69811321] ; [2.69811321 8.30188679],0
s6,1,0.583584,0.300477,[14 28] ; [3 9],[13.22222222 28.77777778] ; [3.77777778 8.22222222],0
s5,1,0.588243,0.293096,[ 6 36] ; [ 1 11],[ 5.44444444 36.55555556] ; [ 1.55555556 10.44444444],0
a1,1,0.633839,0.226891,[ 2 40] ; [ 1 11],[ 2.33333333 39.66666667] ; [ 0.66666667 11.33333333],0
s4,1,0.651618,0.203866,[ 8 34] ; [3 9],[ 8.55555556 33.44444444] ; [2.44444444 9.55555556],0
n1,1,0.653329,0.201728,[8 9] ; [3 5],[7.48 9.52] ; [3.52 4.48],0
a7,1,0.654422,0.200371,[17 25] ; [4 8],[16.33333333 25.66666667] ; [4.66666667 7.33333333],0
s1,1,0.687395,0.16192,[ 5 36] ; [ 2 10],[ 5.41509434 35.58490566] ; [ 1.58490566 10.41509434],0
p6,1,0.691356,0.157622,[10 32] ; [2 9],[ 9.50943396 32.49056604] ; [2.49056604 8.50943396],0
a4,1,0.691356,0.157622,[ 9 32] ; [ 2 10],[ 8.50943396 32.49056604] ; [2.49056604 9.50943396],0
b4,1,0.715337,0.133005,[22 20] ; [7 5],[22.55555556 19.44444444] ; [6.44444444 5.55555556],0
p1,1,0.728454,0.120536,[ 5 37] ; [ 1 11],[ 4.66666667 37.33333333] ; [ 1.33333333 10.66666667],0
n5,1,0.763218,0.090756,[26 16] ; [8 4],[26.44444444 15.55555556] ; [7.55555556 4.44444444],0
u2,1,0.824624,0.049107,[ 9 15] ; [3 6],[ 8.72727273 15.27272727] ; [3.27272727 5.72727273],0
p7,1,0.940751,0.005524,[21 20] ; [6 6],[20.88679245 20.11320755] ; [6.11320755 5.88679245],0
p2,1,0.941368,0.00541,[24 18] ; [7 5],[24.11111111 17.88888889] ; [6.88888889 5.11111111],0
n4,1,1.0,0.0,[28 14] ; [8 4],[28. 14.] ; [8. 4.],0
