Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,83.50771,[113  56] ; [ 26 130],[72.28 96.72] ; [66.72 89.28],1
p6,1,0.0,36.85642,[75 94] ; [ 21 134],[ 50.07407407 118.92592593] ; [ 45.92592593 109.07407407],1
p7,1,0.0,29.967357,[126  42] ; [68 83],[102.169279  65.830721] ; [91.830721 59.169279],1
p8,1,3e-06,21.981734,[106  64] ; [55 97],[85. 85.] ; [76. 76.],1
s6,1,2.1e-05,18.119524,[119  47] ; [74 79],[100.43260188  65.56739812] ; [92.56739812 60.43260188],1
s7,1,0.000298,13.084285,[87 76] ; [ 50 101],[71.11783439 91.88216561] ; [65.88216561 85.11783439],1
p2,1,0.000329,12.897821,[152  17] ; [116  39],[139.79012346  29.20987654] ; [128.20987654  26.79012346],1
p5,1,0.000581,11.835233,[ 24 146] ; [  5 150],[ 15.16923077 154.83076923] ; [ 13.83076923 141.16923077],1
a5,1,0.00371,8.420759,[126  44] ; [92 64],[113.6809816  56.3190184] ; [104.3190184  51.6809816],0
s8,1,0.00557,7.6844,[73 96] ; [ 44 111],[ 61.02777778 107.97222222] ; [55.97222222 99.02777778],0
p10,1,0.005588,7.678692,[146  23] ; [115  40],[136.13888889  32.86111111] ; [124.86111111  30.13888889],0
s3,1,0.01153,6.381696,[100  68] ; [70 84],[88.69565217 79.30434783] ; [81.30434783 72.69565217],0
n5,1,0.024689,5.045588,[126  43] ; [97 57],[116.67801858  52.32198142] ; [106.32198142  47.67801858],0
n4,1,0.026406,4.929254,[133  37] ; [105  51],[124.11042945  45.88957055] ; [113.88957055  42.11042945],0
s2,1,0.029423,4.742706,[84 85] ; [58 96],[74.29721362 94.70278638] ; [67.70278638 86.29721362],0
u2,1,0.03083,4.662405,[34 18] ; [28 34],[28.28070175 23.71929825] ; [33.71929825 28.28070175],0
d3,1,0.037668,4.31996,[121  49] ; [94 62],[112.11656442  57.88343558] ; [102.88343558  53.11656442],0
d1,1,0.037972,4.306262,[98 72] ; [72 84],[88.65030675 81.34969325] ; [81.34969325 74.65030675],0
d5,1,0.046759,3.954033,[136  34] ; [110  46],[128.28220859  41.71779141] ; [117.71779141  38.28220859],0
s5,1,0.049746,3.85,[ 55 110] ; [ 35 115],[ 47.14285714 117.85714286] ; [ 42.85714286 107.14285714],0
v4,1,0.05289,3.747385,[161   8] ; [138  16],[156.44272446  12.55727554] ; [142.55727554  11.44272446],0
b3,1,0.053641,3.723828,[36 65] ; [19 65],[30.02702703 70.97297297] ; [24.97297297 59.02702703],0
b2,1,0.053641,3.723828,[36 65] ; [19 65],[30.02702703 70.97297297] ; [24.97297297 59.02702703],0
d2,1,0.055037,3.680965,[82 88] ; [58 96],[73.45679012 96.54320988] ; [66.54320988 87.45679012],0
a4,1,0.079663,3.071774,[75 95] ; [ 54 102],[ 67.26993865 102.73006135] ; [61.73006135 94.26993865],0
a3,1,0.082791,3.009249,[117  53] ; [93 63],[109.50920245  60.49079755] ; [100.49079755  55.50920245],0
p9,1,0.10861,2.574333,[145  25] ; [120  33],[139.47368421  30.52631579] ; [125.52631579  27.47368421],0
p1,1,0.109105,2.567139,[ 17 153] ; [  8 145],[ 13.15789474 156.84210526] ; [ 11.84210526 141.15789474],0
r1,1,0.117261,2.453533,[131  38] ; [109  47],[124.8  44.2] ; [115.2  40.8],0
