Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001125,10.609535,[13  5] ; [24 54],[ 6.9375 11.0625] ; [30.0625 47.9375],0
p4,1,0.006876,7.305142,[16  2] ; [43 36],[10.94845361  7.05154639] ; [48.05154639 30.94845361],0
u4,1,0.02945,4.7411,[ 2 16] ; [ 1 78],[ 0.55670103 17.44329897] ; [ 2.44329897 76.55670103],0
p3,1,0.030177,4.699175,[15  3] ; [44 35],[10.94845361  7.05154639] ; [48.05154639 30.94845361],0
a1,1,0.035958,4.3991,[ 4 14] ; [ 5 74],[ 1.67010309 16.32989691] ; [ 7.32989691 71.67010309],0
s4,1,0.050274,3.832297,[ 2 16] ; [27 51],[ 5.4375 12.5625] ; [23.5625 54.4375],0
r2,1,0.085994,2.94781,[15  3] ; [75  4],[16.70103093  1.29896907] ; [73.29896907  5.70103093],0
v1,1,0.087245,2.924483,[14  4] ; [43 34],[10.8  7.2] ; [46.2 30.8],0
p8,1,0.107316,2.59331,[13  5] ; [40 38],[9.9375 8.0625] ; [43.0625 34.9375],0
n6,1,0.191788,1.70383,[17  1] ; [64 14],[15.1875  2.8125] ; [65.8125 12.1875],0
s8,1,0.218318,1.515395,[12  6] ; [40 39],[9.64948454 8.35051546] ; [42.35051546 36.64948454],0
p11,1,0.229007,1.447021,[16  2] ; [60 19],[14.10309278  3.89690722] ; [61.89690722 17.10309278],0
b4,1,0.241708,1.370606,[14  4] ; [50 29],[11.87628866  6.12371134] ; [52.12371134 26.87628866],0
s7,1,0.280391,1.165192,[13  5] ; [45 32],[10.98947368  7.01052632] ; [47.01052632 29.98947368],0
a3,1,0.314672,1.010964,[15  3] ; [56 22],[13.3125  4.6875] ; [57.6875 20.3125],0
p2,1,0.315334,1.008202,[16  2] ; [62 17],[14.4742268  3.5257732] ; [63.5257732 15.4742268],0
a8,1,0.335547,0.92737,[ 3 15] ; [ 7 71],[ 1.875 16.125] ; [ 8.125 69.875],0
v4,1,0.336424,0.924009,[16  2] ; [75  4],[16.88659794  1.11340206] ; [74.11340206  4.88659794],0
p7,1,0.36503,0.820513,[15  3] ; [57 21],[13.5  4.5] ; [58.5 19.5],0
d5,1,0.415973,0.661664,[16  2] ; [63 15],[14.8125  3.1875] ; [64.1875 13.8125],0
p9,1,0.427659,0.629172,[16  2] ; [64 15],[14.84536082  3.15463918] ; [65.15463918 13.84536082],0
u2,1,0.490279,0.475913,[2 1] ; [10 12],[1.44 1.56] ; [10.56 11.44],0
a6,1,0.542027,0.371796,[ 8 10] ; [29 50],[ 6.86597938 11.13402062] ; [30.13402062 48.86597938],0
d3,1,0.5681,0.325872,[10  8] ; [38 41],[8.90721649 9.09278351] ; [39.09278351 39.90721649],0
b5,1,0.602276,0.271576,[ 5 13] ; [27 52],[ 5.93814433 12.06185567] ; [26.06185567 52.93814433],0
b1,1,0.635561,0.224595,[10  8] ; [39 40],[9.09278351 8.90721649] ; [39.90721649 39.09278351],0
u3,1,0.635788,0.224293,[2 1] ; [12 11],[1.61538462 1.38461538] ; [12.38461538 10.61538462],0
p12,1,0.636178,0.223776,[ 2 16] ; [ 6 72],[ 1.5 16.5] ; [ 6.5 71.5],0
r1,1,0.646073,0.210887,[15  3] ; [62 17],[14.28865979  3.71134021] ; [62.71134021 16.28865979],0
p6,1,0.653817,0.201122,[9 9] ; [34 43],[8.14736842 9.85263158] ; [34.85263158 42.14736842],0
v2,1,0.670829,0.180634,[10  8] ; [39 39],[9.1875 8.8125] ; [39.8125 38.1875],0
d2,1,0.675634,0.175082,[11  7] ; [44 35],[10.20618557  7.79381443] ; [44.79381443 34.20618557],0
a5,1,0.702704,0.145674,[14  4] ; [58 21],[13.36082474  4.63917526] ; [58.63917526 20.36082474],0
s2,1,0.712989,0.135309,[12  6] ; [49 30],[11.31958763  6.68041237] ; [49.68041237 29.31958763],0
s1,1,0.734959,0.114606,[ 1 17] ; [ 3 76],[ 0.74226804 17.25773196] ; [ 3.25773196 75.74226804],0
d1,1,0.747764,0.10342,[11  7] ; [45 34],[10.39175258  7.60824742] ; [45.60824742 33.39175258],0
r3,1,0.762834,0.09106,[17  1] ; [73  6],[16.70103093  1.29896907] ; [73.29896907  5.70103093],0
n3,1,0.763441,0.09058,[1 1] ; [14  9],[1.2 0.8] ; [13.8  9.2],0
d4,1,0.781141,0.077191,[15  3] ; [67 11],[15.375  2.625] ; [66.625 11.375],0
b2,1,0.839714,0.040909,[7 7] ; [23 26],[6.66666667 7.33333333] ; [23.33333333 25.66666667],0
b3,1,0.839714,0.040909,[7 7] ; [23 26],[6.66666667 7.33333333] ; [23.33333333 25.66666667],0
p10,1,0.852169,0.034727,[14  4] ; [63 16],[14.28865979  3.71134021] ; [62.71134021 16.28865979],0
a4,1,0.884342,0.021161,[9 9] ; [41 38],[9.27835052 8.72164948] ; [40.72164948 38.27835052],0
s6,1,0.939534,0.005754,[14  3] ; [64 13],[14.10638298  2.89361702] ; [63.89361702 13.10638298],0
s3,1,0.97259,0.001181,[12  6] ; [53 26],[12.06185567  5.93814433] ; [52.93814433 26.06185567],0
r4,1,0.972904,0.001154,[16  2] ; [70  9],[15.95876289  2.04123711] ; [70.04123711  8.95876289],0
p1,1,0.972904,0.001154,[ 2 16] ; [ 9 70],[ 2.04123711 15.95876289] ; [ 8.95876289 70.04123711],0
