Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.712821,[106  11] ; [14 13],[97.5 19.5] ; [22.5  4.5],1
p10,1,4.9e-05,16.479295,[96 19] ; [12 14],[88.08510638 26.91489362] ; [19.91489362  6.08510638],1
p4,1,0.000155,14.314364,[74 42] ; [ 6 20],[65.35211268 50.64788732] ; [14.64788732 11.35211268],1
n6,1,0.000176,14.069333,[97 20] ; [12 13],[89.80985915 27.19014085] ; [19.19014085  5.80985915],1
v4,1,0.000179,14.037868,[111   5] ; [19  7],[106.1971831   9.8028169] ; [23.8028169  2.1971831],1
r3,1,0.000179,14.037868,[111   5] ; [19  7],[106.1971831   9.8028169] ; [23.8028169  2.1971831],1
p9,1,0.000183,13.997744,[99 17] ; [13 12],[92.14184397 23.85815603] ; [19.85815603  5.14184397],1
p2,1,0.000342,12.824628,[104  12] ; [16 10],[98.02816901 17.97183099] ; [21.97183099  4.02816901],1
p7,1,0.000377,12.642735,[81 35] ; [ 8 17],[73.21985816 42.78014184] ; [15.78014184  9.21985816],1
r1,1,0.000453,12.301218,[101  16] ; [14 11],[94.75352113 22.24647887] ; [20.24647887  4.75352113],1
p8,1,0.003328,8.618232,[67 47] ; [ 7 19],[60.25714286 53.74285714] ; [13.74285714 12.25714286],0
v2,1,0.005329,7.764258,[81 33] ; [11 15],[74.91428571 39.08571429] ; [17.08571429  8.91428571],0
s1,1,0.006438,7.423348,[  3 113] ; [ 4 22],[  5.71830986 110.28169014] ; [ 1.28169014 24.71830986],0
p3,1,0.035529,4.41955,[64 52] ; [ 8 17],[59.23404255 56.76595745] ; [12.76595745 12.23404255],0
s8,1,0.054359,3.701634,[34 83] ; [ 3 24],[30.0625 86.9375] ; [ 6.9375 20.0625],0
v3,1,0.070211,3.278069,[56 55] ; [ 8 18],[51.8540146 59.1459854] ; [12.1459854 13.8540146],0
a1,1,0.093867,2.80677,[  4 113] ; [ 3 24],[  5.6875 111.3125] ; [ 1.3125 25.6875],0
n5,1,0.10518,2.625191,[90 27] ; [16 10],[86.72727273 30.27272727] ; [19.27272727  6.72727273],0
a6,1,0.146671,2.106535,[82 35] ; [15 12],[78.8125 38.1875] ; [18.1875  8.8125],0
n4,1,0.151203,2.060068,[92 25] ; [17  9],[89.18181818 27.81818182] ; [19.81818182  6.18181818],0
u2,1,0.154213,2.030075,[17 15] ; [2 6],[15.2 16.8] ; [3.8 4.2],0
r2,1,0.159608,1.977936,[108   8] ; [22  4],[106.1971831   9.8028169] ; [23.8028169  2.1971831],0
a5,1,0.163706,1.939653,[89 28] ; [17 10],[86.125 30.875] ; [19.875  7.125],0
s4,1,0.176422,1.827506,[  8 109] ; [ 4 23],[  9.75 107.25] ; [ 2.25 24.75],0
d4,1,0.186948,1.741506,[92 25] ; [18  9],[89.375 27.625] ; [20.625  6.375],0
b4,1,0.190585,1.713088,[64 53] ; [11 16],[60.9375 56.0625] ; [14.0625 12.9375],0
