Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.2e-05,19.118544,[50  1] ; [8 6],[45.50769231  5.49230769] ; [12.49230769  1.50769231],1
v4,1,5.6e-05,16.244933,[50  1] ; [8 5],[46.21875  4.78125] ; [11.78125  1.21875],1
r1,1,0.000198,13.84765,[41 10] ; [ 4 10],[35.30769231 15.69230769] ; [9.69230769 4.30769231],1
s1,1,0.007255,7.208666,[ 1 50] ; [ 3 11],[ 3.13846154 47.86153846] ; [ 0.86153846 13.13846154],0
v2,1,0.008554,6.913636,[30 19] ; [ 3 11],[25.66666667 23.33333333] ; [7.33333333 6.66666667],0
p11,1,0.012803,6.196166,[42  9] ; [7 7],[38.44615385 12.55384615] ; [10.55384615  3.44615385],0
a5,1,0.016619,5.736127,[36 15] ; [5 9],[32.16923077 18.83076923] ; [8.83076923 5.16923077],0
a1,1,0.029444,4.74148,[ 2 49] ; [ 3 11],[ 3.92307692 47.07692308] ; [ 1.07692308 12.92307692],0
n4,1,0.035221,4.43442,[40 11] ; [7 7],[36.87692308 14.12307692] ; [10.12307692  3.87692308],0
s8,1,0.062337,3.474085,[21 30] ; [ 2 12],[18.04615385 32.95384615] ; [4.95384615 9.04615385],0
p2,1,0.074614,3.17848,[42  8] ; [8 5],[39.68253968 10.31746032] ; [10.31746032  2.68253968],0
n5,1,0.0784,3.097767,[38 13] ; [7 7],[35.30769231 15.69230769] ; [9.69230769 4.30769231],0
p7,1,0.089919,2.875823,[34 16] ; [5 7],[31.4516129 18.5483871] ; [7.5483871 4.4516129],0
n6,1,0.105317,2.623123,[39 12] ; [7 6],[36.65625 14.34375] ; [9.34375 3.65625],0
s4,1,0.122623,2.383499,[ 6 45] ; [ 4 10],[ 7.84615385 43.15384615] ; [ 2.15384615 11.84615385],0
v3,1,0.159352,1.98036,[21 26] ; [ 3 10],[18.8 28.2] ; [5.2 7.8],0
n3,1,0.168843,1.893182,[9 2] ; [3 3],[7.76470588 3.23529412] ; [4.23529412 1.76470588],0
a3,1,0.196658,1.667022,[35 16] ; [7 7],[32.95384615 18.04615385] ; [9.04615385 4.95384615],0
p10,1,0.227002,1.459548,[42  8] ; [9 4],[40.47619048  9.52380952] ; [10.52380952  2.47619048],0
n1,1,0.263552,1.25,[4 5] ; [1 5],[3. 6.] ; [2. 4.],0
s7,1,0.295877,1.092685,[23 26] ; [4 9],[21.33870968 27.66129032] ; [5.66129032 7.33870968],0
p5,1,0.313745,1.014844,[ 1 47] ; [ 1 12],[ 1.57377049 46.42622951] ; [ 0.42622951 12.57377049],0
b4,1,0.351783,0.867013,[29 22] ; [6 8],[27.46153846 23.53846154] ; [7.53846154 6.46153846],0
d5,1,0.365144,0.820123,[35 15] ; [8 6],[33.59375 16.40625] ; [9.40625 4.59375],0
u3,1,0.381905,0.76456,[10  6] ; [3 4],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
p4,1,0.414375,0.666213,[24 26] ; [5 9],[22.65625 27.34375] ; [6.34375 7.65625],0
s3,1,0.468685,0.525074,[35 16] ; [11  3],[36.09230769 14.90769231] ; [9.90769231 4.09230769],0
a7,1,0.474885,0.510587,[37 13] ; [9 5],[35.9375 14.0625] ; [10.0625  3.9375],0
b3,1,0.498234,0.458697,[15 16] ; [2 4],[14.24324324 16.75675676] ; [2.75675676 3.24324324],0
b2,1,0.498234,0.458697,[15 16] ; [2 4],[14.24324324 16.75675676] ; [2.75675676 3.24324324],0
v1,1,0.500617,0.453629,[26 23] ; [6 8],[24.88888889 24.11111111] ; [7.11111111 6.88888889],0
b5,1,0.503808,0.446906,[27 24] ; [6 8],[25.89230769 25.10769231] ; [7.10769231 6.89230769],0
n2,1,0.550985,0.355556,[8 2] ; [4 2],[7.5 2.5] ; [4.5 1.5],0
u2,1,0.55409,0.350041,[9 7] ; [3 4],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
p1,1,0.565846,0.329682,[ 2 49] ; [ 1 12],[ 2.390625 48.609375] ; [ 0.609375 12.390625],0
d2,1,0.61761,0.249241,[22 29] ; [5 9],[21.18461538 29.81538462] ; [5.81538462 8.18461538],0
