Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,26.793289,[73  8] ; [ 5 10],[65.8125 15.1875] ; [12.1875  2.8125],1
d1,1,1e-06,24.823607,[60 21] ; [ 1 14],[51.46875 29.53125] ; [9.53125 5.46875],1
d3,1,0.000129,14.654635,[62 19] ; [ 4 11],[55.6875 25.3125] ; [10.3125  4.6875],1
a3,1,0.00074,11.385263,[69 12] ; [7 8],[64.125 16.875] ; [11.875  3.125],1
d2,1,0.011923,6.322242,[50 31] ; [ 4 11],[45.5625 35.4375] ; [8.4375 6.5625],0
a4,1,0.023163,5.156253,[42 39] ; [ 3 12],[37.96875 43.03125] ; [7.03125 7.96875],0
p10,1,0.028077,4.823331,[73  6] ; [11  4],[70.59574468  8.40425532] ; [13.40425532  1.59574468],0
p9,1,0.029202,4.755685,[77  4] ; [11  3],[75.03157895  5.96842105] ; [12.96842105  1.03157895],0
p1,1,0.044556,4.035376,[22 59] ; [8 7],[25.3125 55.6875] ; [ 4.6875 10.3125],0
p8,1,0.111405,2.534171,[67 14] ; [9 5],[64.8 16.2] ; [11.2  2.8],0
a5,1,0.113045,2.511124,[64 17] ; [9 6],[61.59375 19.40625] ; [11.40625  3.59375],0
s1,1,0.124307,2.362197,[ 6 75] ; [ 3 12],[ 7.59375 73.40625] ; [ 1.40625 13.59375],0
a2,1,0.141343,2.163275,[19 62] ; [ 1 14],[16.875 64.125] ; [ 3.125 11.875],0
v1,1,0.167586,1.904407,[55 22] ; [8 7],[52.72826087 24.27173913] ; [10.27173913  4.72826087],0
u3,1,0.198982,1.649832,[8 4] ; [3 5],[6.6 5.4] ; [4.4 3.6],0
r1,1,0.216352,1.528406,[64 16] ; [14  1],[65.68421053 14.31578947] ; [12.31578947  2.68421053],0
v2,1,0.243037,1.362891,[44 34] ; [6 9],[41.93548387 36.06451613] ; [8.06451613 6.93548387],0
p2,1,0.266676,1.233766,[72  8] ; [12  3],[70.73684211  9.26315789] ; [13.26315789  1.73684211],0
r3,1,0.343501,0.897322,[74  5] ; [13  2],[73.11702128  5.88297872] ; [13.88297872  1.11702128],0
s2,1,0.356982,0.848483,[47 32] ; [7 8],[45.38297872 33.61702128] ; [8.61702128 6.38297872],0
u2,1,0.36131,0.833333,[7 5] ; [3 5],[6. 6.] ; [4. 4.],0
a6,1,0.371181,0.799709,[53 28] ; [8 7],[51.46875 29.53125] ; [9.53125 5.46875],0
s8,1,0.377144,0.779991,[50 30] ; [7 7],[48.5106383 31.4893617] ; [8.4893617 5.5106383],0
a1,1,0.396899,0.717702,[12 69] ; [ 1 14],[10.96875 70.03125] ; [ 2.03125 12.96875],0
a7,1,0.426061,0.633535,[57 24] ; [9 6],[55.6875 25.3125] ; [10.3125  4.6875],0
s4,1,0.43143,0.61897,[11 67] ; [ 1 14],[10.06451613 67.93548387] ; [ 1.93548387 13.06451613],0
p7,1,0.433818,0.612581,[64 14] ; [11  4],[62.90322581 15.09677419] ; [12.09677419  2.90322581],0
p4,1,0.437988,0.601548,[70 10] ; [12  3],[69.05263158 10.94736842] ; [12.94736842  2.05263158],0
b5,1,0.504024,0.446454,[40 41] ; [6 9],[38.8125 42.1875] ; [7.1875 7.8125],0
a8,1,0.568406,0.325357,[11 61] ; [ 3 11],[11.72093023 60.27906977] ; [ 2.27906977 11.72093023],0
b4,1,0.603986,0.269026,[49 32] ; [8 7],[48.09375 32.90625] ; [8.90625 6.09375],0
b2,1,0.62502,0.238875,[29 31] ; [4 6],[28.28571429 31.71428571] ; [4.71428571 5.28571429],0
b3,1,0.62502,0.238875,[29 31] ; [4 6],[28.28571429 31.71428571] ; [4.71428571 5.28571429],0
s7,1,0.66342,0.189395,[54 22] ; [10  3],[54.65168539 21.34831461] ; [9.34831461 3.65168539],0
p11,1,0.706082,0.142222,[68 13] ; [12  3],[67.5 13.5] ; [12.5  2.5],0
p6,1,0.707326,0.140962,[48 30] ; [10  5],[48.64516129 29.35483871] ; [9.35483871 5.64516129],0
s5,1,0.727908,0.121042,[48 24] ; [10  4],[48.55813953 23.44186047] ; [9.44186047 4.55813953],0
n1,1,0.737369,0.112453,[9 7] ; [2 1],[9.26315789 6.73684211] ; [1.73684211 1.26315789],0
b1,1,0.749933,0.101587,[36 45] ; [6 9],[35.4375 45.5625] ; [6.5625 8.4375],0
p12,1,0.752045,0.099821,[19 61] ; [ 3 12],[18.52631579 61.47368421] ; [ 3.47368421 11.52631579],0
v3,1,0.754824,0.097522,[45 33] ; [8 7],[44.4516129 33.5483871] ; [8.5483871 6.4516129],0
s6,1,0.842292,0.039586,[65 10] ; [11  2],[64.77272727 10.22727273] ; [11.22727273  1.77272727],0
p3,1,0.84834,0.036571,[63 18] ; [12  3],[63.28125 17.71875] ; [11.71875  3.28125],0
n2,1,0.891305,0.018674,[12  5] ; [2 1],[11.9  5.1] ; [2.1 0.9],0
r2,1,0.900095,0.015761,[73  6] ; [14  1],[73.11702128  5.88297872] ; [13.88297872  1.11702128],0
s3,1,0.943224,0.005072,[50 29] ; [9 5],[50.11827957 28.88172043] ; [8.88172043 5.11827957],0
