Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.4e-05,18.858048,[12  2] ; [26 71],[4.79279279 9.20720721] ; [33.20720721 63.79279279],1
p6,1,0.003817,8.368901,[6 8] ; [12 85],[ 2.27027027 11.72972973] ; [15.72972973 81.27027027],0
p4,1,0.005143,7.828293,[8 6] ; [21 75],[ 3.69090909 10.30909091] ; [25.30909091 70.69090909],0
d5,1,0.020128,5.400773,[13  1] ; [60 38],[9.125 4.875] ; [63.875 34.125],0
s8,1,0.020719,5.350281,[6 8] ; [16 81],[ 2.77477477 11.22522523] ; [19.22522523 77.77477477],0
p8,1,0.020921,5.333333,[7 7] ; [21 77],[ 3.5 10.5] ; [24.5 73.5],0
p3,1,0.027712,4.845866,[7 7] ; [22 76],[ 3.625 10.375] ; [25.375 72.625],0
a5,1,0.040603,4.192513,[12  2] ; [56 42],[8.5 5.5] ; [59.5 38.5],0
s5,1,0.056287,3.643555,[5 9] ; [14 80],[ 2.46296296 11.53703704] ; [16.53703704 77.46296296],0
v1,1,0.088341,2.904356,[6 8] ; [21 75],[ 3.43636364 10.56363636] ; [23.56363636 72.43636364],0
p7,1,0.088341,2.904356,[6 8] ; [21 75],[ 3.43636364 10.56363636] ; [23.56363636 72.43636364],0
s7,1,0.10052,2.697279,[4 7] ; [15 78],[2.00961538 8.99038462] ; [16.99038462 76.00961538],0
d3,1,0.11585,2.472542,[10  4] ; [48 50],[7.25 6.75] ; [50.75 47.25],0
d1,1,0.132063,2.268081,[9 5] ; [42 56],[6.375 7.625] ; [44.625 53.375],0
n6,1,0.149654,2.075778,[12  2] ; [64 32],[9.67272727 4.32727273] ; [66.32727273 29.67272727],0
v2,1,0.175133,1.838447,[8 6] ; [35 57],[5.67924528 8.32075472] ; [37.32075472 54.67924528],0
d4,1,0.182927,1.773686,[12  2] ; [67 31],[9.875 4.125] ; [69.125 28.875],0
u1,1,0.220015,1.504274,[ 3 11] ; [10 88],[ 1.625 12.375] ; [11.375 86.625],0
r3,1,0.280696,1.163716,[12  2] ; [70 27],[10.34234234  3.65765766] ; [71.65765766 25.34234234],0
r2,1,0.305402,1.050456,[13  1] ; [77 17],[11.66666667  2.33333333] ; [78.33333333 15.66666667],0
v4,1,0.313363,1.016447,[12  2] ; [71 26],[10.46846847  3.53153153] ; [72.53153153 24.46846847],0
p10,1,0.326083,0.964392,[8 6] ; [41 54],[6.29357798 7.70642202] ; [42.70642202 52.29357798],0
v3,1,0.335282,0.928388,[6 7] ; [31 64],[4.4537037 8.5462963] ; [32.5462963 62.4537037],0
s4,1,0.363122,0.827068,[ 3 11] ; [12 84],[ 1.90909091 12.09090909] ; [13.09090909 82.90909091],0
n2,1,0.363325,0.826367,[4 1] ; [23 16],[3.06818182 1.93181818] ; [23.93181818 15.06818182],0
n5,1,0.396571,0.7187,[7 7] ; [60 37],[8.45045045 5.54954955] ; [58.54954955 38.45045045],0
b2,1,0.419997,0.650323,[3 7] ; [27 35],[4.16666667 5.83333333] ; [25.83333333 36.16666667],0
b3,1,0.419997,0.650323,[3 7] ; [27 35],[4.16666667 5.83333333] ; [25.83333333 36.16666667],0
b1,1,0.430191,0.622308,[5 9] ; [46 52],[6.375 7.625] ; [44.625 53.375],0
p9,1,0.446227,0.580218,[8 6] ; [43 50],[6.6728972 7.3271028] ; [44.3271028 48.6728972],0
r4,1,0.50462,0.445208,[10  4] ; [61 37],[8.875 5.125] ; [62.125 35.875],0
r1,1,0.585137,0.298003,[7 7] ; [56 41],[7.94594595 6.05405405] ; [55.05405405 41.94594595],0
b4,1,0.614295,0.253968,[7 7] ; [56 42],[7.875 6.125] ; [55.125 42.875],0
p11,1,0.617019,0.25008,[6 8] ; [49 49],[6.875 7.125] ; [48.125 49.875],0
a1,1,0.644167,0.213333,[ 2 12] ; [10 88],[ 1.5 12.5] ; [10.5 87.5],0
a4,1,0.678695,0.171599,[6 8] ; [36 61],[5.2972973 8.7027027] ; [36.7027027 60.2972973],0
a3,1,0.693984,0.154807,[9 5] ; [57 40],[8.32432432 5.67567568] ; [57.67567568 39.32432432],0
a2,1,0.709147,0.13913,[ 3 11] ; [17 81],[ 2.5 11.5] ; [17.5 80.5],0
d2,1,0.714646,0.133681,[7 7] ; [43 53],[6.36363636 7.63636364] ; [43.63636364 52.36363636],0
b5,1,0.719913,0.128576,[7 7] ; [54 44],[7.625 6.375] ; [53.375 44.625],0
n4,1,0.735078,0.1145,[8 6] ; [60 37],[8.57657658 5.42342342] ; [59.42342342 37.57657658],0
u2,1,0.832004,0.045,[2 3] ; [18 22],[2.22222222 2.77777778] ; [17.77777778 22.22222222],0
n3,1,0.890599,0.018919,[3 2] ; [21 16],[2.85714286 2.14285714] ; [21.14285714 15.85714286],0
p1,1,0.895477,0.01726,[ 1 13] ; [ 8 90],[ 1.125 12.875] ; [ 7.875 90.125],0
a6,1,0.942308,0.005237,[8 6] ; [57 41],[8.125 5.875] ; [56.875 41.125],0
a7,1,0.966736,0.001739,[8 6] ; [56 41],[8.07207207 5.92792793] ; [55.92792793 41.07207207],0
s1,1,0.992053,9.9e-05,[ 1 13] ; [ 7 90],[ 1.00900901 12.99099099] ; [ 6.99099099 90.00900901],0
