Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000154,14.32381,[20  4] ; [27 43],[12. 12.] ; [35. 35.],1
a5,1,0.010619,6.528019,[21  4] ; [41 33],[15.65656566  9.34343434] ; [46.34343434 27.65656566],0
v1,1,0.028333,4.80766,[16  9] ; [27 43],[11.31578947 13.68421053] ; [31.68421053 38.31578947],0
r1,1,0.043749,4.066222,[22  3] ; [49 24],[18.1122449  6.8877551] ; [52.8877551 20.1122449],0
b4,1,0.18217,1.779835,[17  8] ; [39 35],[14.14141414 10.85858586] ; [41.85858586 32.14141414],0
a2,1,0.19067,1.712432,[ 1 24] ; [10 64],[ 2.77777778 22.22222222] ; [ 8.22222222 65.77777778],0
r4,1,0.192508,1.698319,[22  3] ; [56 18],[19.6969697  5.3030303] ; [58.3030303 15.6969697],0
n4,1,0.224966,1.472412,[16  9] ; [37 37],[13.38383838 11.61616162] ; [39.61616162 34.38383838],0
p12,1,0.231866,1.429377,[ 2 22] ; [ 2 71],[ 0.98969072 23.01030928] ; [ 3.01030928 69.98969072],0
s4,1,0.248703,1.330575,[ 2 23] ; [13 61],[ 3.78787879 21.21212121] ; [11.21212121 62.78787879],0
d1,1,0.262494,1.255556,[13 12] ; [29 45],[10.60606061 14.39393939] ; [31.39393939 42.60606061],0
s6,1,0.268868,1.222514,[11 14] ; [42 32],[13.38383838 11.61616162] ; [39.61616162 34.38383838],0
p1,1,0.274572,1.193762,[ 3 22] ; [ 4 69],[ 1.78571429 23.21428571] ; [ 5.21428571 67.78571429],0
p10,1,0.279354,1.170228,[19  5] ; [50 24],[16.89795918  7.10204082] ; [52.10204082 21.89795918],0
p3,1,0.28731,1.132183,[11 13] ; [25 49],[ 8.81632653 15.18367347] ; [27.18367347 46.81632653],0
d5,1,0.287511,1.13124,[20  5] ; [51 23],[17.92929293  7.07070707] ; [53.07070707 20.92929293],0
u3,1,0.29627,1.090909,[5 4] ; [20  7],[6.25 2.75] ; [18.75  8.25],0
a7,1,0.314658,1.011023,[18  7] ; [45 29],[15.90909091  9.09090909] ; [47.09090909 26.90909091],0
n1,1,0.315086,1.009234,[1 3] ; [11 10],[1.92 2.08] ; [10.08 10.92],0
s8,1,0.358586,0.842838,[11 14] ; [25 49],[ 9.09090909 15.90909091] ; [26.90909091 47.09090909],0
a8,1,0.369424,0.805601,[ 1 20] ; [ 8 62],[ 2.07692308 18.92307692] ; [ 6.92307692 63.07692308],0
v4,1,0.37021,0.80296,[24  1] ; [65  7],[22.93814433  2.06185567] ; [66.06185567  5.93814433],0
s1,1,0.402904,0.699643,[ 1 23] ; [ 1 72],[ 0.49484536 23.50515464] ; [ 1.50515464 71.49484536],0
s3,1,0.41421,0.666684,[11 13] ; [41 33],[12.73469388 11.26530612] ; [39.26530612 34.73469388],0
p7,1,0.442309,0.590285,[14 11] ; [44 24],[15.59139785  9.40860215] ; [42.40860215 25.59139785],0
p4,1,0.443138,0.588144,[10 14] ; [37 36],[11.62886598 12.37113402] ; [35.37113402 37.62886598],0
s7,1,0.46237,0.540152,[10 14] ; [23 46],[ 8.51612903 15.48387097] ; [24.48387097 44.51612903],0
a4,1,0.473429,0.513962,[ 9 16] ; [21 53],[ 7.57575758 17.42424242] ; [22.42424242 51.57575758],0
u1,1,0.488441,0.47996,[ 1 24] ; [ 6 68],[ 1.76767677 23.23232323] ; [ 5.23232323 68.76767677],0
r3,1,0.488441,0.47996,[24  1] ; [68  6],[23.23232323  1.76767677] ; [68.76767677  5.23232323],0
b5,1,0.490879,0.474599,[15 10] ; [50 24],[16.41414141  8.58585859] ; [48.58585859 25.41414141],0
p2,1,0.540811,0.374039,[18  6] ; [59 14],[19.05154639  4.94845361] ; [57.94845361 15.05154639],0
p8,1,0.592607,0.286291,[10 14] ; [35 38],[11.13402062 12.86597938] ; [33.86597938 39.13402062],0
d2,1,0.592948,0.285763,[ 7 18] ; [25 49],[ 8.08080808 16.91919192] ; [23.91919192 50.08080808],0
p5,1,0.63831,0.220959,[ 2 23] ; [ 4 70],[ 1.51515152 23.48484848] ; [ 4.48484848 69.51515152],0
a6,1,0.661986,0.19112,[15 10] ; [48 26],[15.90909091  9.09090909] ; [47.09090909 26.90909091],0
s5,1,0.677683,0.172746,[ 4 20] ; [15 58],[ 4.70103093 19.29896907] ; [14.29896907 58.70103093],0
r2,1,0.687839,0.161435,[22  3] ; [61 11],[21.39175258  3.60824742] ; [61.60824742 10.39175258],0
n3,1,0.726095,0.122727,[3 2] ; [15  7],[3.33333333 1.66666667] ; [14.66666667  7.33333333],0
d4,1,0.766197,0.088419,[19  6] ; [54 20],[18.43434343  6.56565657] ; [54.56565657 19.43434343],0
b2,1,0.794586,0.067788,[ 3 10] ; [12 33],[3.36206897 9.63793103] ; [11.63793103 33.36206897],0
b3,1,0.794586,0.067788,[ 3 10] ; [12 33],[3.36206897 9.63793103] ; [11.63793103 33.36206897],0
u2,1,0.824141,0.049383,[7 2] ; [20  7],[6.75 2.25] ; [20.25  6.75],0
p6,1,0.837549,0.042037,[ 6 18] ; [19 51],[ 6.38297872 17.61702128] ; [18.61702128 51.38297872],0
s2,1,0.847592,0.036938,[10 15] ; [28 46],[ 9.5959596 15.4040404] ; [28.4040404 45.5959596],0
b1,1,0.862713,0.029902,[13 12] ; [37 37],[12.62626263 12.37373737] ; [37.37373737 36.62626263],0
d3,1,0.942815,0.005146,[15 10] ; [45 29],[15.15151515  9.84848485] ; [44.84848485 29.15151515],0
a3,1,0.96513,0.001911,[16  9] ; [47 27],[15.90909091  9.09090909] ; [47.09090909 26.90909091],0
p9,1,0.973902,0.00107,[19  6] ; [56 18],[18.93939394  6.06060606] ; [56.06060606 17.93939394],0
n5,1,0.988595,0.000204,[11 14] ; [32 41],[10.96938776 14.03061224] ; [32.03061224 40.96938776],0
a1,1,0.990532,0.000141,[ 1 24] ; [ 3 71],[ 1.01010101 23.98989899] ; [ 2.98989899 71.01010101],0
