Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,160.273839,[432  51] ; [41 73],[382.67839196 100.32160804] ; [90.32160804 23.67839196],1
n6,1,0.0,36.572562,[442  40] ; [81 33],[422.96308725  59.03691275] ; [100.03691275  13.96308725],1
d2,1,4e-05,16.890362,[265 218] ; [39 77],[245.12854758 237.87145242] ; [58.87145242 57.12854758],1
p3,1,5.4e-05,16.300011,[279 203] ; [43 73],[259.53846154 222.46153846] ; [62.46153846 53.53846154],1
p4,1,0.000165,14.195904,[329 153] ; [57 58],[311.64489112 170.35510888] ; [74.35510888 40.64489112],1
p6,1,0.000182,14.007004,[205 275] ; [27 87],[187.47474747 292.52525253] ; [44.52525253 69.47474747],1
s7,1,0.000577,11.848572,[268 196] ; [44 67],[251.77043478 212.22956522] ; [60.22956522 50.77043478],1
a5,1,0.000639,11.660197,[396  89] ; [78 38],[382.5124792 102.4875208] ; [91.4875208 24.5124792],1
d1,1,0.001336,10.292184,[324 161] ; [59 57],[309.0765391 175.9234609] ; [73.9234609 42.0765391],0
r2,1,0.001655,9.897382,[470  10] ; [106   9],[464.67226891  15.32773109] ; [111.32773109   3.67226891],0
p11,1,0.002517,9.128116,[419  66] ; [87 29],[408.33610649  76.66389351] ; [97.66389351 18.33610649],0
a8,1,0.004455,8.088458,[ 70 366] ; [  6 103],[ 60.8 375.2] ; [15.2 93.8],0
a2,1,0.006165,7.501498,[140 345] ; [19 97],[128.31114809 356.68885191] ; [30.68885191 85.31114809],0
a4,1,0.007533,7.141232,[242 242] ; [42 74],[229.09333333 254.90666667] ; [54.90666667 61.09333333],0
s8,1,0.009625,6.70302,[251 230] ; [45 71],[238.48576214 242.51423786] ; [57.51423786 58.48576214],0
d5,1,0.009696,6.689974,[414  69] ; [88 28],[404.78464107  78.21535893] ; [97.21535893 18.78464107],0
u1,1,0.011177,6.436998,[110 375] ; [ 14 102],[100.06655574 384.93344426] ; [23.93344426 92.06655574],0
r4,1,0.011378,6.405266,[469  16] ; [106  10],[464.01830283  20.98169717] ; [110.98169717   5.01830283],0
s4,1,0.022594,5.199433,[ 73 405] ; [28 88],[ 81.27609428 396.72390572] ; [19.72390572 96.27609428],0
v3,1,0.029446,4.741356,[213 256] ; [37 72],[202.85467128 266.14532872] ; [47.14532872 61.85467128],0
p5,1,0.030012,4.708592,[ 70 411] ; [  8 107],[ 62.94966443 418.05033557] ; [15.05033557 99.94966443],0
p2,1,0.031033,4.651111,[427  56] ; [93 22],[420.  63.] ; [100.  15.],0
v1,1,0.035029,4.443743,[284 189] ; [55 57],[274.0974359 198.9025641] ; [64.9025641 47.0974359],0
a3,1,0.040348,4.203177,[373 110] ; [79 37],[364.46744574 118.53255426] ; [87.53255426 28.46744574],0
p8,1,0.054326,3.70266,[286 192] ; [58 58],[276.82154882 201.17845118] ; [67.17845118 48.82154882],0
s2,1,0.062377,3.473035,[269 210] ; [54 62],[260.02857143 218.97142857] ; [62.97142857 53.02857143],0
r3,1,0.072676,3.221526,[469  13] ; [109   7],[465.87959866  16.12040134] ; [112.12040134   3.87959866],0
p12,1,0.111626,2.531046,[ 53 430] ; [  7 109],[ 48.38063439 434.61936561] ; [ 11.61936561 104.38063439],0
n1,1,0.123809,2.368459,[30 43] ; [10 28],[26.30630631 46.69369369] ; [13.69369369 24.30630631],0
u2,1,0.142382,2.152027,[65 46] ; [26 10],[68.71428571 42.28571429] ; [22.28571429 13.71428571],0
p1,1,0.1653,1.925058,[ 45 439] ; [  6 108],[ 41.27759197 442.72240803] ; [  9.72240803 104.27759197],0
p7,1,0.218876,1.511723,[335 138] ; [72 39],[329.64212329 143.35787671] ; [77.35787671 33.64212329],0
a7,1,0.232597,1.424907,[358 126] ; [92 24],[363. 121.] ; [87. 29.],0
b1,1,0.24119,1.373627,[183 302] ; [37 79],[177.5374376 307.4625624] ; [42.4625624 73.5374376],0
s6,1,0.248561,1.331371,[345 130] ; [78 38],[339.97461929 135.02538071] ; [83.02538071 32.97461929],0
u3,1,0.251094,1.317204,[68 44] ; [25 10],[70.85714286 41.14285714] ; [22.14285714 12.85714286],0
b2,1,0.251769,1.31346,[123 186] ; [16 35],[119.30833333 189.69166667] ; [19.69166667 31.30833333],0
b3,1,0.251769,1.31346,[123 186] ; [16 35],[119.30833333 189.69166667] ; [19.69166667 31.30833333],0
s3,1,0.269988,1.216809,[287 191] ; [62 52],[281.79391892 196.20608108] ; [67.20608108 46.79391892],0
a1,1,0.305192,1.051369,[ 23 462] ; [  3 113],[ 20.98169717 464.01830283] ; [  5.01830283 110.98169717],0
s1,1,0.358693,0.842463,[ 16 461] ; [  2 114],[ 14.47892074 462.52107926] ; [  3.52107926 112.47892074],0
a6,1,0.373799,0.790997,[349 134] ; [79 37],[345.11519199 137.88480801] ; [82.88480801 33.11519199],0
u4,1,0.386489,0.749959,[ 10 475] ; [  1 115],[  8.87687188 476.12312812] ; [  2.12312812 113.87687188],0
v2,1,0.49339,0.469126,[291 175] ; [63 44],[287.89528796 178.10471204] ; [66.10471204 40.89528796],0
n2,1,0.562151,0.335994,[54 19] ; [30  8],[55.24324324 17.75675676] ; [28.75675676  9.24324324],0
s5,1,0.562183,0.335939,[181 287] ; [40 72],[178.32413793 289.67586207] ; [42.67586207 69.32413793],0
d4,1,0.567357,0.327125,[414  69] ; [97 19],[412.04173623  70.95826377] ; [98.95826377 17.04173623],0
b4,1,0.614306,0.253952,[276 209] ; [69 47],[278.4109817 206.5890183] ; [66.5890183 49.4109817],0
p9,1,0.650759,0.204944,[456  28] ; [108   8],[454.96  29.04] ; [109.04   6.96],0
n3,1,0.787512,0.072653,[55 18] ; [27 10],[54.41818182 18.58181818] ; [27.58181818  9.41818182],0
v4,1,0.835292,0.04323,[471  11] ; [112   3],[470.69681742  11.30318258] ; [112.30318258   2.69681742],0
b5,1,0.893536,0.017911,[281 204] ; [68 48],[281.63893511 203.36106489] ; [67.36106489 48.63893511],0
d3,1,0.905038,0.014232,[352 132] ; [85 31],[352.51333333 131.48666667] ; [84.48666667 31.51333333],0
