Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,70.296416,[ 43 123] ; [68 15],[74. 92.] ; [37. 46.],1
s8,1,0.000403,12.516844,[ 47 119] ; [42 40],[ 59.57258065 106.42741935] ; [29.42741935 52.57258065],1
r4,1,0.000498,12.121804,[121  46] ; [76  7],[131.596  35.404] ; [65.404 17.596],1
s6,1,0.000833,11.166302,[84 81] ; [60 22],[96.19433198 68.80566802] ; [47.80566802 34.19433198],1
s2,1,0.001198,10.493496,[ 59 104] ; [47 34],[70.81147541 92.18852459] ; [35.18852459 45.81147541],0
p5,1,0.001401,10.204539,[  6 161] ; [12 69],[ 12.12096774 154.87903226] ; [ 5.87903226 75.12096774],0
d5,1,0.001896,9.648031,[112  55] ; [71 12],[122.244  44.756] ; [60.756 22.244],0
a3,1,0.002568,9.091592,[102  63] ; [67 16],[112.43951613  52.56048387] ; [56.56048387 26.43951613],0
s3,1,0.002838,8.908734,[68 94] ; [51 31],[79.00819672 82.99180328] ; [39.99180328 42.00819672],0
p8,1,0.005385,7.745392,[ 33 133] ; [30 53],[ 42. 124.] ; [21. 62.],0
n6,1,0.005514,7.702652,[137  29] ; [79  4],[144.  22.] ; [72. 11.],0
p10,1,0.005816,7.606326,[109  55] ; [69 14],[118.18623482  45.81376518] ; [59.81376518 23.18623482],0
d1,1,0.006086,7.524704,[80 87] ; [55 28],[90.18 76.82] ; [44.82 38.18],0
p9,1,0.006917,7.294462,[118  44] ; [73 10],[126.29387755  35.70612245] ; [64.70612245 18.29387755],0
v4,1,0.010351,6.573506,[140  27] ; [79  4],[146.292  20.708] ; [72.708 10.292],0
s7,1,0.012843,6.19056,[ 57 106] ; [39 36],[65.74789916 97.25210084] ; [30.25210084 44.74789916],0
s5,1,0.013687,6.078073,[ 29 131] ; [25 52],[ 36.4556962 123.5443038] ; [17.5443038 59.4556962],0
r3,1,0.015912,5.812558,[134  31] ; [77  6],[140.38306452  24.61693548] ; [70.61693548 12.38306452],0
r2,1,0.017048,5.691429,[144  22] ; [80  3],[149.33333333  16.66666667] ; [74.66666667  8.33333333],0
v1,1,0.022509,5.206008,[63 99] ; [43 36],[71.25311203 90.74688797] ; [34.74688797 44.25311203],0
u1,1,0.029599,4.732434,[ 22 145] ; [20 63],[ 28.056 138.944] ; [13.944 69.056],0
n4,1,0.029616,4.731421,[138  29] ; [77  6],[143.62  23.38] ; [71.38 11.62],0
d2,1,0.037782,4.314788,[79 85] ; [51 31],[86.66666667 77.33333333] ; [43.33333333 38.66666667],0
p11,1,0.043161,4.089068,[110  57] ; [65 18],[116.9  50.1] ; [58.1 24.9],0
v2,1,0.045331,4.00628,[62 95] ; [43 38],[69.26470588 87.73529412] ; [35.73529412 45.26470588],0
p6,1,0.06118,3.5051,[ 21 144] ; [18 64],[ 26.05263158 138.94736842] ; [12.94736842 69.05263158],0
r1,1,0.068831,3.310682,[110  57] ; [64 19],[116.232  50.768] ; [57.768 25.232],0
p12,1,0.08242,3.01652,[ 11 155] ; [11 72],[ 14.66666667 151.33333333] ; [ 7.33333333 75.66666667],0
p1,1,0.09765,2.743509,[ 13 154] ; [12 71],[ 16.7 150.3] ; [ 8.3 74.7],0
d4,1,0.146846,2.104709,[120  46] ; [67 16],[124.66666667  41.33333333] ; [62.33333333 20.66666667],0
p2,1,0.160371,1.970728,[108  59] ; [61 22],[112.892  54.108] ; [56.108 26.892],0
u4,1,0.172449,1.861526,[  3 164] ; [ 4 79],[  4.676 162.324] ; [ 2.324 80.676],0
a5,1,0.173311,1.854072,[115  52] ; [64 19],[119.572  47.428] ; [59.428 23.572],0
a8,1,0.176932,1.823206,[ 20 136] ; [ 5 68],[ 17.03056769 138.96943231] ; [ 7.96943231 65.03056769],0
b1,1,0.256516,1.287461,[ 62 105] ; [37 46],[ 66.132 100.868] ; [32.868 50.132],0
a1,1,0.262845,1.253709,[ 12 155] ; [ 3 80],[ 10.02 156.98] ; [ 4.98 78.02],0
n3,1,0.264814,1.243415,[38 24] ; [15  5],[40.07317073 21.92682927] ; [12.92682927  7.07317073],0
u2,1,0.34334,0.897922,[28 37] ; [9 7],[29.69135802 35.30864198] ; [7.30864198 8.69135802],0
a4,1,0.391473,0.734362,[74 91] ; [42 41],[77.17741935 87.82258065] ; [38.82258065 44.17741935],0
n1,1,0.443613,0.58692,[28 34] ; [11  9],[29.48780488 32.51219512] ; [ 9.51219512 10.48780488],0
a7,1,0.446974,0.578313,[108  58] ; [58 25],[110.66666667  55.33333333] ; [55.33333333 27.66666667],0
b5,1,0.494012,0.467775,[108  59] ; [50 33],[105.544  61.456] ; [52.456 30.544],0
u3,1,0.539658,0.376173,[34 31] ; [7 9],[32.90123457 32.09876543] ; [8.09876543 7.90123457],0
d3,1,0.543569,0.368965,[100  67] ; [53 30],[102.204  64.796] ; [50.796 32.204],0
a6,1,0.591398,0.288166,[109  58] ; [57 26],[110.888  56.112] ; [55.112 27.888],0
s1,1,0.686929,0.16243,[  8 156] ; [ 5 77],[  8.66666667 155.33333333] ; [ 4.33333333 77.66666667],0
b4,1,0.737678,0.112178,[103  64] ; [53 30],[104.208  62.792] ; [51.792 31.208],0
b3,1,0.741672,0.108663,[37 56] ; [20 34],[36.06122449 56.93877551] ; [20.93877551 33.06122449],0
b2,1,0.741672,0.108663,[37 56] ; [20 34],[36.06122449 56.93877551] ; [20.93877551 33.06122449],0
n2,1,0.763472,0.090556,[47 17] ; [14  6],[46.47619048 17.52380952] ; [14.52380952  5.47619048],0
s4,1,0.838622,0.041476,[ 24 141] ; [11 70],[ 23.47560976 141.52439024] ; [11.52439024 69.47560976],0
v3,1,0.844037,0.038703,[ 54 108] ; [27 51],[ 54.675 107.325] ; [26.325 51.675],0
a2,1,0.980591,0.000592,[ 38 129] ; [19 64],[ 38.076 128.924] ; [18.924 64.076],0
