Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4e-06,21.464092,[ 3 70] ; [19 34],[12.74603175 60.25396825] ; [ 9.25396825 43.74603175],1
p8,1,5e-06,20.705482,[11 62] ; [29 26],[22.8125 50.1875] ; [17.1875 37.8125],1
p4,1,0.00017,14.140307,[15 59] ; [29 27],[25.04615385 48.95384615] ; [18.95384615 37.04615385],1
p3,1,0.000213,13.71623,[12 61] ; [26 30],[21.50387597 51.49612403] ; [16.49612403 39.50387597],1
p2,1,0.001865,9.677628,[35 39] ; [41 14],[43.59689922 30.40310078] ; [32.40310078 22.59689922],0
b1,1,0.003006,8.803968,[30 44] ; [38 19],[38.41221374 35.58778626] ; [29.58778626 27.41221374],0
s6,1,0.00622,7.485492,[17 57] ; [26 31],[24.29007634 49.70992366] ; [18.70992366 38.29007634],0
v4,1,0.006419,7.428639,[47 26] ; [48  8],[53.75968992 19.24031008] ; [41.24031008 14.75968992],0
p11,1,0.008416,6.942661,[27 47] ; [34 23],[34.45801527 39.54198473] ; [26.54198473 30.45801527],0
b3,1,0.013739,6.071429,[15 25] ; [ 3 25],[10.58823529 29.41176471] ; [ 7.41176471 20.58823529],0
b2,1,0.013739,6.071429,[15 25] ; [ 3 25],[10.58823529 29.41176471] ; [ 7.41176471 20.58823529],0
s3,1,0.035262,4.432457,[25 48] ; [30 27],[30.88461538 42.11538462] ; [24.11538462 32.88461538],0
r3,1,0.043433,4.078486,[51 23] ; [48  9],[55.92366412 18.07633588] ; [43.07633588 13.92366412],0
u2,1,0.047761,3.918367,[13 15] ; [15  5],[16.33333333 11.66666667] ; [11.66666667  8.33333333],0
n2,1,0.050233,3.833652,[17 16] ; [15  4],[20.30769231 12.69230769] ; [11.69230769  7.30769231],0
v2,1,0.070815,3.264021,[24 47] ; [26 26],[28.86178862 42.13821138] ; [21.13821138 30.86178862],0
p10,1,0.085103,2.964649,[28 45] ; [30 26],[32.82170543 40.17829457] ; [25.17829457 30.82170543],0
s7,1,0.097323,2.748869,[10 58] ; [14 38],[13.6 54.4] ; [10.4 41.6],0
p9,1,0.169541,1.886997,[36 37] ; [35 22],[39.86923077 33.13076923] ; [31.13076923 25.86923077],0
r2,1,0.172972,1.856994,[62 11] ; [43 14],[58.96153846 14.03846154] ; [46.03846154 10.96153846],0
n3,1,0.264048,1.247406,[18 13] ; [14  5],[19.84 11.16] ; [12.16  6.84],0
b5,1,0.295234,1.095597,[40 34] ; [36 21],[42.93129771 31.06870229] ; [33.06870229 23.93129771],0
s5,1,0.309107,1.034489,[ 7 63] ; [ 9 47],[ 8.88888889 61.11111111] ; [ 7.11111111 48.88888889],0
p1,1,0.358384,0.843547,[ 7 66] ; [ 3 54],[ 5.61538462 67.38461538] ; [ 4.38461538 52.61538462],0
a1,1,0.369862,0.804129,[ 7 67] ; [ 3 54],[ 5.64885496 68.35114504] ; [ 4.35114504 52.64885496],0
a5,1,0.370026,0.803578,[46 28] ; [31 26],[43.49618321 30.50381679] ; [33.50381679 23.49618321],0
s4,1,0.400534,0.706724,[ 8 66] ; [ 9 48],[ 9.60305344 64.39694656] ; [ 7.39694656 49.60305344],0
n5,1,0.408058,0.684451,[29 45] ; [26 30],[31.30769231 42.69230769] ; [23.69230769 32.30769231],0
a7,1,0.415561,0.662833,[48 26] ; [33 24],[45.75572519 28.24427481] ; [35.24427481 21.75572519],0
