Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,81.972378,[147   4] ; [29 35],[123.60930233  27.39069767] ; [52.39069767 11.60930233],1
r2,1,0.0,59.937545,[147   4] ; [36 28],[128.5255814  22.4744186] ; [54.4744186  9.5255814],1
r1,1,0.0,51.769087,[122  29] ; [20 46],[98.81105991 52.18894009] ; [43.18894009 22.81105991],1
v4,1,0.0,45.505734,[141   9] ; [37 29],[123.61111111  26.38888889] ; [54.38888889 11.61111111],1
p11,1,0.0,31.588927,[115  36] ; [24 42],[96.7235023 54.2764977] ; [42.2764977 23.7235023],1
p9,1,3.7e-05,17.022785,[110  40] ; [27 35],[96.93396226 53.06603774] ; [40.06603774 21.93396226],1
a6,1,3.7e-05,17.004248,[116  35] ; [32 34],[102.98617512  48.01382488] ; [45.01382488 20.98617512],1
p2,1,4.5e-05,16.656942,[102  49] ; [25 41],[88.37327189 62.62672811] ; [38.62672811 27.37327189],1
s6,1,0.000341,12.829454,[63 88] ; [11 55],[51.49308756 99.50691244] ; [22.50691244 43.49308756],1
p10,1,0.000445,12.334999,[98 51] ; [26 39],[86.3364486 62.6635514] ; [37.6635514 27.3364486],1
n6,1,0.000605,11.759462,[119  32] ; [37 29],[108.55299539  42.44700461] ; [47.44700461 18.55299539],1
a7,1,0.001651,9.901853,[108  43] ; [32 33],[97.87037037 53.12962963] ; [42.12962963 22.87037037],0
u3,1,0.002438,9.186832,[30 23] ; [ 7 24],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
p4,1,0.004322,8.143519,[54 96] ; [11 55],[ 45.13888889 104.86111111] ; [19.86111111 46.13888889],0
v2,1,0.007266,7.206031,[68 77] ; [17 46],[59.25480769 85.74519231] ; [25.74519231 37.25480769],0
a1,1,0.011876,6.329281,[  5 146] ; [ 8 58],[  9.04608295 141.95391705] ; [ 3.95391705 62.04608295],0
b1,1,0.01417,6.016873,[ 49 102] ; [33 33],[57.05990783 93.94009217] ; [24.94009217 41.05990783],0
n3,1,0.01671,5.726536,[30 14] ; [13 19],[24.89473684 19.10526316] ; [18.10526316 13.89473684],0
d3,1,0.017974,5.598713,[99 52] ; [32 34],[91.15668203 59.84331797] ; [39.84331797 26.15668203],0
p3,1,0.027187,4.878887,[ 39 112] ; [ 8 57],[ 32.85648148 118.14351852] ; [14.14351852 50.85648148],0
b5,1,0.036113,4.391782,[94 57] ; [31 35],[86.98156682 64.01843318] ; [38.01843318 27.98156682],0
v1,1,0.038991,4.26124,[57 93] ; [15 49],[50.46728972 99.53271028] ; [21.53271028 42.46728972],0
d5,1,0.044804,4.026018,[114  37] ; [41 25],[107.85714286  43.14285714] ; [47.14285714 18.85714286],0
u2,1,0.046412,3.96659,[29 24] ; [10 21],[24.60714286 28.39285714] ; [14.39285714 16.60714286],0
n2,1,0.05843,3.581396,[32 14] ; [16 17],[27.94936709 18.05063291] ; [20.05063291 12.94936709],0
p1,1,0.061412,3.498843,[  9 141] ; [ 9 57],[ 12.5 137.5] ; [ 5.5 60.5],0
a5,1,0.063119,3.453486,[98 53] ; [34 32],[91.85253456 59.14746544] ; [40.14746544 25.85253456],0
p8,1,0.06815,3.327033,[ 37 113] ; [ 9 57],[ 31.94444444 118.05555556] ; [14.05555556 51.94444444],0
s8,1,0.078035,3.105351,[ 28 123] ; [ 6 60],[ 23.65898618 127.34101382] ; [10.34101382 55.65898618],0
p6,1,0.102373,2.668178,[ 18 133] ; [ 3 61],[ 14.74883721 136.25116279] ; [ 6.25116279 57.74883721],0
n4,1,0.109887,2.55584,[106  45] ; [39 27],[100.89861751  50.10138249] ; [44.10138249 21.89861751],0
a3,1,0.111254,2.536322,[98 52] ; [35 30],[92.79069767 57.20930233] ; [40.20930233 24.79069767],0
d4,1,0.157528,1.997793,[114  37] ; [43 22],[109.75462963  41.24537037] ; [47.24537037 17.75462963],0
u1,1,0.188278,1.731041,[ 18 133] ; [ 4 62],[ 15.30875576 135.69124424] ; [ 6.69124424 59.30875576],0
v3,1,0.26663,1.234004,[ 41 103] ; [14 52],[ 37.71428571 106.28571429] ; [17.28571429 48.71428571],0
n5,1,0.330146,0.948325,[99 51] ; [39 27],[95.83333333 54.16666667] ; [42.16666667 23.83333333],0
p12,1,0.350303,0.872358,[  6 144] ; [ 1 64],[  4.88372093 145.11627907] ; [ 2.11627907 62.88372093],0
a2,1,0.376599,0.781776,[ 28 123] ; [ 9 57],[ 25.74654378 125.25345622] ; [11.25345622 54.74654378],0
