Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,242.58955,[550  48] ; [34 77],[492.56981664 105.43018336] ; [91.43018336 19.56981664],1
p11,1,0.0,55.117334,[500 102] ; [57 54],[470.28611501 131.71388499] ; [86.71388499 24.28611501],1
p2,1,0.0,32.626801,[526  72] ; [74 37],[506.06488011  91.93511989] ; [93.93511989 17.06488011],1
n5,1,1e-06,24.387362,[471 127] ; [63 48],[450.3977433 147.6022567] ; [83.6022567 27.3977433],1
b1,1,1e-06,23.63672,[201 401] ; [64 47],[223.74474053 378.25525947] ; [41.25525947 69.74474053],1
n6,1,2e-06,22.434697,[522  77] ; [77 34],[505.35352113  93.64647887] ; [93.64647887 17.35352113],1
r4,1,2e-06,22.186883,[564  38] ; [89 22],[551.34081346  50.65918654] ; [101.65918654   9.34081346],1
v1,1,3e-06,21.806329,[345 238] ; [39 72],[322.58213256 260.41786744] ; [61.41786744 49.58213256],1
p7,1,8e-06,19.838336,[399 187] ; [50 59],[378.58129496 207.41870504] ; [70.41870504 38.58129496],1
s6,1,9e-06,19.760842,[426 166] ; [55 54],[406.20827389 185.79172611] ; [74.79172611 34.20827389],1
s8,1,1.3e-05,19.002037,[301 299] ; [30 79],[280.11283498 319.88716502] ; [50.88716502 58.11283498],1
p6,1,1.4e-05,18.832423,[242 352] ; [20 87],[222.0085592 371.9914408] ; [39.9914408 67.0085592],1
p3,1,9.5e-05,15.236806,[331 269] ; [38 71],[312.27080395 287.72919605] ; [56.72919605 52.27080395],1
s7,1,0.000126,14.703753,[307 271] ; [34 70],[289. 289.] ; [52. 52.],1
n4,1,0.000256,13.369942,[483 117] ; [72 39],[468.35443038 131.64556962] ; [86.64556962 24.35443038],1
p8,1,0.00029,13.133689,[330 263] ; [41 70],[312.50426136 280.49573864] ; [58.49573864 52.50426136],1
p4,1,0.000751,11.358599,[390 209] ; [53 57],[374.26939351 224.73060649] ; [68.73060649 41.26939351],1
s2,1,0.000827,11.179534,[327 273] ; [40 68],[311.01694915 288.98305085] ; [55.98305085 52.01694915],1
a5,1,0.001395,10.21291,[479 123] ; [73 38],[466.06451613 135.93548387] ; [85.93548387 25.06451613],0
r3,1,0.001629,9.926724,[581  20] ; [99 11],[574.79606188  26.20393812] ; [105.20393812   4.79606188],0
s5,1,0.00172,9.827117,[213 364] ; [23 85],[198.79124088 378.20875912] ; [37.20875912 70.79124088],0
v2,1,0.002,9.549262,[350 225] ; [49 60],[335.41666667 239.58333333] ; [63.58333333 45.41666667],0
d3,1,0.002102,9.458151,[462 139] ; [70 41],[449.06179775 151.93820225] ; [82.93820225 28.06179775],0
r2,1,0.002766,8.955994,[577  18] ; [100  10],[571.36879433  23.63120567] ; [105.63120567   4.36879433],0
a3,1,0.003587,8.481794,[462 138] ; [71 40],[449.78902954 150.21097046] ; [83.21097046 27.78902954],0
p12,1,0.00443,8.098659,[ 52 548] ; [  1 109],[ 44.78873239 555.21126761] ; [  8.21126761 101.78873239],0
d1,1,0.004682,7.99845,[438 164] ; [66 45],[425.5371669 176.4628331] ; [78.4628331 32.5371669],0
p5,1,0.006596,7.379752,[ 74 523] ; [  4 107],[ 65.77118644 531.22881356] ; [12.22881356 98.77118644],0
s3,1,0.008163,6.997328,[342 255] ; [48 62],[329.32107496 267.67892504] ; [60.67892504 49.32107496],0
d4,1,0.017698,5.625796,[544  58] ; [91 19],[536.89606742  65.10393258] ; [98.10393258 11.89606742],0
b2,1,0.024155,5.083501,[143 220] ; [17 51],[134.75638051 228.24361949] ; [25.24361949 42.75638051],0
b3,1,0.024155,5.083501,[143 220] ; [17 51],[134.75638051 228.24361949] ; [25.24361949 42.75638051],0
n3,1,0.027972,4.829799,[103  34] ; [21 16],[97.63218391 39.36781609] ; [26.36781609 10.63218391],0
a8,1,0.032541,4.569743,[ 77 470] ; [ 6 91],[ 70.4984472 476.5015528] ; [12.5015528 84.4984472],0
v3,1,0.037535,4.325976,[243 333] ; [34 74],[233.26315789 342.73684211] ; [43.73684211 64.26315789],0
s1,1,0.046715,3.955642,[ 16 578] ; [  7 103],[ 19.40625 574.59375] ; [  3.59375 106.40625],0
