Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,63.010042,[102  40] ; [ 75 173],[64.44615385 77.55384615] ; [112.55384615 135.44615385],1
p7,1,0.000717,11.443382,[78 64] ; [ 90 152],[62.125 79.875] ; [105.875 136.125],1
s7,1,0.001278,10.374683,[75 60] ; [ 92 148],[60.12 74.88] ; [106.88 133.12],0
b1,1,0.001816,9.726674,[68 74] ; [ 80 170],[53.6122449 88.3877551] ; [ 94.3877551 155.6122449],0
p1,1,0.00295,8.838206,[ 14 128] ; [  7 242],[  7.62659847 134.37340153] ; [ 13.37340153 235.62659847],0
v1,1,0.006195,7.492699,[75 58] ; [103 144],[62.3 70.7] ; [115.7 131.3],0
d5,1,0.006217,7.48637,[124  18] ; [188  60],[113.6  28.4] ; [198.4  49.6],0
s8,1,0.006294,7.464202,[69 73] ; [ 86 163],[56.2915601 85.7084399] ; [ 98.7084399 150.2915601],0
n4,1,0.007307,7.195816,[114  27] ; [170  79],[102.67692308  38.32307692] ; [181.32307692  67.67692308],0
s6,1,0.007389,7.175889,[103  38] ; [147 100],[90.85051546 50.14948454] ; [159.14948454  87.85051546],0
u1,1,0.007512,7.146368,[ 38 104] ; [ 39 211],[ 27.89285714 114.10714286] ; [ 49.10714286 200.89285714],0
n3,1,0.009611,6.705549,[29  2] ; [60 25],[23.78448276  7.21551724] ; [65.21551724 19.78448276],0
v3,1,0.010523,6.544073,[57 75] ; [ 71 166],[45.78861789 86.21138211] ; [ 82.21138211 154.78861789],0
p5,1,0.011147,6.441766,[ 12 127] ; [  7 241],[  6.82428941 132.17571059] ; [ 12.17571059 235.82428941],0
p6,1,0.012584,6.226716,[43 98] ; [ 48 200],[ 32.98457584 108.01542416] ; [ 58.01542416 189.98457584],0
a5,1,0.036919,4.354153,[107  35] ; [163  87],[97.80612245 44.19387755] ; [172.19387755  77.80612245],0
a3,1,0.037836,4.312361,[109  33] ; [167  83],[99.97959184 42.02040816] ; [176.02040816  73.97959184],0
n5,1,0.047497,3.927698,[104  36] ; [160  88],[95.25773196 44.74226804] ; [168.74226804  79.25773196],0
s5,1,0.059325,3.556156,[47 87] ; [ 62 178],[39.05347594 94.94652406] ; [ 69.94652406 170.05347594],0
b2,1,0.062955,3.457765,[44 54] ; [48 97],[37.10288066 60.89711934] ; [54.89711934 90.10288066],0
b3,1,0.062955,3.457765,[44 54] ; [48 97],[37.10288066 60.89711934] ; [54.89711934 90.10288066],0
d2,1,0.064313,3.422502,[78 63] ; [113 135],[69.23136247 71.76863753] ; [121.76863753 126.23136247],0
d3,1,0.064325,3.422214,[86 56] ; [173  75],[94.3025641 47.6974359] ; [164.6974359  83.3025641],0
s2,1,0.064573,3.415856,[80 60] ; [117 130],[71.26614987 68.73385013] ; [125.73385013 121.26614987],0
p2,1,0.066469,3.368128,[110  32] ; [172  78],[102.15306122  39.84693878] ; [179.84693878  70.15306122],0
v2,1,0.06685,3.358723,[78 56] ; [115 123],[69.52150538 64.47849462] ; [123.47849462 114.52150538],0
p9,1,0.075394,3.161497,[117  24] ; [185  61],[110.03100775  30.96899225] ; [191.96899225  54.03100775],0
p10,1,0.081816,3.028446,[111  30] ; [173  72],[103.74093264  37.25906736] ; [180.25906736  64.74093264],0
a2,1,0.147267,2.100337,[43 99] ; [ 59 191],[ 36.94897959 105.05102041] ; [ 65.05102041 184.94897959],0
a1,1,0.159796,1.976155,[  8 134] ; [  7 243],[  5.43367347 136.56632653] ; [  9.56632653 240.43367347],0
