Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,42.874149,[ 1 40] ; [70 43],[18.9025974 22.0974026] ; [52.0974026 60.9025974],1
d4,1,1e-06,24.848598,[23 18] ; [103  10],[33.54545455  7.45454545] ; [92.45454545 20.54545455],1
d3,1,1.4e-05,18.914689,[14 27] ; [82 31],[25.55844156 15.44155844] ; [70.44155844 42.55844156],1
d2,1,0.000122,14.762157,[ 5 36] ; [52 61],[15.17532468 25.82467532] ; [41.82467532 71.17532468],1
a5,1,0.000148,14.399482,[12 29] ; [72 41],[22.36363636 18.63636364] ; [61.63636364 51.36363636],1
a3,1,0.001409,10.193758,[17 23] ; [80 33],[25.35947712 14.64052288] ; [71.64052288 41.35947712],0
a4,1,0.001856,9.686928,[ 6 35] ; [47 66],[14.11038961 26.88961039] ; [38.88961039 74.11038961],0
a7,1,0.007143,7.236749,[22 19] ; [86 27],[28.75324675 12.24675325] ; [79.24675325 33.75324675],0
p10,1,0.011846,6.33378,[17 24] ; [70 39],[23.78 17.22] ; [63.22 45.78],0
v2,1,0.025761,4.971976,[13 26] ; [59 50],[18.97297297 20.02702703] ; [53.02702703 55.97297297],0
s6,1,0.066197,3.3749,[14 27] ; [56 54],[19.00662252 21.99337748] ; [50.99337748 59.00662252],0
s5,1,0.066922,3.356948,[ 5 34] ; [29 77],[ 9.14482759 29.85517241] ; [24.85517241 81.14482759],0
a6,1,0.083083,3.003528,[19 22] ; [70 43],[23.69480519 17.30519481] ; [65.30519481 47.69480519],0
a1,1,0.086041,2.94692,[ 3 38] ; [  2 111],[ 1.33116883 39.66883117] ; [  3.66883117 109.33116883],0
n2,1,0.099935,2.706579,[12  3] ; [20 16],[9.41176471 5.58823529] ; [22.58823529 13.41176471],0
p11,1,0.114891,2.485615,[30 11] ; [67 46],[25.82467532 15.17532468] ; [71.17532468 41.82467532],0
r2,1,0.119015,2.430237,[34  7] ; [100   9],[36.62666667  4.37333333] ; [97.37333333 11.62666667],0
p6,1,0.13626,2.219695,[ 8 31] ; [12 97],[ 5.27027027 33.72972973] ; [14.72972973 94.27027027],0
s2,1,0.138339,2.196334,[10 31] ; [42 71],[13.84415584 27.15584416] ; [38.15584416 74.84415584],0
r4,1,0.14119,2.164938,[28 13] ; [90 23],[31.41558442  9.58441558] ; [86.58441558 26.41558442],0
b4,1,0.194034,1.686722,[21 20] ; [71 42],[24.49350649 16.50649351] ; [67.50649351 45.49350649],0
s7,1,0.216688,1.526173,[ 9 31] ; [35 71],[12.05479452 27.94520548] ; [31.94520548 74.05479452],0
