Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,7.2e-05,15.764392,[41 19] ; [41 71],[28.60465116 31.39534884] ; [53.39534884 58.60465116],1
p7,1,0.010728,6.509801,[41 16] ; [56 53],[33.30722892 23.69277108] ; [63.69277108 45.30722892],0
p8,1,0.022892,5.17666,[33 27] ; [41 70],[25.96491228 34.03508772] ; [48.03508772 62.96491228],0
v1,1,0.025762,4.971906,[39 20] ; [53 57],[32.1183432 26.8816568] ; [59.8816568 50.1183432],0
n4,1,0.042686,4.107784,[52  8] ; [82 30],[46.74418605 13.25581395] ; [87.25581395 24.74418605],0
p2,1,0.064862,3.408474,[51  9] ; [82 31],[46.12716763 13.87283237] ; [86.87283237 26.12716763],0
r1,1,0.083589,2.993695,[47 13] ; [98 13],[50.87719298  9.12280702] ; [94.12280702 16.87719298],0
b5,1,0.08555,2.956169,[43 17] ; [66 47],[37.80346821 22.19653179] ; [71.19653179 41.80346821],0
n5,1,0.099741,2.709675,[50 10] ; [80 31],[45.61403509 14.38596491] ; [84.38596491 26.61403509],0
d3,1,0.100519,2.697293,[47 13] ; [75 38],[42.31213873 17.68786127] ; [79.68786127 33.31213873],0
a3,1,0.120461,2.411321,[39 21] ; [86 27],[43.35260116 16.64739884] ; [81.64739884 31.35260116],0
n2,1,0.135963,2.223065,[6 4] ; [32  7],[7.75510204 2.24489796] ; [30.24489796  8.75510204],0
u1,1,0.176034,1.830792,[14 46] ; [17 96],[10.75144509 49.24855491] ; [20.24855491 92.75144509],0
p1,1,0.176603,1.825983,[ 5 55] ; [  4 109],[ 3.12138728 56.87861272] ; [  5.87861272 107.12138728],0
d4,1,0.202436,1.624714,[52  8] ; [89 24],[48.9017341 11.0982659] ; [92.0982659 20.9017341],0
p9,1,0.208693,1.580468,[54  6] ; [92 19],[51.22807018  8.77192982] ; [94.77192982 16.22807018],0
s5,1,0.34129,0.905579,[26 31] ; [41 67],[23.14545455 33.85454545] ; [43.85454545 64.14545455],0
b1,1,0.344152,0.894905,[19 41] ; [44 69],[21.84971098 38.15028902] ; [41.15028902 71.84971098],0
r2,1,0.359387,0.840035,[56  3] ; [101  10],[54.48823529  4.51176471] ; [102.51176471   8.48823529],0
