Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,51.623872,[ 18 337] ; [20 38],[ 32.66343826 322.33656174] ; [ 5.33656174 52.66343826],1
p1,1,0.0,42.414148,[ 20 332] ; [19 39],[ 33.48292683 318.51707317] ; [ 5.51707317 52.48292683],1
s5,1,0.0,29.879414,[107 244] ; [35 15],[124.29426434 226.70573566] ; [17.70573566 32.29426434],1
p6,1,2e-06,22.527356,[153 200] ; [44 13],[169.61219512 183.38780488] ; [27.38780488 29.61219512],1
p3,1,9e-06,19.637477,[202 153] ; [50  7],[217.13592233 137.86407767] ; [34.86407767 22.13592233],1
p4,1,7.6e-05,15.663877,[239 116] ; [53  4],[251.60194175 103.39805825] ; [40.39805825 16.60194175],1
p8,1,8.1e-05,15.535734,[230 123] ; [52  5],[242.79512195 110.20487805] ; [39.20487805 17.79512195],1
s7,1,0.000115,14.872168,[164 176] ; [40 12],[176.93877551 163.06122449] ; [27.06122449 24.93877551],1
a1,1,0.000193,13.894081,[ 13 342] ; [ 9 49],[ 18.91041162 336.08958838] ; [ 3.08958838 54.91041162],1
s8,1,0.001825,9.717361,[152 202] ; [36 19],[162.71882641 191.28117359] ; [25.28117359 29.71882641],0
v3,1,0.002994,8.811144,[130 213] ; [32 22],[139.96473552 203.03526448] ; [22.03526448 31.96473552],0
s6,1,0.008036,7.025494,[241 110] ; [45  7],[249.09677419 101.90322581] ; [36.90322581 15.09677419],0
b5,1,0.011833,6.335725,[238 117] ; [29 29],[229.50363196 125.49636804] ; [37.49636804 20.50363196],0
p11,1,0.022527,5.204578,[287  68] ; [54  4],[293.11138015  61.88861985] ; [47.88861985 10.11138015],0
n5,1,0.022575,5.200926,[261  91] ; [51  7],[267.86341463  84.13658537] ; [44.13658537 13.86341463],0
b2,1,0.023884,5.103069,[ 70 142] ; [22 21],[ 76.48627451 135.51372549] ; [15.51372549 27.48627451],0
b3,1,0.023884,5.103069,[ 70 142] ; [22 21],[ 76.48627451 135.51372549] ; [15.51372549 27.48627451],0
p9,1,0.042191,4.127514,[308  45] ; [55  2],[312.53414634  40.46585366] ; [50.46585366  6.53414634],0
p10,1,0.052388,3.763328,[302  52] ; [54  3],[306.62773723  47.37226277] ; [49.37226277  7.62773723],0
