Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,31.474776,[84  7] ; [22 22],[71.45185185 19.54814815] ; [34.54814815  9.45185185],1
p9,1,6e-06,20.339317,[76 15] ; [18 22],[65.29770992 25.70229008] ; [28.70229008 11.29770992],1
p10,1,1.8e-05,18.387941,[68 22] ; [16 27],[56.84210526 33.15789474] ; [27.15789474 15.84210526],1
p11,1,9.7e-05,15.194805,[65 26] ; [16 28],[54.6 36.4] ; [26.4 17.6],1
p7,1,0.000121,14.777726,[49 39] ; [ 9 35],[38.66666667 49.33333333] ; [19.33333333 24.66666667],1
p4,1,0.000133,14.598114,[48 43] ; [ 8 36],[37.74814815 53.25185185] ; [18.25185185 25.74814815],1
r3,1,0.000688,11.521317,[74 16] ; [24 20],[65.82089552 24.17910448] ; [32.17910448 11.82089552],1
p8,1,0.003,8.807662,[41 50] ; [ 8 35],[33.2761194 57.7238806] ; [15.7238806 27.2761194],0
s6,1,0.003057,8.77313,[45 46] ; [10 34],[37.07407407 53.92592593] ; [17.92592593 26.07407407],0
p3,1,0.007774,7.084748,[40 51] ; [ 9 35],[33.02962963 57.97037037] ; [15.97037037 28.02962963],0
n6,1,0.008243,6.979853,[71 20] ; [24 19],[64.51492537 26.48507463] ; [30.48507463 12.51492537],0
s2,1,0.00941,6.743257,[37 54] ; [ 8 36],[30.33333333 60.66666667] ; [14.66666667 29.33333333],0
p6,1,0.017108,5.685214,[25 66] ; [ 4 39],[19.69402985 71.30597015] ; [ 9.30597015 33.69402985],0
s1,1,0.021184,5.311611,[ 1 90] ; [ 4 40],[ 3.37037037 87.62962963] ; [ 1.62962963 42.37037037],0
a1,1,0.021906,5.253239,[ 4 87] ; [ 7 37],[ 7.41481481 83.58518519] ; [ 3.58518519 40.41481481],0
r4,1,0.023936,5.099299,[54 37] ; [17 27],[47.85925926 43.14074074] ; [23.14074074 20.85925926],0
