Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,8e-06,19.876967,[33 31] ; [ 73 233],[18.33513514 45.66486486] ; [ 87.66486486 218.33513514],1
s2,1,0.000288,13.146409,[47 19] ; [148 169],[33.60313316 32.39686684] ; [161.39686684 155.60313316],1
n4,1,0.000697,11.496025,[38 30] ; [242  76],[49.32642487 18.67357513] ; [230.67357513  87.32642487],1
s3,1,0.003275,8.647782,[48 18] ; [168 149],[37.22193211 28.77806789] ; [178.77806789 138.22193211],0
n5,1,0.004094,8.241652,[36 32] ; [224  92],[46.04166667 21.95833333] ; [213.95833333 102.04166667],0
s6,1,0.004739,7.976363,[53 14] ; [193 124],[42.921875 24.078125] ; [203.078125 113.921875],0
a8,1,0.008957,6.831404,[ 2 61] ; [ 45 245],[ 8.38810198 54.61189802] ; [ 38.61189802 251.38810198],0
b3,1,0.015218,5.891068,[ 7 29] ; [ 83 121],[13.5 22.5] ; [ 76.5 127.5],0
b2,1,0.015218,5.891068,[ 7 29] ; [ 83 121],[13.5 22.5] ; [ 76.5 127.5],0
p11,1,0.025764,4.971784,[41 27] ; [236  84],[48.54639175 19.45360825] ; [228.45360825  91.54639175],0
p2,1,0.07043,3.272967,[43 25] ; [237  83],[49.07216495 18.92783505] ; [230.92783505  89.07216495],0
d3,1,0.103386,2.652515,[50 17] ; [205 114],[44.26165803 22.73834197] ; [210.73834197 108.26165803],0
p9,1,0.143385,2.141247,[56 10] ; [243  74],[51.52480418 14.47519582] ; [247.47519582  69.52480418],0
n2,1,0.145729,2.116396,[19  3] ; [67 27],[16.31034483  5.68965517] ; [69.68965517 24.31034483],0
u2,1,0.146353,2.10986,[ 8 10] ; [59 35],[10.76785714  7.23214286] ; [56.23214286 37.76785714],0
v3,1,0.156352,2.009155,[18 48] ; [109 190],[22.96438356 43.03561644] ; [104.03561644 194.96438356],0
d2,1,0.164027,1.936707,[28 40] ; [160 157],[33.20519481 34.79480519] ; [154.79480519 162.20519481],0
p1,1,0.173182,1.85518,[ 6 62] ; [ 15 304],[ 3.68992248 64.31007752] ; [ 17.31007752 301.68992248],0
b1,1,0.189839,1.718867,[21 47] ; [126 194],[25.7628866 42.2371134] ; [121.2371134 198.7628866],0
s8,1,0.282232,1.15631,[31 37] ; [123 196],[27.05943152 40.94056848] ; [126.94056848 192.05943152],0
p12,1,0.329701,0.950073,[ 2 65] ; [ 19 300],[ 3.64507772 63.35492228] ; [ 17.35492228 301.64507772],0
b4,1,0.338864,0.914724,[44 24] ; [187 133],[40.48453608 27.51546392] ; [190.51546392 129.48453608],0
v4,1,0.349272,0.876099,[66  1] ; [307  12],[64.74352332  2.25647668] ; [308.25647668  10.74352332],0
p7,1,0.350163,0.872866,[26 41] ; [141 172],[29.44473684 37.55526316] ; [137.55526316 175.44473684],0
s7,1,0.423096,0.641699,[32 33] ; [134 172],[29.08355795 35.91644205] ; [136.91644205 169.08355795],0
a2,1,0.440642,0.59461,[15 53] ; [ 85 235],[17.5257732 50.4742268] ; [ 82.4742268 237.5257732],0
v1,1,0.447337,0.577389,[29 39] ; [147 161],[31.82978723 36.17021277] ; [144.17021277 163.82978723],0
p5,1,0.449909,0.57088,[ 2 66] ; [ 16 299],[ 3.19582245 64.80417755] ; [ 14.80417755 300.19582245],0
r1,1,0.485644,0.486163,[54 14] ; [263  54],[55.98961039 12.01038961] ; [261.01038961  55.98961039],0
d1,1,0.511191,0.431629,[34 34] ; [174 146],[36.45360825 31.54639175] ; [171.54639175 148.45360825],0
s1,1,0.51605,0.421781,[ 2 65] ; [ 15 298],[ 2.99736842 64.00263158] ; [ 14.00263158 298.99736842],0
a5,1,0.52482,0.404412,[49 19] ; [218 102],[46.79381443 21.20618557] ; [220.20618557  99.79381443],0
a3,1,0.528674,0.39694,[50 18] ; [223  97],[47.84536082 20.15463918] ; [225.15463918  94.84536082],0
a7,1,0.542649,0.370652,[50 17] ; [227  93],[47.95607235 19.04392765] ; [229.04392765  90.95607235],0
p6,1,0.585696,0.297117,[14 54] ; [ 75 242],[15.71948052 52.28051948] ; [ 73.28051948 243.71948052],0
d5,1,0.624835,0.23913,[52 15] ; [256  63],[53.4611399 13.5388601] ; [254.5388601  64.4611399],0
a6,1,0.674969,0.175845,[46 22] ; [224  95],[47.44186047 20.55813953] ; [222.55813953  96.44186047],0
d4,1,0.675269,0.175501,[53 15] ; [255  63],[54.25906736 13.74093264] ; [253.74093264  64.25906736],0
r3,1,0.692674,0.156206,[67  1] ; [317   3],[67.29896907  0.70103093] ; [316.70103093   3.29896907],0
v2,1,0.69633,0.152318,[33 33] ; [159 143],[34.43478261 31.56521739] ; [157.56521739 144.43478261],0
b5,1,0.712616,0.135678,[46 22] ; [209 111],[44.69072165 23.30927835] ; [210.30927835 109.69072165],0
u1,1,0.726038,0.122781,[14 54] ; [ 60 260],[12.96907216 55.03092784] ; [ 61.03092784 258.96907216],0
a1,1,0.745342,0.105487,[ 2 66] ; [ 12 308],[ 2.45360825 65.54639175] ; [ 11.54639175 308.45360825],0
p4,1,0.823931,0.049503,[30 38] ; [145 173],[30.82901554 37.17098446] ; [144.17098446 173.82901554],0
p10,1,0.827417,0.047531,[50 17] ; [231  84],[49.28534031 17.71465969] ; [231.71465969  83.28534031],0
a4,1,0.829669,0.046279,[31 37] ; [150 169],[31.80361757 36.19638243] ; [149.19638243 169.80361757],0
p3,1,0.881507,0.022219,[24 44] ; [116 204],[24.53608247 43.46391753] ; [115.46391753 204.53608247],0
n1,1,0.883892,0.021327,[ 8 14] ; [35 57],[ 8.29824561 13.70175439] ; [34.70175439 57.29824561],0
n3,1,0.926371,0.00854,[17  5] ; [71 22],[16.83478261  5.16521739] ; [71.16521739 21.83478261],0
u3,1,0.931876,0.007308,[12  6] ; [63 33],[11.84210526  6.15789474] ; [63.15789474 32.84210526],0
n6,1,0.9993,1e-06,[55 13] ; [258  61],[54.99741602 13.00258398] ; [258.00258398  60.99741602],0
