Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000119,14.808242,[ 2 31] ; [13 13],[ 8.38983051 24.61016949] ; [ 6.61016949 19.38983051],1
s6,1,0.03242,4.576152,[ 6 27] ; [11 14],[ 9.67241379 23.32758621] ; [ 7.32758621 17.67241379],0
s5,1,0.03874,4.272225,[ 3 29] ; [ 8 18],[ 6.06896552 25.93103448] ; [ 4.93103448 21.06896552],0
p2,1,0.039158,4.253986,[11 21] ; [16 10],[14.89655172 17.10344828] ; [12.10344828 13.89655172],0
n5,1,0.073089,3.212252,[24  9] ; [13 13],[20.69491525 12.30508475] ; [16.30508475  9.69491525],0
r3,1,0.073983,3.192355,[16 16] ; [19  7],[19.31034483 12.68965517] ; [15.68965517 10.31034483],0
v1,1,0.092799,2.825128,[ 5 27] ; [ 9 17],[ 7.72413793 24.27586207] ; [ 6.27586207 19.72413793],0
v2,1,0.094374,2.798144,[ 7 25] ; [11 15],[ 9.93103448 22.06896552] ; [ 8.06896552 17.93103448],0
r2,1,0.098909,2.723051,[13 17] ; [17  9],[16.07142857 13.92857143] ; [13.92857143 12.07142857],0
p8,1,0.09937,2.715633,[ 4 27] ; [ 8 18],[ 6.52631579 24.47368421] ; [ 5.47368421 20.52631579],0
d4,1,0.119084,2.429329,[19 14] ; [20  6],[21.81355932 11.18644068] ; [17.18644068  8.81355932],0
a3,1,0.137218,2.208879,[16 17] ; [17  8],[18.77586207 14.22413793] ; [14.22413793 10.77586207],0
s7,1,0.157479,1.998264,[ 4 27] ; [ 7 18],[ 6.08928571 24.91071429] ; [ 4.91071429 20.08928571],0
a4,1,0.162501,1.950794,[ 8 24] ; [11 15],[10.48275862 21.51724138] ; [ 8.51724138 17.48275862],0
p6,1,0.167027,1.909429,[ 3 28] ; [ 6 20],[ 4.89473684 26.10526316] ; [ 4.10526316 21.89473684],0
a5,1,0.194254,1.685053,[16 17] ; [17  9],[18.45762712 14.54237288] ; [14.54237288 11.45762712],0
s8,1,0.239431,1.383941,[ 2 31] ; [ 4 22],[ 3.3559322 29.6440678] ; [ 2.6440678 23.3559322],0
n2,1,0.343446,0.897527,[5 9] ; [7 6],[6.22222222 7.77777778] ; [5.77777778 7.22222222],0
b5,1,0.350564,0.871413,[18 15] ; [11 15],[16.22033898 16.77966102] ; [12.77966102 13.22033898],0
u2,1,0.366444,0.815686,[ 3 14] ; [3 6],[ 3.92307692 13.07692308] ; [2.07692308 6.92307692],0
a7,1,0.383064,0.760847,[14 19] ; [14 12],[15.66101695 17.33898305] ; [12.33898305 13.66101695],0
d5,1,0.400099,0.708029,[18 15] ; [17  9],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
u1,1,0.426277,0.632947,[ 3 30] ; [ 1 25],[ 2.23728814 30.76271186] ; [ 1.76271186 24.23728814],0
a6,1,0.441356,0.592754,[16 17] ; [10 16],[14.54237288 18.45762712] ; [11.45762712 14.54237288],0
b4,1,0.447246,0.577622,[21 12] ; [14 12],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
a1,1,0.453216,0.562596,[ 2 31] ; [ 3 23],[ 2.79661017 30.20338983] ; [ 2.20338983 23.79661017],0
p5,1,0.475447,0.509289,[ 2 30] ; [ 3 23],[ 2.75862069 29.24137931] ; [ 2.24137931 23.75862069],0
s4,1,0.481051,0.49648,[ 6 27] ; [ 3 23],[ 5.03389831 27.96610169] ; [ 3.96610169 22.03389831],0
b1,1,0.481961,0.494424,[16 17] ; [15 11],[17.33898305 15.66101695] ; [13.66101695 12.33898305],0
u3,1,0.481991,0.494355,[ 2 15] ; [2 7],[ 2.61538462 14.38461538] ; [1.38461538 7.61538462],0
p7,1,0.511018,0.431983,[10 23] ; [10 16],[11.18644068 21.81355932] ; [ 8.81355932 17.18644068],0
p9,1,0.513585,0.426756,[14 17] ; [14 12],[15.22807018 15.77192982] ; [12.77192982 13.22807018],0
d1,1,0.541478,0.372807,[14 19] ; [ 9 17],[12.86440678 20.13559322] ; [10.13559322 15.86440678],0
p4,1,0.543103,0.369819,[ 9 24] ; [ 9 17],[10.06779661 22.93220339] ; [ 7.93220339 18.06779661],0
d3,1,0.636337,0.223564,[16 17] ; [11 15],[15.10169492 17.89830508] ; [11.89830508 14.10169492],0
n3,1,0.670896,0.180556,[7 7] ; [5 7],[6.46153846 7.53846154] ; [5.53846154 6.46153846],0
p3,1,0.713274,0.135029,[ 9 24] ; [ 6 20],[ 8.38983051 24.61016949] ; [ 6.61016949 19.38983051],0
s3,1,0.747416,0.103715,[11 21] ; [10 16],[11.5862069 20.4137931] ; [ 9.4137931 16.5862069],0
s1,1,0.757468,0.095362,[ 3 30] ; [ 3 23],[ 3.3559322 29.6440678] ; [ 2.6440678 23.3559322],0
d2,1,0.770657,0.084982,[16 16] ; [12 14],[15.44827586 16.55172414] ; [12.55172414 13.44827586],0
a8,1,0.775993,0.080966,[ 5 28] ; [ 3 21],[ 4.63157895 28.36842105] ; [ 3.36842105 20.63157895],0
a2,1,0.804511,0.061263,[ 2 31] ; [ 2 24],[ 2.23728814 30.76271186] ; [ 1.76271186 24.23728814],0
n1,1,0.816334,0.053946,[6 8] ; [5 8],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
p1,1,0.848129,0.036674,[ 3 30] ; [ 2 24],[ 2.79661017 30.20338983] ; [ 2.20338983 23.79661017],0
s2,1,0.851103,0.035236,[ 7 26] ; [ 5 21],[ 6.71186441 26.28813559] ; [ 5.28813559 20.71186441],0
p10,1,0.854742,0.033515,[14 18] ; [12 14],[14.34482759 17.65517241] ; [11.65517241 14.34482759],0
n6,1,0.880862,0.022463,[16 16] ; [13 12],[16.28070175 15.71929825] ; [12.71929825 12.28070175],0
b2,1,0.889732,0.019222,[ 8 15] ; [ 7 12],[ 8.21428571 14.78571429] ; [ 6.78571429 12.21428571],0
b3,1,0.889732,0.019222,[ 8 15] ; [ 7 12],[ 8.21428571 14.78571429] ; [ 6.78571429 12.21428571],0
p11,1,0.907989,0.013358,[16 17] ; [13 13],[16.22033898 16.77966102] ; [12.77966102 13.22033898],0
n4,1,0.917739,0.010667,[22 11] ; [17  9],[21.81355932 11.18644068] ; [17.18644068  8.81355932],0
