Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,32.626138,[81 13] ; [ 8 18],[69.71666667 24.28333333] ; [19.28333333  6.71666667],1
n6,1,0.0,25.584026,[89  6] ; [14 12],[80.8677686 14.1322314] ; [22.1322314  3.8677686],1
a5,1,0.000151,14.354551,[76 19] ; [11 15],[68.30578512 26.69421488] ; [18.69421488  7.30578512],1
p11,1,0.002582,9.081275,[70 25] ; [11 15],[63.59504132 31.40495868] ; [17.40495868  8.59504132],0
d2,1,0.005468,7.717713,[68 27] ; [11 15],[62.02479339 32.97520661] ; [16.97520661  9.02479339],0
u1,1,0.00668,7.357157,[28 67] ; [ 1 25],[22.76859504 72.23140496] ; [ 6.23140496 19.76859504],0
v3,1,0.007111,7.244624,[44 44] ; [ 4 18],[38.4 49.6] ; [ 9.6 12.4],0
p4,1,0.010757,6.505071,[56 39] ; [ 8 18],[50.24793388 44.75206612] ; [13.75206612 12.24793388],0
d1,1,0.015225,5.890252,[68 27] ; [12 14],[62.80991736 32.19008264] ; [17.19008264  8.80991736],0
a3,1,0.06853,3.317895,[75 20] ; [16 10],[71.44628099 23.55371901] ; [19.55371901  6.44628099],0
a2,1,0.124516,2.359582,[29 66] ; [ 4 22],[25.90909091 69.09090909] ; [ 7.09090909 18.90909091],0
b4,1,0.13378,2.248087,[54 41] ; [19  7],[57.31404959 37.68595041] ; [15.68595041 10.31404959],0
p12,1,0.148653,2.086015,[14 81] ; [ 1 24],[11.875 83.125] ; [ 3.125 21.875],0
p3,1,0.155931,2.013253,[44 51] ; [ 8 18],[40.82644628 54.17355372] ; [11.17355372 14.82644628],0
v2,1,0.170388,1.879524,[52 39] ; [ 9 13],[49.12389381 41.87610619] ; [11.87610619 10.12389381],0
u2,1,0.173016,1.856614,[16  4] ; [5 4],[14.48275862  5.51724138] ; [6.51724138 2.48275862],0
r1,1,0.192162,1.700967,[80 15] ; [19  7],[77.72727273 17.27272727] ; [21.27272727  4.72727273],0
p6,1,0.209887,1.572205,[26 69] ; [ 4 22],[23.55371901 71.44628099] ; [ 6.44628099 19.55371901],0
a4,1,0.235749,1.405836,[49 46] ; [10 16],[46.32231405 48.67768595] ; [12.67768595 13.32231405],0
d4,1,0.243444,1.360538,[82 13] ; [20  6],[80.08264463 14.91735537] ; [21.91735537  4.08264463],0
b5,1,0.257834,1.280352,[66 29] ; [15 11],[63.59504132 31.40495868] ; [17.40495868  8.59504132],0
r2,1,0.260504,1.266074,[89  5] ; [23  3],[87.73333333  6.26666667] ; [24.26666667  1.73333333],0
s7,1,0.260624,1.265438,[66 23] ; [15  9],[63.79646018 25.20353982] ; [17.20353982  6.79646018],0
r4,1,0.292518,1.107994,[87  8] ; [22  4],[85.5785124  9.4214876] ; [23.4214876  2.5785124],0
a8,1,0.306944,1.04378,[10 73] ; [ 1 21],[ 8.6952381 74.3047619] ; [ 2.3047619 19.6952381],0
s4,1,0.321706,0.981997,[14 80] ; [ 6 20],[15.66666667 78.33333333] ; [ 4.33333333 21.66666667],0
s5,1,0.335808,0.92637,[25 59] ; [10 15],[26.97247706 57.02752294] ; [ 8.02752294 16.97247706],0
n3,1,0.390837,0.736337,[17  7] ; [8 6],[15.78947368  8.21052632] ; [9.21052632 4.78947368],0
p9,1,0.394374,0.725412,[81 13] ; [19  5],[79.66101695 14.33898305] ; [20.33898305  3.66101695],0
b3,1,0.404285,0.695544,[25 46] ; [7 8],[26.41860465 44.58139535] ; [5.58139535 9.41860465],0
b2,1,0.404285,0.695544,[25 46] ; [7 8],[26.41860465 44.58139535] ; [5.58139535 9.41860465],0
p5,1,0.441523,0.592322,[ 8 85] ; [ 1 24],[ 7.09322034 85.90677966] ; [ 1.90677966 23.09322034],0
v1,1,0.465344,0.53301,[42 46] ; [14 11],[43.61061947 44.38938053] ; [12.38938053 12.61061947],0
