Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000336,12.857143,[6 3] ; [ 4 32],[2. 7.] ; [ 8. 28.],1
d2,1,0.009994,6.635945,[6 3] ; [ 8 28],[2.8 6.2] ; [11.2 24.8],0
d1,1,0.015178,5.895722,[5 4] ; [ 6 30],[2.2 6.8] ; [ 8.8 27.2],0
p12,1,0.017706,5.625,[3 6] ; [ 2 34],[1. 8.] ; [ 4. 32.],0
p3,1,0.029262,4.752155,[6 3] ; [10 26],[3.2 5.8] ; [12.8 23.2],0
p1,1,0.03647,4.375,[2 7] ; [ 1 35],[0.6 8.4] ; [ 2.4 33.6],0
r4,1,0.045657,3.994223,[6 3] ; [11 25],[3.4 5.6] ; [13.6 22.4],0
s6,1,0.052574,3.757411,[7 2] ; [15 21],[4.4 4.6] ; [17.6 18.4],0
b2,1,0.059894,3.540305,[4 2] ; [ 5 15],[2.07692308 3.92307692] ; [ 6.92307692 13.07692308],0
b3,1,0.059894,3.540305,[4 2] ; [ 5 15],[2.07692308 3.92307692] ; [ 6.92307692 13.07692308],0
a3,1,0.100292,2.700893,[7 2] ; [17 19],[4.8 4.2] ; [19.2 16.8],0
v3,1,0.17753,1.818182,[4 5] ; [ 8 28],[2.4 6.6] ; [ 9.6 26.4],0
a6,1,0.178744,1.808036,[6 3] ; [15 21],[4.2 4.8] ; [16.8 19.2],0
p8,1,0.178744,1.808036,[6 3] ; [15 21],[4.2 4.8] ; [16.8 19.2],0
d4,1,0.188313,1.730769,[8 1] ; [24 12],[6.4 2.6] ; [25.6 10.4],0
s3,1,0.188313,1.730769,[1 8] ; [12 24],[2.6 6.4] ; [10.4 25.6],0
v1,1,0.218742,1.512605,[5 4] ; [12 24],[3.4 5.6] ; [13.6 22.4],0
p4,1,0.223543,1.481481,[7 2] ; [20 16],[5.4 3.6] ; [21.6 14.4],0
v2,1,0.242485,1.366089,[5 4] ; [12 23],[3.47727273 5.52272727] ; [13.52272727 21.47727273],0
a5,1,0.281862,1.158088,[7 2] ; [21 15],[5.6 3.4] ; [22.4 13.6],0
b5,1,0.286869,1.134259,[4 5] ; [23 13],[5.4 3.6] ; [21.6 14.4],0
n2,1,0.291841,1.111111,[1 2] ; [8 4],[1.8 1.2] ; [7.2 4.8],0
s8,1,0.350169,0.872845,[2 7] ; [14 22],[3.2 5.8] ; [12.8 23.2],0
b1,1,0.365228,0.819838,[4 5] ; [22 14],[5.2 3.8] ; [20.8 15.2],0
p6,1,0.370028,0.803571,[3 6] ; [ 7 29],[2. 7.] ; [ 8. 28.],0
b4,1,0.370028,0.803571,[6 3] ; [18 18],[4.8 4.2] ; [19.2 16.8],0
p2,1,0.370028,0.803571,[8 1] ; [27  9],[7. 2.] ; [28.  8.],0
n3,1,0.437558,0.602679,[1 2] ; [7 5],[1.6 1.4] ; [6.4 5.6],0
r1,1,0.533389,0.387931,[4 5] ; [12 24],[3.2 5.8] ; [12.8 23.2],0
d5,1,0.546088,0.364372,[6 3] ; [20 16],[5.2 3.8] ; [20.8 15.2],0
p7,1,0.546088,0.364372,[6 3] ; [20 16],[5.2 3.8] ; [20.8 15.2],0
u1,1,0.550097,0.357143,[1 8] ; [ 2 34],[0.6 8.4] ; [ 2.4 33.6],0
a7,1,0.550097,0.357143,[4 5] ; [20 16],[4.8 4.2] ; [19.2 16.8],0
r3,1,0.561524,0.337072,[7 2] ; [30  5],[7.56818182 1.43181818] ; [29.43181818  5.56818182],0
u3,1,0.599126,0.276316,[1 1] ; [ 6 13],[0.66666667 1.33333333] ; [ 6.33333333 12.66666667],0
s2,1,0.613102,0.255682,[3 6] ; [ 9 27],[2.4 6.6] ; [ 9.6 26.4],0
a8,1,0.725238,0.123529,[1 7] ; [ 6 28],[1.33333333 6.66666667] ; [ 5.66666667 28.33333333],0
n5,1,0.736042,0.113636,[7 2] ; [26 10],[6.6 2.4] ; [26.4  9.6],0
a4,1,0.742234,0.108173,[3 6] ; [10 26],[2.6 6.4] ; [10.4 25.6],0
n4,1,0.758486,0.094538,[6 3] ; [22 14],[5.6 3.4] ; [22.4 13.6],0
s7,1,0.78112,0.077206,[3 5] ; [11 23],[2.66666667 5.33333333] ; [11.33333333 22.66666667],0
a1,1,0.79339,0.068598,[1 8] ; [ 3 33],[0.8 8.2] ; [ 3.2 32.8],0
d3,1,0.881235,0.022321,[5 4] ; [19 17],[4.8 4.2] ; [19.2 16.8],0
v4,1,1.0,0.0,[6 3] ; [24 12],[6. 3.] ; [24. 12.],0
