Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,106.690208,[306  32] ; [41 55],[270.24423963  67.75576037] ; [76.75576037 19.24423963],1
n6,1,0.0,48.645648,[310  28] ; [60 35],[288.8221709  49.1778291] ; [81.1778291 13.8221709],1
s7,1,7.2e-05,15.767512,[228  99] ; [43 48],[212.00239234 114.99760766] ; [58.99760766 32.00239234],1
v1,1,0.000227,13.590866,[192 136] ; [33 57],[176.55502392 151.44497608] ; [48.44497608 41.55502392],1
p4,1,0.000502,12.107524,[237 101] ; [49 47],[222.73732719 115.26267281] ; [63.26267281 32.73732719],1
p11,1,0.000788,11.270326,[285  54] ; [66 30],[273.53793103  65.46206897] ; [77.46206897 18.53793103],1
v3,1,0.001452,10.138133,[149 180] ; [25 68],[135.65402844 193.34597156] ; [38.34597156 54.65402844],0
p6,1,0.001593,9.968105,[154 182] ; [26 68],[140.65116279 195.34883721] ; [39.34883721 54.65116279],0
p9,1,0.002232,9.348604,[305  32] ; [75 20],[296.43518519  40.56481481] ; [83.56481481 11.43518519],0
a8,1,0.002259,9.326407,[ 56 259] ; [ 4 83],[ 47.01492537 267.98507463] ; [12.98507463 74.01492537],0
p5,1,0.003204,8.68759,[ 53 285] ; [ 4 92],[ 44.39170507 293.60829493] ; [12.60829493 83.39170507],0
p10,1,0.004191,8.199336,[294  42] ; [71 23],[285.20930233  50.79069767] ; [79.79069767 14.20930233],0
r4,1,0.007641,7.115666,[318  21] ; [82 14],[311.72413793  27.27586207] ; [88.27586207  7.72413793],0
p8,1,0.008939,6.835042,[206 130] ; [44 51],[194.89559165 141.10440835] ; [55.10440835 39.89559165],0
s6,1,0.009202,6.783161,[287  43] ; [73 23],[278.87323944  51.12676056] ; [81.12676056 14.87323944],0
s2,1,0.009328,6.759018,[275  64] ; [66 30],[265.74482759  73.25517241] ; [75.25517241 20.74482759],0
s8,1,0.010128,6.612285,[208 130] ; [45 51],[197.03686636 140.96313364] ; [55.96313364 40.03686636],0
a4,1,0.011714,6.353596,[158 180] ; [31 65],[147.19354839 190.80645161] ; [41.80645161 54.19354839],0
a3,1,0.014902,5.928047,[259  79] ; [61 34],[249.79214781  88.20785219] ; [70.20785219 24.79214781],0
b2,1,0.026408,4.929114,[ 87 121] ; [14 41],[ 79.878327 128.121673] ; [21.121673 33.878327],0
b3,1,0.026408,4.929114,[ 87 121] ; [14 41],[ 79.878327 128.121673] ; [21.121673 33.878327],0
d1,1,0.067661,3.338865,[215 124] ; [51 45],[207.29655172 131.70344828] ; [58.70344828 37.29655172],0
