Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,5e-06,20.837779,[32  8] ; [15 33],[21.36363636 18.63636364] ; [25.63636364 22.36363636],1
v3,1,1e-05,19.525295,[22 17] ; [ 6 43],[12.40909091 26.59090909] ; [15.59090909 33.40909091],1
s6,1,0.004273,8.163949,[30  8] ; [24 25],[23.5862069 14.4137931] ; [30.4137931 18.5862069],0
p6,1,0.005268,7.785209,[23 15] ; [15 34],[16.59770115 21.40229885] ; [21.40229885 27.59770115],0
d3,1,0.014937,5.923854,[29 11] ; [23 26],[23.37078652 16.62921348] ; [28.62921348 20.37078652],0
d1,1,0.017195,5.67639,[24 16] ; [17 32],[18.42696629 21.57303371] ; [22.57303371 26.42696629],0
n6,1,0.018346,5.562803,[38  2] ; [37 11],[34.09090909  5.90909091] ; [40.90909091  7.09090909],0
r3,1,0.018382,5.559396,[39  1] ; [40  9],[35.50561798  4.49438202] ; [43.49438202  5.50561798],0
d5,1,0.02592,4.961351,[35  5] ; [33 16],[30.56179775  9.43820225] ; [37.43820225 11.56179775],0
s5,1,0.028074,4.823541,[15 19] ; [10 37],[10.49382716 23.50617284] ; [14.50617284 32.49382716],0
s7,1,0.028369,4.805492,[24 14] ; [18 28],[19. 19.] ; [23. 23.],0
n5,1,0.047312,3.934264,[32  8] ; [29 19],[27.72727273 12.27272727] ; [33.27272727 14.72727273],0
d4,1,0.054806,3.687981,[34  6] ; [33 16],[30.11235955  9.88764045] ; [36.88764045 12.11235955],0
n4,1,0.055286,3.67345,[32  8] ; [30 19],[27.86516854 12.13483146] ; [34.13483146 14.86516854],0
s3,1,0.072178,3.232778,[26 14] ; [22 26],[21.81818182 18.18181818] ; [26.18181818 21.81818182],0
u2,1,0.096458,2.763158,[ 4 10] ; [12  9],[6.4 7.6] ; [ 9.6 11.4],0
p9,1,0.118615,2.435514,[36  4] ; [38 11],[33.25842697  6.74157303] ; [40.74157303  8.25842697],0
r2,1,0.12002,2.417054,[35  4] ; [37 11],[32.27586207  6.72413793] ; [39.72413793  8.27586207],0
s8,1,0.145,2.124082,[20 20] ; [17 32],[16.62921348 23.37078652] ; [20.37078652 28.62921348],0
p10,1,0.155751,2.015005,[32  7] ; [33 15],[29.13793103  9.86206897] ; [35.86206897 12.13793103],0
a2,1,0.167028,1.909413,[ 6 34] ; [ 3 46],[ 4.04494382 35.95505618] ; [ 4.95505618 44.04494382],0
s2,1,0.169314,1.889003,[23 17] ; [21 28],[19.7752809 20.2247191] ; [24.2247191 24.7752809],0
a4,1,0.177452,1.818832,[16 24] ; [13 36],[13.03370787 26.96629213] ; [15.96629213 33.03370787],0
p11,1,0.180896,1.790246,[32  8] ; [33 16],[29.21348315 10.78651685] ; [35.78651685 13.21348315],0
u1,1,0.216255,1.529053,[ 3 37] ; [ 1 48],[ 1.79775281 38.20224719] ; [ 2.20224719 46.79775281],0
p7,1,0.261839,1.259005,[31  9] ; [32 16],[28.63636364 11.36363636] ; [34.36363636 13.63636364],0
a7,1,0.290161,1.118873,[28 12] ; [29 20],[25.61797753 14.38202247] ; [31.38202247 17.61797753],0
a6,1,0.305338,1.050736,[21 19] ; [31 18],[23.37078652 16.62921348] ; [28.62921348 20.37078652],0
b4,1,0.370524,0.801906,[25 15] ; [26 23],[22.92134831 17.07865169] ; [28.07865169 20.92134831],0
r4,1,0.387384,0.747139,[28 12] ; [30 19],[26.06741573 13.93258427] ; [31.93258427 17.06741573],0
d2,1,0.392207,0.732088,[16 24] ; [15 33],[14.09090909 25.90909091] ; [16.90909091 31.09090909],0
n2,1,0.408451,0.683304,[9 2] ; [8 4],[8.13043478 2.86956522] ; [8.86956522 3.13043478],0
