Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5.2e-05,16.378124,[19  4] ; [32 58],[10.38053097 12.61946903] ; [40.61946903 49.38053097],1
p1,1,0.006046,7.536408,[ 6 17] ; [ 6 86],[ 2.4 20.6] ; [ 9.6 82.4],0
p4,1,0.010248,6.591289,[12 11] ; [23 70],[ 6.93965517 16.06034483] ; [28.06034483 64.93965517],0
p5,1,0.023249,5.149806,[ 3 20] ; [ 2 89],[ 1.00877193 21.99122807] ; [ 3.99122807 87.00877193],0
d1,1,0.039243,4.250331,[ 2 21] ; [ 1 92],[ 0.59482759 22.40517241] ; [ 2.40517241 90.59482759],0
b1,1,0.064783,3.410487,[13 10] ; [33 60],[ 9.12068966 13.87931034] ; [36.87931034 56.12068966],0
p2,1,0.074384,3.183527,[19  4] ; [58 34],[15.4  7.6] ; [61.6 30.4],0
b2,1,0.075906,3.150461,[5 6] ; [10 40],[2.70491803 8.29508197] ; [12.29508197 37.70491803],0
b3,1,0.075906,3.150461,[5 6] ; [10 40],[2.70491803 8.29508197] ; [12.29508197 37.70491803],0
u2,1,0.087126,2.926697,[9 6] ; [18 33],[6.13636364 8.86363636] ; [20.86363636 30.13636364],0
b4,1,0.103074,2.657317,[15  8] ; [43 50],[11.5 11.5] ; [46.5 46.5],0
p8,1,0.123429,2.373265,[11 12] ; [28 63],[ 7.86842105 15.13157895] ; [31.13157895 59.86842105],0
s5,1,0.129832,2.294515,[ 7 16] ; [15 76],[ 4.43859649 18.56140351] ; [17.56140351 73.43859649],0
s7,1,0.131616,2.273337,[10 11] ; [27 62],[ 7.06363636 13.93636364] ; [29.93636364 59.06363636],0
v2,1,0.133479,2.251566,[10 12] ; [25 62],[ 7.06422018 14.93577982] ; [27.93577982 59.06422018],0
s3,1,0.161971,1.955728,[ 7 15] ; [44 47],[ 9.92920354 12.07079646] ; [41.07079646 49.92920354],0
b5,1,0.175449,1.835754,[15  8] ; [46 47],[12.09482759 10.90517241] ; [48.90517241 44.09482759],0
p10,1,0.253826,1.302121,[16  6] ; [53 36],[13.67567568  8.32432432] ; [55.32432432 33.67567568],0
n6,1,0.268736,1.223189,[18  5] ; [61 31],[15.8  7.2] ; [63.2 28.8],0
a3,1,0.326146,0.964139,[ 8 15] ; [42 49],[10.0877193 12.9122807] ; [39.9122807 51.0877193],0
v4,1,0.331035,0.944845,[21  2] ; [74 15],[19.50892857  3.49107143] ; [75.49107143 13.50892857],0
d5,1,0.332678,0.938446,[11 11] ; [36 57],[ 8.99130435 13.00869565] ; [38.00869565 54.99130435],0
a8,1,0.352814,0.86331,[ 4 18] ; [ 9 74],[ 2.72380952 19.27619048] ; [10.27619048 72.72380952],0
v3,1,0.357529,0.846553,[ 7 16] ; [19 70],[ 5.33928571 17.66071429] ; [20.66071429 68.33928571],0
s8,1,0.388466,0.743739,[ 8 15] ; [24 69],[ 6.34482759 16.65517241] ; [25.65517241 67.34482759],0
