Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.003216,8.680556,[41 19] ; [ 4 11],[36. 24.] ; [9. 6.],0
v4,1,0.004961,7.893476,[55  4] ; [10  5],[51.82432432  7.17567568] ; [13.17567568  1.82432432],0
p9,1,0.009306,6.763163,[54  6] ; [8 5],[50.95890411  9.04109589] ; [11.04109589  1.95890411],0
p10,1,0.014562,5.968651,[49 10] ; [8 7],[45.44594595 13.55405405] ; [11.55405405  3.44594595],0
p7,1,0.016747,5.722647,[39 19] ; [ 5 10],[34.95890411 23.04109589] ; [9.04109589 5.95890411],0
p8,1,0.020621,5.358535,[31 27] ; [ 3 12],[27.01369863 30.98630137] ; [6.98630137 8.01369863],0
p3,1,0.04801,3.909632,[37 23] ; [ 5 10],[33.6 26.4] ; [8.4 6.6],0
p1,1,0.050661,3.819444,[ 5 55] ; [ 4 11],[ 7.2 52.8] ; [ 1.8 13.2],0
b1,1,0.057842,3.598201,[20 40] ; [9 6],[23.2 36.8] ; [5.8 9.2],0
n6,1,0.073022,3.213742,[49 11] ; [9 6],[46.4 13.6] ; [11.6  3.4],0
n4,1,0.099246,2.717624,[45 15] ; [8 7],[42.4 17.6] ; [10.6  4.4],0
n5,1,0.099246,2.717624,[45 15] ; [8 7],[42.4 17.6] ; [10.6  4.4],0
a3,1,0.128081,2.315609,[40 20] ; [13  2],[42.4 17.6] ; [10.6  4.4],0
b4,1,0.130524,2.286255,[31 29] ; [11  4],[33.6 26.4] ; [8.4 6.6],0
p11,1,0.148915,2.083333,[50 10] ; [10  5],[48. 12.] ; [12.  3.],0
s8,1,0.152039,2.051672,[40 20] ; [7 8],[37.6 22.4] ; [9.4 5.6],0
b2,1,0.235043,1.41008,[16 29] ; [7 6],[17.84482759 27.15517241] ; [5.15517241 7.84482759],0
b3,1,0.235043,1.41008,[16 29] ; [7 6],[17.84482759 27.15517241] ; [5.15517241 7.84482759],0
d2,1,0.238593,1.388889,[22 38] ; [8 7],[24. 36.] ; [6. 9.],0
n3,1,0.242908,1.363636,[16  4] ; [6 4],[14.66666667  5.33333333] ; [7.33333333 2.66666667],0
d1,1,0.24716,1.339286,[26 34] ; [9 6],[28. 32.] ; [7. 8.],0
n2,1,0.332922,0.9375,[15  5] ; [9 1],[16.  4.] ; [8. 2.],0
s2,1,0.335924,0.925926,[40 20] ; [8 7],[38.4 21.6] ; [9.6 5.4],0
u1,1,0.394627,0.724638,[ 4 56] ; [ 2 13],[ 4.8 55.2] ; [ 1.2 13.8],0
a2,1,0.395766,0.721154,[ 7 53] ; [ 3 12],[ 8. 52.] ; [ 2. 13.],0
a5,1,0.399805,0.708912,[37 23] ; [11  4],[38.4 21.6] ; [9.6 5.4],0
n1,1,0.403755,0.697115,[10 10] ; [6 3],[11.03448276  8.96551724] ; [4.96551724 4.03448276],0
a6,1,0.413856,0.667696,[33 27] ; [10  5],[34.4 25.6] ; [8.6 6.4],0
v1,1,0.418956,0.653242,[29 28] ; [5 8],[27.68571429 29.31428571] ; [6.31428571 6.68571429],0
r4,1,0.476877,0.505997,[38 22] ; [8 7],[36.8 23.2] ; [9.2 5.8],0
p6,1,0.528879,0.396546,[28 29] ; [6 9],[26.91666667 30.08333333] ; [7.08333333 7.91666667],0
v3,1,0.53491,0.385055,[24 36] ; [4 9],[23.01369863 36.98630137] ; [4.98630137 8.01369863],0
a8,1,0.538167,0.378947,[ 7 50] ; [ 1 14],[ 6.33333333 50.66666667] ; [ 1.66666667 13.33333333],0
r2,1,0.550097,0.357143,[51  5] ; [12  2],[50.4  5.6] ; [12.6  1.4],0
b5,1,0.55569,0.347222,[37 23] ; [8 7],[36. 24.] ; [9. 6.],0
s6,1,0.589262,0.291498,[42 15] ; [10  5],[41.16666667 15.83333333] ; [10.83333333  4.16666667],0
s3,1,0.627491,0.235479,[40 20] ; [9 6],[39.2 20.8] ; [9.8 5.2],0
a4,1,0.627491,0.235479,[20 40] ; [6 9],[20.8 39.2] ; [5.2 9.8],0
u3,1,0.67415,0.176786,[13  7] ; [1 1],[12.72727273  7.27272727] ; [1.27272727 0.72727273],0
a7,1,0.726191,0.122638,[35 25] ; [8 7],[34.4 25.6] ; [8.6 6.4],0
d4,1,0.782703,0.076065,[46 14] ; [12  3],[46.4 13.6] ; [11.6  3.4],0
u2,1,0.783892,0.075214,[12  8] ; [1 1],[11.81818182  8.18181818] ; [1.18181818 0.81818182],0
s5,1,0.786836,0.073128,[21 33] ; [6 8],[21.44117647 32.55882353] ; [5.55882353 8.44117647],0
s1,1,0.797221,0.066021,[ 3 57] ; [ 1 14],[ 3.2 56.8] ; [ 0.8 14.2],0
p12,1,0.808833,0.058531,[ 3 56] ; [ 1 14],[ 3.18918919 55.81081081] ; [ 0.81081081 14.18918919],0
r3,1,0.858984,0.031566,[53  7] ; [13  2],[52.8  7.2] ; [13.2  1.8],0
v2,1,0.886602,0.020336,[29 31] ; [6 7],[28.76712329 31.23287671] ; [6.23287671 6.76712329],0
d5,1,0.894392,0.017622,[45 15] ; [11  4],[44.8 15.2] ; [11.2  3.8],0
s4,1,0.901499,0.015319,[19 41] ; [ 5 10],[19.2 40.8] ; [ 4.8 10.2],0
d3,1,0.907671,0.013451,[33 27] ; [8 7],[32.8 27.2] ; [8.2 6.8],0
