Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.014334,[153  32] ; [26 27],[139.13865546  45.86134454] ; [39.86134454 13.13865546],1
n4,1,2.8e-05,17.522857,[151  34] ; [29 25],[139.33054393  45.66945607] ; [40.66945607 13.33054393],1
p2,1,6.8e-05,15.878297,[143  40] ; [26 26],[131.60425532  51.39574468] ; [37.39574468 14.60425532],1
p10,1,0.000121,14.78093,[136  47] ; [24 28],[124.59574468  58.40425532] ; [35.40425532 16.59574468],1
p9,1,0.000484,12.174843,[146  36] ; [30 23],[136.30638298  45.69361702] ; [39.69361702 13.30638298],1
d5,1,0.000495,12.134193,[135  49] ; [26 28],[124.47058824  59.52941176] ; [36.52941176 17.47058824],1
r4,1,0.001872,9.671357,[148  37] ; [32 22],[139.33054393  45.66945607] ; [40.66945607 13.33054393],0
v4,1,0.00245,9.177832,[168  17] ; [39 13],[161.58227848  23.41772152] ; [45.41772152  6.58227848],0
p11,1,0.002855,8.898164,[144  41] ; [31 23],[135.46025105  49.53974895] ; [39.53974895 14.46025105],0
b1,1,0.003081,8.75869,[ 81 104] ; [36 18],[90.56485356 94.43514644] ; [26.43514644 27.56485356],0
p3,1,0.004768,7.965495,[85 99] ; [13 40],[ 76.08438819 107.91561181] ; [21.91561181 31.08438819],0
r3,1,0.005149,7.826247,[165  20] ; [40 14],[158.68200837  26.31799163] ; [46.31799163  7.68200837],0
a5,1,0.005753,7.626099,[127  58] ; [26 28],[118.43096234  66.56903766] ; [34.56903766 19.43096234],0
v3,1,0.006067,7.530294,[ 76 106] ; [10 39],[ 67.75757576 114.24242424] ; [18.24242424 30.75757576],0
s7,1,0.008104,7.010393,[84 95] ; [13 37],[ 75.8209607 103.1790393] ; [21.1790393 28.8209607],0
s8,1,0.009604,6.706924,[ 84 100] ; [14 40],[ 75.76470588 108.23529412] ; [22.23529412 31.76470588],0
s5,1,0.015859,5.81839,[ 58 120] ; [ 8 44],[ 51.07826087 126.92173913] ; [14.92173913 37.07826087],0
p6,1,0.016468,5.752194,[ 62 120] ; [ 8 41],[ 55.15151515 126.84848485] ; [14.84848485 34.15151515],0
d4,1,0.019217,5.481644,[138  46] ; [31 22],[131.20675105  52.79324895] ; [37.79324895 15.20675105],0
p8,1,0.020539,5.365532,[84 98] ; [15 38],[ 76.67234043 105.32765957] ; [22.32765957 30.67234043],0
d1,1,0.027565,4.855074,[86 99] ; [16 38],[ 78.9539749 106.0460251] ; [23.0460251 30.9539749],0
s6,1,0.027622,4.851499,[104  76] ; [22 32],[96.92307692 83.07692308] ; [29.07692308 24.92307692],0
a4,1,0.030133,4.701704,[ 81 102] ; [15 39],[ 74.12658228 108.87341772] ; [21.87341772 32.12658228],0
n2,1,0.0486,3.889099,[31 18] ; [19  3],[34.50704225 14.49295775] ; [15.49295775  6.50704225],0
u2,1,0.057486,3.608473,[21 35] ; [14  9],[24.81012658 31.18987342] ; [10.18987342 12.81012658],0
p7,1,0.077781,3.110676,[109  73] ; [24 28],[103.44444444  78.55555556] ; [29.55555556 22.44444444],0
a3,1,0.095284,2.782755,[128  56] ; [31 23],[122.92436975  61.07563025] ; [36.07563025 17.92436975],0
a1,1,0.0959,2.772441,[  9 176] ; [ 6 48],[ 11.61087866 173.38912134] ; [ 3.38912134 50.61087866],0
r1,1,0.106491,2.605543,[128  57] ; [31 23],[123.07531381  61.92468619] ; [35.92468619 18.07531381],0
p5,1,0.112706,2.515864,[ 25 158] ; [ 3 50],[ 21.71186441 161.28813559] ; [ 6.28813559 46.71186441],0
a8,1,0.117505,2.45026,[ 24 150] ; [ 3 49],[ 20.78761062 153.21238938] ; [ 6.21238938 45.78761062],0
u3,1,0.17126,1.871881,[18 39] ; [11 12],[20.6625 36.3375] ; [ 8.3375 14.6625],0
s1,1,0.186511,1.744965,[  4 180] ; [ 3 50],[  5.43459916 178.56540084] ; [ 1.56540084 51.43459916],0
p4,1,0.19637,1.669167,[96 87] ; [22 30],[91.8893617 91.1106383] ; [26.1106383 25.8893617],0
d3,1,0.20303,1.620443,[ 76 109] ; [17 37],[ 71.9874477 113.0125523] ; [21.0125523 32.9874477],0
s2,1,0.232864,1.423282,[ 78 106] ; [18 36],[ 74.21848739 109.78151261] ; [21.78151261 32.21848739],0
d2,1,0.233346,1.420348,[88 95] ; [21 33],[84.16455696 98.83544304] ; [24.83544304 29.16455696],0
r2,1,0.296061,1.091853,[161  21] ; [44  9],[158.76595745  23.23404255] ; [46.23404255  6.76595745],0
u1,1,0.330607,0.94652,[  9 176] ; [ 1 53],[  7.74058577 177.25941423] ; [ 2.25941423 51.74058577],0
n1,1,0.394305,0.725624,[18 31] ; [10 11],[19.6 29.4] ; [ 8.4 12.6],0
b2,1,0.401589,0.703562,[59 65] ; [13 20],[56.86624204 67.13375796] ; [15.13375796 17.86624204],0
b3,1,0.401589,0.703562,[59 65] ; [13 20],[56.86624204 67.13375796] ; [15.13375796 17.86624204],0
v2,1,0.41321,0.669545,[89 91] ; [21 28],[86.4628821 93.5371179] ; [23.5371179 25.4628821],0
n3,1,0.438093,0.601271,[29 18] ; [15  6],[30.41176471 16.58823529] ; [13.58823529  7.41176471],0
p12,1,0.524586,0.404867,[ 11 171] ; [ 2 51],[ 10.06808511 171.93191489] ; [ 2.93191489 50.06808511],0
a6,1,0.593807,0.284438,[ 76 109] ; [20 34],[ 74.30962343 110.69037657] ; [21.69037657 32.30962343],0
b5,1,0.607327,0.264086,[92 93] ; [29 25],[93.66108787 91.33891213] ; [27.33891213 26.66108787],0
u4,1,0.725118,0.123641,[  5 180] ; [ 1 53],[  4.64435146 180.35564854] ; [ 1.35564854 52.64435146],0
s3,1,0.767111,0.087709,[89 94] ; [27 26],[89.94915254 93.05084746] ; [26.05084746 26.94915254],0
p1,1,0.81924,0.052223,[ 12 172] ; [ 4 50],[ 12.3697479 171.6302521] ; [ 3.6302521 50.3697479],0
b4,1,0.821522,0.05089,[103  82] ; [31 23],[103.72384937  81.27615063] ; [30.27615063 23.72384937],0
v1,1,0.839459,0.041041,[89 90] ; [26 28],[88.34763948 90.65236052] ; [26.65236052 27.34763948],0
a2,1,0.968701,0.00154,[ 14 171] ; [ 4 50],[ 13.93305439 171.06694561] ; [ 4.06694561 49.93305439],0
