Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.006526,7.398909,[8 9] ; [58 15],[12.46666667  4.53333333] ; [53.53333333 19.46666667],0
v4,1,0.006623,7.372555,[11  6] ; [66  7],[14.54444444  2.45555556] ; [62.45555556 10.54444444],0
p4,1,0.010112,6.615137,[8 9] ; [57 16],[12.27777778  4.72222222] ; [52.72222222 20.27777778],0
s1,1,0.015664,5.840167,[ 3 14] ; [ 2 71],[ 0.94444444 16.05555556] ; [ 4.05555556 68.94444444],0
p9,1,0.022123,5.2361,[11  6] ; [64  9],[14.16666667  2.83333333] ; [60.83333333 12.16666667],0
n6,1,0.059747,3.544397,[11  5] ; [64  9],[13.48314607  2.51685393] ; [61.51685393 11.48314607],0
d2,1,0.061773,3.489137,[9 7] ; [23 50],[ 5.75280899 10.24719101] ; [26.24719101 46.75280899],0
v3,1,0.066635,3.364021,[ 2 14] ; [26 46],[ 5.09090909 10.90909091] ; [22.90909091 49.09090909],0
r3,1,0.070448,3.272562,[13  4] ; [67  6],[15.11111111  1.88888889] ; [64.88888889  8.11111111],0
s4,1,0.080041,3.064061,[ 6 11] ; [12 61],[ 3.4 13.6] ; [14.6 58.4],0
p1,1,0.080075,3.06338,[ 5 12] ; [ 9 64],[ 2.64444444 14.35555556] ; [11.35555556 61.64444444],0
p10,1,0.086377,2.940624,[10  7] ; [56 15],[12.75  4.25] ; [53.25 17.75],0
s7,1,0.106802,2.600914,[ 5 11] ; [37 32],[7.90588235 8.09411765] ; [34.09411765 34.90588235],0
a7,1,0.122078,2.390455,[8 9] ; [49 24],[10.76666667  6.23333333] ; [46.23333333 26.76666667],0
d3,1,0.123859,2.367834,[ 7 10] ; [45 28],[9.82222222 7.17777778] ; [42.17777778 30.82222222],0
v1,1,0.145378,2.120087,[ 6 10] ; [42 31],[8.62921348 7.37078652] ; [39.37078652 33.62921348],0
b4,1,0.198385,1.654227,[12  5] ; [39 34],[9.63333333 7.36666667] ; [41.36666667 31.63333333],0
p6,1,0.201927,1.628382,[ 5 12] ; [33 38],[7.34090909 9.65909091] ; [30.65909091 40.34090909],0
n3,1,0.202134,1.626891,[5 4] ; [12  3],[6.375 2.625] ; [10.625  4.375],0
a5,1,0.212007,1.557665,[13  4] ; [44 29],[10.76666667  6.23333333] ; [46.23333333 26.76666667],0
n2,1,0.223543,1.481481,[8 1] ; [10  5],[6.75 2.25] ; [11.25  3.75],0
r4,1,0.224249,1.47697,[9 8] ; [50 23],[11.14444444  5.85555556] ; [47.85555556 25.14444444],0
p7,1,0.22784,1.454293,[10  7] ; [53 19],[12.03370787  4.96629213] ; [50.96629213 21.03370787],0
s8,1,0.235069,1.409925,[ 5 12] ; [33 40],[7.17777778 9.82222222] ; [30.82222222 42.17777778],0
p5,1,0.250128,1.322591,[ 1 15] ; [13 60],[ 2.51685393 13.48314607] ; [11.48314607 61.51685393],0
