Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7e-06,20.202747,[43 36] ; [46  4],[54.50387597 24.49612403] ; [34.49612403 15.50387597],1
s4,1,2.8e-05,17.55305,[ 6 73] ; [19 32],[15.19230769 63.80769231] ; [ 9.80769231 41.19230769],1
s8,1,0.000118,14.831761,[24 55] ; [33 18],[34.63846154 44.36153846] ; [22.36153846 28.63846154],1
s2,1,0.000176,14.069659,[34 45] ; [39 12],[44.36153846 34.63846154] ; [28.63846154 22.36153846],1
s7,1,0.000633,11.675245,[32 44] ; [34 12],[41.1147541 34.8852459] ; [24.8852459 21.1147541],1
p3,1,0.011794,6.341578,[24 54] ; [27 24],[30.8372093 47.1627907] ; [20.1627907 30.8372093],0
p6,1,0.01897,5.50425,[21 57] ; [24 27],[27.20930233 50.79069767] ; [17.79069767 33.20930233],0
p4,1,0.033336,4.528458,[34 44] ; [32 19],[39.90697674 38.09302326] ; [26.09302326 24.90697674],0
d2,1,0.040158,4.211204,[33 45] ; [31 20],[38.69767442 39.30232558] ; [25.30232558 25.69767442],0
p10,1,0.047741,3.919086,[56 23] ; [43  7],[60.62790698 18.37209302] ; [38.37209302 11.62790698],0
s3,1,0.053186,3.738061,[38 39] ; [34 17],[43.3125 33.6875] ; [28.6875 22.3125],0
d5,1,0.069504,3.294688,[56 21] ; [44  7],[60.15625 16.84375] ; [39.84375 11.15625],0
v1,1,0.072288,3.230295,[33 46] ; [29 21],[37.96899225 41.03100775] ; [24.03100775 25.96899225],0
r4,1,0.08197,3.025406,[62 17] ; [46  5],[65.63076923 13.36923077] ; [42.36923077  8.63076923],0
r2,1,0.106346,2.607702,[71  7] ; [50  1],[73.1627907  4.8372093] ; [47.8372093  3.1627907],0
a5,1,0.114337,2.493224,[50 29] ; [39 12],[54.08461538 24.91538462] ; [34.91538462 16.08461538],0
v2,1,0.117555,2.449602,[32 43] ; [29 22],[36.30952381 38.69047619] ; [24.69047619 26.30952381],0
s1,1,0.121287,2.40062,[ 7 72] ; [ 1 48],[ 4.9375 74.0625] ; [ 3.0625 45.9375],0
p1,1,0.134842,2.235851,[ 6 73] ; [ 8 42],[ 8.57364341 70.42635659] ; [ 5.42635659 44.57364341],0
v4,1,0.135069,2.233261,[70  9] ; [49  2],[72.31538462  6.68461538] ; [46.68461538  4.31538462],0
p12,1,0.13669,2.214835,[ 1 78] ; [ 3 48],[ 2.43076923 76.56923077] ; [ 1.56923077 49.43076923],0
n4,1,0.141126,2.165634,[48 31] ; [36 13],[51.84375 27.15625] ; [32.15625 16.84375],0
a1,1,0.164643,1.931055,[ 6 73] ; [ 1 50],[ 4.25384615 74.74615385] ; [ 2.74615385 48.25384615],0
d4,1,0.179931,1.798191,[58 20] ; [43  8],[61.06976744 16.93023256] ; [39.93023256 11.06976744],0
a8,1,0.208356,1.58281,[ 7 63] ; [ 8 36],[ 9.21052632 60.78947368] ; [ 5.78947368 38.21052632],0
a4,1,0.208642,1.580824,[34 44] ; [28 23],[37.48837209 40.51162791] ; [24.51162791 26.48837209],0
