Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,26.910299,[ 4 10] ; [76 10],[11.2  2.8] ; [68.8 17.2],1
d1,1,3e-06,21.789374,[ 1 13] ; [62 24],[8.82 5.18] ; [54.18 31.82],1
d3,1,5.6e-05,16.225938,[ 3 11] ; [65 21],[9.52 4.48] ; [58.48 27.52],1
a3,1,0.006388,7.437524,[7 7] ; [71 15],[10.92  3.08] ; [67.08 18.92],0
d2,1,0.010703,6.513949,[ 3 11] ; [50 36],[7.42 6.58] ; [45.58 40.42],0
p1,1,0.012336,6.26195,[8 6] ; [21 65],[4.06 9.94] ; [24.94 61.06],0
a4,1,0.015725,5.833369,[ 2 12] ; [42 44],[6.16 7.84] ; [37.84 48.16],0
s8,1,0.049386,3.862177,[5 9] ; [54 31],[8.34343434 5.65656566] ; [50.65656566 34.34343434],0
p2,1,0.083096,3.003277,[11  3] ; [79  6],[12.72727273  1.27272727] ; [77.27272727  7.72727273],0
v1,1,0.101486,2.68204,[7 7] ; [59 23],[9.625 4.375] ; [56.375 25.625],0
s2,1,0.115183,2.481622,[5 9] ; [49 35],[7.71428571 6.28571429] ; [46.28571429 37.71428571],0
u3,1,0.166337,1.915646,[3 4] ; [11  4],[4.45454545 2.54545455] ; [9.54545455 5.45454545],0
a2,1,0.169856,1.884216,[ 1 13] ; [20 66],[ 2.94 11.06] ; [18.06 67.94],0
p6,1,0.173481,1.852607,[11  3] ; [50 34],[8.71428571 5.28571429] ; [52.28571429 31.71428571],0
a5,1,0.181627,1.784262,[9 5] ; [69 17],[10.92  3.08] ; [67.08 18.92],0
n4,1,0.241738,1.370432,[11  3] ; [77  9],[12.32  1.68] ; [75.68 10.32],0
s1,1,0.249273,1.327373,[ 2 12] ; [ 5 81],[ 0.98 13.02] ; [ 6.02 79.98],0
r3,1,0.262332,1.25641,[12  2] ; [79  5],[13.  1.] ; [78.  6.],0
s3,1,0.281103,1.161752,[6 7] ; [52 32],[7.77319588 5.22680412] ; [50.22680412 33.77319588],0
v3,1,0.314636,1.011116,[6 8] ; [47 35],[7.72916667 6.27083333] ; [45.27083333 36.72916667],0
b5,1,0.40503,0.693341,[5 9] ; [41 45],[6.44 7.56] ; [39.56 46.44],0
p7,1,0.413022,0.670085,[10  4] ; [68 16],[11.14285714  2.85714286] ; [66.85714286 17.14285714],0
a1,1,0.482243,0.493786,[ 1 13] ; [12 74],[ 1.82 12.18] ; [11.18 74.82],0
v2,1,0.493774,0.468293,[7 7] ; [49 33],[8.16666667 5.83333333] ; [47.83333333 34.16666667],0
a8,1,0.517723,0.418428,[ 1 12] ; [11 66],[ 1.73333333 11.26666667] ; [10.26666667 66.73333333],0
s7,1,0.522175,0.409594,[8 5] ; [57 24],[8.9893617 4.0106383] ; [56.0106383 24.9893617],0
r4,1,0.546466,0.363687,[13  1] ; [75 11],[12.32  1.68] ; [75.68 10.32],0
p11,1,0.546466,0.363687,[13  1] ; [75 11],[12.32  1.68] ; [75.68 10.32],0
n5,1,0.546466,0.363687,[13  1] ; [75 11],[12.32  1.68] ; [75.68 10.32],0
a7,1,0.550496,0.356429,[9 5] ; [62 24],[9.94 4.06] ; [61.06 24.94],0
b1,1,0.552669,0.352558,[5 9] ; [38 48],[6.02 7.98] ; [36.98 49.02],0
n1,1,0.59256,0.286364,[2 1] ; [9 9],[1.57142857 1.42857143] ; [9.42857143 8.57142857],0
p3,1,0.59323,0.285328,[10  4] ; [67 19],[10.78  3.22] ; [66.22 19.78],0
s6,1,0.629432,0.232832,[10  3] ; [66 14],[10.62365591  2.37634409] ; [65.37634409 14.62365591],0
b3,1,0.655881,0.198566,[5 4] ; [30 33],[4.375 4.625] ; [30.625 32.375],0
b2,1,0.655881,0.198566,[5 4] ; [30 33],[4.375 4.625] ; [30.625 32.375],0
b4,1,0.664571,0.188019,[9 5] ; [50 36],[8.26 5.74] ; [50.74 35.26],0
u2,1,0.665362,0.187075,[4 3] ; [10  5],[4.45454545 2.54545455] ; [9.54545455 5.45454545],0
n2,1,0.675706,0.175,[2 1] ; [14  4],[2.28571429 0.71428571] ; [13.71428571  4.28571429],0
r2,1,0.775188,0.081565,[13  1] ; [76  8],[12.71428571  1.28571429] ; [76.28571429  7.71428571],0
s5,1,0.812934,0.056,[8 5] ; [50 27],[8.37777778 4.62222222] ; [49.62222222 27.37777778],0
p4,1,0.877412,0.023793,[12  2] ; [75 11],[12.18  1.82] ; [74.82 11.18],0
p8,1,0.885423,0.020764,[11  3] ; [69 17],[11.2  2.8] ; [68.8 17.2],0
n6,1,0.898564,0.01625,[13  1] ; [79  7],[12.88  1.12] ; [79.12  6.88],0
r1,1,0.901824,0.015217,[11  3] ; [68 17],[11.17171717  2.82828283] ; [67.82828283 17.17171717],0
p12,1,0.906264,0.013866,[ 4 10] ; [23 62],[ 3.81818182 10.18181818] ; [23.18181818 61.81818182],0
s4,1,0.91644,0.011008,[ 2 12] ; [11 72],[ 1.87628866 12.12371134] ; [11.12371134 71.87628866],0
a6,1,0.98084,0.000577,[9 5] ; [55 31],[8.96 5.04] ; [55.04 30.96],0
