Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,1.7e-05,18.512144,[12 25] ; [62 22],[22.62809917 14.37190083] ; [51.37190083 32.62809917],1
a6,1,2.1e-05,18.089781,[15 22] ; [67 17],[25.07438017 11.92561983] ; [56.92561983 27.07438017],1
a2,1,0.006684,7.35589,[ 3 34] ; [26 58],[ 8.8677686 28.1322314] ; [20.1322314 63.8677686],0
u2,1,0.018191,5.577627,[8 3] ; [ 5 13],[4.93103448 6.06896552] ; [8.06896552 9.93103448],0
b4,1,0.042112,4.130687,[16 21] ; [53 31],[21.09917355 15.90082645] ; [47.90082645 36.09917355],0
u1,1,0.043692,4.068433,[ 4 33] ; [23 61],[ 8.25619835 28.74380165] ; [18.74380165 65.25619835],0
d3,1,0.051732,3.784422,[25 12] ; [70 14],[29.04958678  7.95041322] ; [65.95041322 18.04958678],0
a5,1,0.080387,3.057058,[24 13] ; [67 17],[27.82644628  9.17355372] ; [63.17355372 20.82644628],0
b1,1,0.083481,2.995801,[18 19] ; [27 57],[13.76033058 23.23966942] ; [31.23966942 52.76033058],0
n4,1,0.083639,2.992722,[30  7] ; [55 29],[25.99173554 11.00826446] ; [59.00826446 24.99173554],0
p4,1,0.084891,2.968684,[20 17] ; [59 25],[24.15702479 12.84297521] ; [54.84297521 29.15702479],0
v2,1,0.09608,2.769433,[14 22] ; [45 36],[18.15384615 17.84615385] ; [40.84615385 40.15384615],0
n6,1,0.117903,2.444957,[29  8] ; [74  9],[31.75833333  5.24166667] ; [71.24166667 11.75833333],0
s1,1,0.139003,2.188961,[ 3 33] ; [ 2 81],[ 1.51260504 34.48739496] ; [ 3.48739496 79.51260504],0
r4,1,0.144747,2.12675,[34  3] ; [82  2],[35.47107438  1.52892562] ; [80.52892562  3.47107438],0
r3,1,0.153644,2.035698,[34  3] ; [80  2],[35.44537815  1.55462185] ; [78.55462185  3.44537815],0
a1,1,0.169505,1.887312,[ 2 35] ; [ 1 83],[ 0.91735537 36.08264463] ; [ 2.08264463 81.91735537],0
n3,1,0.172946,1.85722,[8 3] ; [13  1],[9.24 1.76] ; [11.76  2.24],0
s7,1,0.181808,1.78278,[24 10] ; [47 35],[20.81034483 13.18965517] ; [50.18965517 31.81034483],0
n1,1,0.201134,1.63412,[5 6] ; [ 3 11],[3.52 7.48] ; [4.48 9.52],0
p3,1,0.216379,1.528222,[23 14] ; [42 42],[19.87603306 17.12396694] ; [45.12396694 38.87603306],0
p8,1,0.280415,1.165078,[22 15] ; [40 42],[19.27731092 17.72268908] ; [42.72268908 39.27731092],0
p11,1,0.29276,1.106884,[29  8] ; [58 26],[26.60330579 10.39669421] ; [60.39669421 23.60330579],0
d4,1,0.322601,0.978373,[28  9] ; [70 14],[29.96694215  7.03305785] ; [68.03305785 15.96694215],0
a3,1,0.324354,0.97131,[26 11] ; [66 18],[28.1322314  8.8677686] ; [63.8677686 20.1322314],0
p2,1,0.324826,0.969417,[27 10] ; [68 16],[29.04958678  7.95041322] ; [65.95041322 18.04958678],0
v4,1,0.374652,0.788177,[34  2] ; [82  2],[34.8  1.2] ; [81.2  2.8],0
