Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,24.418452,[ 3 11] ; [29  2],[9.95555556 4.04444444] ; [22.04444444  8.95555556],1
p8,1,0.004043,8.264227,[ 2 13] ; [17 12],[6.47727273 8.52272727] ; [12.52272727 16.47727273],0
d3,1,0.018896,5.511134,[ 5 10] ; [21  9],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
s8,1,0.020946,5.331301,[ 2 13] ; [15 16],[5.54347826 9.45652174] ; [11.45652174 19.54347826],0
p11,1,0.024303,5.072852,[6 9] ; [23  8],[9.45652174 5.54347826] ; [19.54347826 11.45652174],0
s2,1,0.024303,5.072852,[6 9] ; [23  8],[9.45652174 5.54347826] ; [19.54347826 11.45652174],0
v1,1,0.033613,4.514265,[ 2 13] ; [14 17],[5.2173913 9.7826087] ; [10.7826087 20.2173913],0
r3,1,0.036737,4.362581,[9 6] ; [27  4],[11.73913043  3.26086957] ; [24.26086957  6.73913043],0
a7,1,0.052808,3.75,[6 9] ; [21  9],[9. 6.] ; [18. 12.],0
a4,1,0.053789,3.719247,[7 8] ; [ 6 25],[ 4.23913043 10.76086957] ; [ 8.76086957 22.23913043],0
n6,1,0.096053,2.769892,[8 7] ; [24  7],[10.43478261  4.56521739] ; [21.56521739  9.43478261],0
d5,1,0.110972,2.540323,[8 7] ; [23  7],[10.33333333  4.66666667] ; [20.66666667  9.33333333],0
b3,1,0.113846,2.5,[6 6] ; [ 4 14],[4. 8.] ; [ 6. 12.],0
b2,1,0.113846,2.5,[6 6] ; [ 4 14],[4. 8.] ; [ 6. 12.],0
v4,1,0.132626,2.261499,[11  4] ; [28  3],[12.7173913  2.2826087] ; [26.2826087  4.7173913],0
p2,1,0.134957,2.234535,[9 6] ; [25  6],[11.08695652  3.91304348] ; [22.91304348  8.08695652],0
a6,1,0.160754,1.967117,[ 4 11] ; [15 16],[6.19565217 8.80434783] ; [12.80434783 18.19565217],0
p7,1,0.163444,1.942069,[6 9] ; [18 11],[8.18181818 6.81818182] ; [15.81818182 13.18181818],0
b1,1,0.16976,1.885066,[8 7] ; [10 21],[5.86956522 9.13043478] ; [12.13043478 18.86956522],0
r4,1,0.174158,1.846783,[6 9] ; [19 12],[8.15217391 6.84782609] ; [16.84782609 14.15217391],0
v2,1,0.179712,1.8,[ 3 12] ; [12 18],[ 5. 10.] ; [10. 20.],0
d1,1,0.228258,1.451681,[ 4 11] ; [14 17],[5.86956522 9.13043478] ; [12.13043478 18.86956522],0
a5,1,0.243296,1.361393,[ 5 10] ; [16 15],[6.84782609 8.15217391] ; [14.15217391 16.84782609],0
d2,1,0.249082,1.328445,[8 7] ; [11 20],[6.19565217 8.80434783] ; [12.80434783 18.19565217],0
s7,1,0.343816,0.896149,[6 8] ; [18 13],[7.46666667 6.53333333] ; [16.53333333 14.46666667],0
r2,1,0.409762,0.679492,[9 4] ; [25  6],[10.04545455  2.95454545] ; [23.95454545  7.04545455],0
b4,1,0.445011,0.583328,[10  5] ; [17 14],[8.80434783 6.19565217] ; [18.19565217 12.80434783],0
n4,1,0.459819,0.546334,[6 9] ; [16 15],[7.17391304 7.82608696] ; [14.82608696 16.17391304],0
n2,1,0.465209,0.533333,[6 3] ; [12  3],[6.75 2.25] ; [11.25  3.75],0
p4,1,0.466296,0.530739,[7 8] ; [11 20],[5.86956522 9.13043478] ; [12.13043478 18.86956522],0
s3,1,0.466904,0.529294,[7 8] ; [18 13],[8.15217391 6.84782609] ; [16.84782609 14.15217391],0
v3,1,0.51957,0.414747,[ 2 12] ; [ 7 24],[ 2.8 11.2] ; [ 6.2 24.8],0
u3,1,0.52518,0.403708,[4 4] ; [12  7],[4.74074074 3.25925926] ; [11.25925926  7.74074074],0
s6,1,0.552041,0.353674,[9 6] ; [20  9],[9.88636364 5.11363636] ; [19.11363636  9.88636364],0
n3,1,0.586214,0.296296,[5 4] ; [10  5],[5.625 3.375] ; [9.375 5.625],0
u1,1,0.591646,0.287781,[ 1 14] ; [ 1 30],[ 0.65217391 14.34782609] ; [ 1.34782609 29.65217391],0
d4,1,0.595082,0.282477,[10  5] ; [23  8],[10.76086957  4.23913043] ; [22.23913043  8.76086957],0
n5,1,0.605286,0.267097,[9 6] ; [21 10],[9.7826087 5.2173913] ; [20.2173913 10.7826087],0
a3,1,0.607391,0.263992,[7 8] ; [12 19],[6.19565217 8.80434783] ; [12.80434783 18.19565217],0
b5,1,0.607391,0.263992,[8 7] ; [19 12],[8.80434783 6.19565217] ; [18.19565217 12.80434783],0
s1,1,0.734065,0.115412,[ 1 14] ; [ 3 28],[ 1.30434783 13.69565217] ; [ 2.69565217 28.30434783],0
p1,1,0.734065,0.115412,[ 1 14] ; [ 3 28],[ 1.30434783 13.69565217] ; [ 2.69565217 28.30434783],0
s5,1,0.843096,0.039178,[6 7] ; [12 16],[5.70731707 7.29268293] ; [12.29268293 15.70731707],0
u2,1,0.900552,0.015616,[4 4] ; [10  9],[4.14814815 3.85185185] ; [9.85185185 9.14814815],0
p3,1,0.933009,0.007066,[6 9] ; [12 19],[5.86956522 9.13043478] ; [12.13043478 18.86956522],0
p6,1,1.0,0.0,[ 5 10] ; [10 20],[ 5. 10.] ; [10. 20.],0
n1,1,1.0,0.0,[3 6] ; [ 5 10],[3. 6.] ; [ 5. 10.],0
