Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.1e-05,19.375415,[18  8] ; [26 82],[ 8.53731343 17.46268657] ; [35.46268657 72.53731343],1
s6,1,0.000147,14.406423,[19  7] ; [35 73],[10.47761194 15.52238806] ; [43.52238806 64.47761194],1
b4,1,0.00207,9.486048,[21  5] ; [51 57],[13.97014925 12.02985075] ; [58.02985075 49.97014925],0
s4,1,0.002778,8.947907,[11 15] ; [17 91],[ 5.43283582 20.56716418] ; [22.56716418 85.43283582],0
p5,1,0.009635,6.701162,[ 5 20] ; [  5 101],[ 1.90839695 23.09160305] ; [ 8.09160305 97.90839695],0
v4,1,0.013759,6.068757,[24  1] ; [79 29],[19.36090226  5.63909774] ; [83.63909774 24.36090226],0
d4,1,0.014706,5.951358,[21  5] ; [59 49],[15.52238806 10.47761194] ; [64.47761194 43.52238806],0
s7,1,0.017384,5.657218,[12 13] ; [25 79],[ 7.17054264 17.82945736] ; [29.82945736 74.17054264],0
s3,1,0.025955,4.95901,[15 11] ; [36 70],[10.04545455 15.95454545] ; [40.95454545 65.04545455],0
n5,1,0.056459,3.638472,[12 14] ; [71 36],[16.22556391  9.77443609] ; [66.77443609 40.22556391],0
u2,1,0.083974,2.986266,[9 5] ; [20 32],[6.15151515 7.84848485] ; [22.84848485 29.15151515],0
v1,1,0.087923,2.912,[ 9 16] ; [21 84],[ 5.76923077 19.23076923] ; [24.23076923 80.76923077],0
r4,1,0.11439,2.492505,[17  9] ; [52 56],[13.3880597 12.6119403] ; [55.6119403 52.3880597],0
p2,1,0.136172,2.22069,[20  5] ; [69 38],[16.85606061  8.14393939] ; [72.14393939 34.85606061],0
d1,1,0.137322,2.207709,[10 16] ; [26 82],[ 6.98507463 19.01492537] ; [29.01492537 78.98507463],0
a1,1,0.137618,2.204398,[ 4 22] ; [  7 101],[ 2.13432836 23.86567164] ; [ 8.86567164 99.13432836],0
d2,1,0.13883,2.19088,[12 14] ; [33 74],[ 8.79699248 17.20300752] ; [36.20300752 70.79699248],0
