Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-06,19.750957,[ 7 18] ; [21  2],[14.58333333 10.41666667] ; [13.41666667  9.58333333],1
d2,1,5.4e-05,16.292779,[ 5 20] ; [18  5],[11.97916667 13.02083333] ; [11.02083333 11.97916667],1
a5,1,0.006986,7.276668,[16  9] ; [22  1],[19.79166667  5.20833333] ; [18.20833333  4.79166667],0
a3,1,0.009048,6.813344,[13 12] ; [20  3],[17.1875  7.8125] ; [15.8125  7.1875],0
a4,1,0.019892,5.421335,[ 5 20] ; [12 11],[ 8.85416667 16.14583333] ; [ 8.14583333 14.85416667],0
a2,1,0.030315,4.691362,[ 1 24] ; [ 6 17],[ 3.64583333 21.35416667] ; [ 3.35416667 19.64583333],0
p6,1,0.033773,4.506177,[14 10] ; [ 6 16],[10.43478261 13.56521739] ; [ 9.56521739 12.43478261],0
n3,1,0.036331,4.381481,[7 1] ; [2 4],[5.14285714 2.85714286] ; [3.85714286 2.14285714],0
a6,1,0.046934,3.947763,[14 11] ; [19  4],[17.1875  7.8125] ; [15.8125  7.1875],0
a8,1,0.127538,2.322222,[ 5 19] ; [ 1 19],[ 3.27272727 20.72727273] ; [ 2.72727273 17.27272727],0
v1,1,0.136209,2.220271,[10 14] ; [14  8],[12.52173913 11.47826087] ; [11.47826087 10.52173913],0
n6,1,0.157052,2.002383,[23  2] ; [17  5],[21.27659574  3.72340426] ; [18.72340426  3.27659574],0
s6,1,0.167665,1.9037,[16  6] ; [11 10],[13.81395349  8.18604651] ; [13.18604651  7.81395349],0
r3,1,0.177875,1.815289,[23  2] ; [18  5],[21.35416667  3.64583333] ; [19.64583333  3.35416667],0
r4,1,0.211606,1.560401,[22  3] ; [17  6],[20.3125  4.6875] ; [18.6875  4.3125],0
r1,1,0.242936,1.363478,[17  8] ; [19  4],[18.75  6.25] ; [17.25  5.75],0
p3,1,0.424198,0.638655,[17  8] ; [18  5],[18.22916667  6.77083333] ; [16.77083333  6.22916667],0
n1,1,0.428537,0.626786,[2 5] ; [3 3],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
p12,1,0.477489,0.504593,[ 5 19] ; [ 3 20],[ 4.08510638 19.91489362] ; [ 3.91489362 19.08510638],0
b4,1,0.488799,0.479168,[15 10] ; [16  7],[16.14583333  8.85416667] ; [14.85416667  8.14583333],0
s1,1,0.501964,0.450783,[ 1 24] ; [ 2 21],[ 1.5625 23.4375] ; [ 1.4375 21.5625],0
n4,1,0.518242,0.417391,[20  5] ; [20  3],[20.83333333  4.16666667] ; [19.16666667  3.83333333],0
n5,1,0.518242,0.417391,[20  5] ; [20  3],[20.83333333  4.16666667] ; [19.16666667  3.83333333],0
s5,1,0.55483,0.348735,[10 13] ; [11 10],[10.97727273 12.02272727] ; [10.02272727 10.97727273],0
v3,1,0.554972,0.348485,[11 13] ; [12 10],[12. 12.] ; [11. 11.],0
p7,1,0.556802,0.345271,[20  5] ; [16  6],[19.14893617  5.85106383] ; [16.85106383  5.14893617],0
v4,1,0.567706,0.326536,[23  2] ; [20  3],[22.39583333  2.60416667] ; [20.60416667  2.39583333],0
p9,1,0.576334,0.312198,[22  2] ; [22  1],[22.46808511  1.53191489] ; [21.53191489  1.46808511],0
a1,1,0.601529,0.272696,[ 2 23] ; [ 1 22],[ 1.5625 23.4375] ; [ 1.4375 21.5625],0
u2,1,0.604773,0.267857,[6 6] ; [2 1],[6.4 5.6] ; [1.6 1.4],0
b2,1,0.618481,0.248008,[ 8 10] ; [10  9],[8.75675676 9.24324324] ; [9.24324324 9.75675676],0
b3,1,0.618481,0.248008,[ 8 10] ; [10  9],[8.75675676 9.24324324] ; [9.24324324 9.75675676],0
r2,1,0.637762,0.221681,[21  3] ; [19  4],[20.42553191  3.57446809] ; [19.57446809  3.42553191],0
s7,1,0.649689,0.206293,[11 10] ; [10 12],[10.25581395 10.74418605] ; [10.74418605 11.25581395],0
s4,1,0.657729,0.196294,[ 2 23] ; [ 1 20],[ 1.63043478 23.36956522] ; [ 1.36956522 19.63043478],0
p8,1,0.679697,0.170467,[17  7] ; [15  8],[16.34042553  7.65957447] ; [15.65957447  7.34042553],0
n2,1,0.732678,0.116667,[6 2] ; [4 2],[5.71428571 2.28571429] ; [4.28571429 1.71428571],0
p11,1,0.771869,0.08406,[21  4] ; [20  3],[21.35416667  3.64583333] ; [19.64583333  3.35416667],0
b5,1,0.772638,0.083478,[12 13] ; [12 11],[12.5 12.5] ; [11.5 11.5],0
p4,1,0.791827,0.069664,[18  6] ; [18  5],[18.38297872  5.61702128] ; [17.61702128  5.38297872],0
u3,1,0.792147,0.069444,[7 5] ; [2 1],[7.2 4.8] ; [1.8 1.2],0
b1,1,0.807086,0.059627,[10 15] ; [10 13],[10.41666667 14.58333333] ; [ 9.58333333 13.41666667],0
a7,1,0.838118,0.041739,[17  8] ; [15  8],[16.66666667  8.33333333] ; [15.33333333  7.66666667],0
s3,1,0.852304,0.034663,[ 6 19] ; [ 5 18],[ 5.72916667 19.27083333] ; [ 5.27083333 17.72916667],0
s8,1,0.859419,0.031369,[10 14] ; [ 9 14],[ 9.70212766 14.29787234] ; [ 9.29787234 13.70212766],0
p2,1,0.8744,0.024987,[20  5] ; [18  4],[20.21276596  4.78723404] ; [17.78723404  4.21276596],0
p1,1,0.882172,0.021968,[ 5 20] ; [ 5 18],[ 5.20833333 19.79166667] ; [ 4.79166667 18.20833333],0
v2,1,0.958427,0.002717,[14 10] ; [13  9],[14.08695652  9.91304348] ; [12.91304348  9.08695652],0
p10,1,1.0,0.0,[21  2] ; [21  2],[21.  2.] ; [21.  2.],0
