Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,93.654305,[ 32 117] ; [223  99],[80.66878981 68.33121019] ; [174.33121019 147.66878981],1
p8,1,0.0,46.038419,[47 97] ; [212 107],[80.55291577 63.44708423] ; [178.44708423 140.55291577],1
p6,1,0.0,41.373715,[ 31 116] ; [168 150],[62.90967742 84.09032258] ; [136.09032258 181.90967742],1
p2,1,0.0,36.16412,[107  42] ; [297  24],[128.07659574  20.92340426] ; [275.92340426  45.07659574],1
p5,1,3e-06,21.910878,[  6 142] ; [ 67 253],[ 23.08547009 124.91452991] ; [ 49.91452991 270.08547009],1
p7,1,1.6e-05,18.594418,[75 63] ; [237  80],[94.62857143 43.37142857] ; [217.37142857  99.62857143],1
d1,1,1.8e-05,18.442059,[70 80] ; [217 105],[91.20762712 58.79237288] ; [195.79237288 126.20762712],1
d3,1,0.000176,14.076513,[86 63] ; [241  81],[103.44585987  45.55414013] ; [223.55414013  98.44585987],1
p9,1,0.001166,10.542961,[119  26] ; [296  25],[129.13090129  15.86909871] ; [285.86909871  35.13090129],0
d2,1,0.00138,10.232562,[59 90] ; [178 143],[75.13404255 73.86595745] ; [161.86595745 159.13404255],0
d5,1,0.001528,10.044325,[112  37] ; [279  42],[123.95531915  25.04468085] ; [267.04468085  53.95531915],0
r4,1,0.003587,8.481914,[132  18] ; [307  15],[139.51271186  10.48728814] ; [299.48728814  22.51271186],0
d4,1,0.005015,7.873938,[113  36] ; [277  44],[123.63829787  25.36170213] ; [266.36170213  54.63829787],0
a5,1,0.005548,7.691462,[100  50] ; [253  69],[112.18220339  37.81779661] ; [240.81779661  81.18220339],0
a4,1,0.005556,7.688934,[55 94] ; [162 158],[68.94029851 80.05970149] ; [148.05970149 171.94029851],0
s7,1,0.006769,7.333179,[82 66] ; [208  96],[94.95575221 53.04424779] ; [195.04424779 108.95575221],0
b5,1,0.008657,6.892346,[106  44] ; [187 135],[93.11440678 56.88559322] ; [199.88559322 122.11440678],0
n6,1,0.009991,6.636507,[130  20] ; [301  20],[137.2611465  12.7388535] ; [293.7388535  27.2611465],0
p10,1,0.013965,6.042553,[118  29] ; [284  36],[126.53961456  20.46038544] ; [275.46038544  44.53961456],0
n4,1,0.016594,5.738826,[127  23] ; [295  26],[134.39490446  15.60509554] ; [287.60509554  33.39490446],0
r3,1,0.022116,5.236635,[138  11] ; [312   9],[142.65957447   6.34042553] ; [307.34042553  13.65957447],0
u1,1,0.023737,5.113769,[ 23 127] ; [ 79 243],[ 32.41525424 117.58474576] ; [ 69.58474576 252.41525424],0
v1,1,0.030049,4.706483,[77 67] ; [202 113],[87.52941176 56.47058824] ; [191.47058824 123.52941176],0
s5,1,0.034234,4.482972,[53 93] ; [147 167],[63.47826087 82.52173913] ; [136.52173913 177.47826087],0
s2,1,0.03492,4.449094,[88 60] ; [222  98],[98.03418803 49.96581197] ; [211.96581197 108.03418803],0
s8,1,0.041806,4.143035,[76 74] ; [194 126],[86.17021277 63.82978723] ; [183.82978723 136.17021277],0
r1,1,0.050547,3.823206,[118  31] ; [277  44],[125.22340426  23.77659574] ; [269.77659574  51.22340426],0
p11,1,0.072247,3.231218,[116  34] ; [271  51],[122.98728814  27.01271186] ; [264.01271186  57.98728814],0
v2,1,0.158704,1.986536,[74 65] ; [190 125],[80.82819383 58.17180617] ; [183.17180617 131.82819383],0
a8,1,0.19393,1.687509,[ 27 111] ; [ 43 251],[ 22.36111111 115.63888889] ; [ 47.63888889 246.36111111],0
