Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.700187,[ 79 256] ; [33 29],[ 94.50881612 240.49118388] ; [17.49118388 44.50881612],1
s2,1,2e-06,22.263647,[146 197] ; [49 17],[163.53300733 179.46699267] ; [31.46699267 34.53300733],1
s6,1,0.000418,12.451351,[204 138] ; [53 11],[216.48768473 125.51231527] ; [40.51231527 23.48768473],1
s3,1,0.003116,8.738107,[171 168] ; [47 20],[182.02463054 156.97536946] ; [35.97536946 31.02463054],0
n4,1,0.00394,8.311222,[253  92] ; [38 30],[243.08716707 101.91283293] ; [47.91283293 20.08716707],0
p9,1,0.007686,7.105209,[265  75] ; [60  5],[272.83950617  67.16049383] ; [52.16049383 12.83950617],0
s7,1,0.010966,6.470786,[126 208] ; [36 30],[135.27 198.73] ; [26.73 39.27],0
a8,1,0.034031,4.493148,[ 56 263] ; [ 4 56],[ 50.50131926 268.49868074] ; [ 9.49868074 50.50131926],0
s8,1,0.042148,4.129255,[122 222] ; [33 35],[129.41747573 214.58252427] ; [25.58252427 42.41747573],0
p10,1,0.047058,3.943326,[250  91] ; [56 10],[256.37837838  84.62162162] ; [49.62162162 16.37837838],0
b2,1,0.054951,3.683565,[ 71 131] ; [ 5 24],[ 66.45887446 135.54112554] ; [ 9.54112554 19.45887446],0
b3,1,0.054951,3.683565,[ 71 131] ; [ 5 24],[ 66.45887446 135.54112554] ; [ 9.54112554 19.45887446],0
d2,1,0.079776,3.069451,[156 188] ; [23 45],[149.45631068 194.54368932] ; [29.54368932 38.45631068],0
n2,1,0.095451,2.779958,[72 26] ; [19  2],[74.94117647 23.05882353] ; [16.05882353  4.94117647],0
p11,1,0.118904,2.431695,[265  81] ; [46 22],[259.9178744  86.0821256] ; [51.0821256 16.9178744],0
p2,1,0.133175,2.255096,[273  73] ; [48 20],[268.27536232  77.72463768] ; [52.72463768 15.27536232],0
v3,1,0.143432,2.140744,[117 212] ; [17 48],[111.89340102 217.10659898] ; [22.10659898 42.89340102],0
d4,1,0.144035,2.134317,[284  60] ; [51 17],[279.70873786  64.29126214] ; [55.29126214 12.70873786],0
r1,1,0.156307,2.009593,[292  52] ; [53 15],[288.05825243  55.94174757] ; [56.94174757 11.05825243],0
n3,1,0.161599,1.959195,[68 28] ; [18  3],[70.56410256 25.43589744] ; [15.43589744  5.56410256],0
d3,1,0.19323,1.692818,[235 110] ; [51 16],[239.49029126 105.50970874] ; [46.50970874 20.49029126],0
b1,1,0.220484,1.50122,[118 228] ; [18 50],[113.66183575 232.33816425] ; [22.33816425 45.66183575],0
d1,1,0.235086,1.409825,[190 156] ; [32 36],[185.53623188 160.46376812] ; [36.46376812 31.53623188],0
a2,1,0.248304,1.332822,[ 72 274] ; [10 58],[ 68.53140097 277.46859903] ; [13.46859903 54.53140097],0
p8,1,0.254285,1.299609,[135 204] ; [21 44],[130.9009901 208.0990099] ; [25.0990099 39.9009901],0
n6,1,0.272849,1.202366,[280  66] ; [58  9],[283.16707022  62.83292978] ; [54.83292978 12.16707022],0
n5,1,0.28854,1.12642,[240 104] ; [43 25],[236.29126214 107.70873786] ; [46.70873786 21.29126214],0
u2,1,0.293054,1.105538,[65 48] ; [12 14],[62.5971223 50.4028777] ; [14.4028777 11.5971223],0
a4,1,0.293514,1.103432,[145 199] ; [24 44],[141.10679612 202.89320388] ; [27.89320388 40.10679612],0
r3,1,0.371412,0.798935,[341   5] ; [65  2],[340.13559322   5.86440678] ; [65.86440678  1.13559322],0
a3,1,0.408445,0.683323,[231 114] ; [42 26],[228.05084746 116.94915254] ; [44.94915254 23.05084746],0
p5,1,0.419319,0.652224,[ 18 325] ; [ 2 66],[ 16.69099757 326.30900243] ; [ 3.30900243 64.69099757],0
p7,1,0.47061,0.520544,[173 161] ; [30 34],[170.35678392 163.64321608] ; [32.64321608 31.35678392],0
a5,1,0.509231,0.435647,[238 108] ; [44 24],[235.68115942 110.31884058] ; [46.31884058 21.68115942],0
u3,1,0.59121,0.288458,[63 50] ; [16 10],[64.22302158 48.77697842] ; [14.77697842 11.22302158],0
p4,1,0.608456,0.26243,[132 210] ; [24 44],[130.12682927 211.87317073] ; [25.87317073 42.12682927],0
b4,1,0.637832,0.221589,[204 142] ; [38 30],[202.25120773 143.74879227] ; [39.74879227 28.25120773],0
p1,1,0.665983,0.186337,[ 16 328] ; [ 4 64],[ 16.69902913 327.30097087] ; [ 3.30097087 64.69902913],0
s1,1,0.668905,0.182886,[ 14 323] ; [ 2 64],[ 13.37965261 323.62034739] ; [ 2.62034739 63.37965261],0
n1,1,0.695313,0.153393,[36 59] ; [ 7 14],[35.21551724 59.78448276] ; [ 7.78448276 13.21551724],0
a7,1,0.725499,0.123285,[251  95] ; [50 17],[252.16949153  93.83050847] ; [48.83050847 18.16949153],0
u1,1,0.779457,0.078415,[ 45 301] ; [ 8 60],[ 44.29468599 301.70531401] ; [ 8.70531401 59.29468599],0
b5,1,0.825098,0.048838,[219 127] ; [44 24],[219.80193237 126.19806763] ; [43.19806763 24.80193237],0
p6,1,0.866793,0.028135,[ 86 255] ; [16 50],[ 85.45945946 255.54054054] ; [16.54054054 49.45945946],0
v1,1,0.870914,0.026406,[161 179] ; [31 36],[160.39312039 179.60687961] ; [31.60687961 35.39312039],0
p12,1,0.871637,0.026108,[ 17 327] ; [ 3 64],[ 16.73965937 327.26034063] ; [ 3.26034063 63.73965937],0
