Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.001327,10.304783,[506 103] ; [7 7],[501.47191011 107.52808989] ; [11.52808989  2.47191011],0
d4,1,0.014555,5.969555,[501 106] ; [8 6],[497.52495974 109.47504026] ; [11.47504026  2.52495974],0
s1,1,0.014559,5.969089,[ 17 582] ; [ 2 12],[ 18.56606852 580.43393148] ; [ 0.43393148 13.56606852],0
s5,1,0.031934,4.602029,[213 374] ; [9 5],[216.82861897 370.17138103] ; [5.17138103 8.82861897],0
d3,1,0.034941,4.448076,[422 187] ; [6 8],[418.38202247 190.61797753] ; [9.61797753 4.38202247],0
p7,1,0.047108,3.941517,[404 190] ; [6 8],[400.55921053 193.44078947] ; [9.44078947 4.55921053],0
p11,1,0.06445,3.418994,[509 103] ; [9 5],[506.41533546 105.58466454] ; [11.58466454  2.41533546],0
a4,1,0.073712,3.198363,[293 316] ; [ 3 10],[289.81350482 319.18649518] ; [6.18649518 6.81350482],0
n1,1,0.089956,2.875164,[48 61] ; [6 2],[50.30769231 58.69230769] ; [3.69230769 4.30769231],0
a2,1,0.094638,2.793658,[166 446] ; [ 1 13],[163.26517572 448.73482428] ; [ 3.73482428 10.26517572],0
p1,1,0.107671,2.588082,[ 54 554] ; [ 3 11],[ 55.7170418 552.2829582] ; [ 1.2829582 12.7170418],0
b4,1,0.109373,2.56326,[350 262] ; [11  3],[352.92651757 259.07348243] ; [8.07348243 5.92651757],0
p10,1,0.113931,2.498835,[522  83] ; [10  4],[519.96768982  85.03231018] ; [12.03231018  1.96768982],0
p8,1,0.139902,2.179033,[338 261] ; [10  3],[340.60784314 258.39215686] ; [7.39215686 5.60784314],0
p2,1,0.140885,2.16827,[521  88] ; [10  4],[519.06741573  89.93258427] ; [11.93258427  2.06741573],0
b1,1,0.158688,1.98668,[236 376] ; [8 6],[238.54313099 373.45686901] ; [5.45686901 8.54313099],0
d1,1,0.162692,1.949027,[375 237] ; [6 8],[372.47923323 239.52076677] ; [8.52076677 5.47923323],0
u3,1,0.176119,1.830072,[97 68] ; [1 3],[95.68047337 69.31952663] ; [2.31952663 1.68047337],0
u1,1,0.22038,1.501893,[125 487] ; [ 1 13],[123.18210863 488.81789137] ; [ 2.81789137 11.18210863],0
a6,1,0.297878,1.083669,[426 182] ; [8 6],[424.23151125 183.76848875] ; [9.76848875 4.23151125],0
s6,1,0.311726,1.023347,[430 168] ; [11  2],[431.61702128 166.38297872] ; [9.38297872 3.61702128],0
s8,1,0.343586,0.897007,[293 314] ; [8 5],[294.68870968 312.31129032] ; [6.31129032 6.68870968],0
b3,1,0.374795,0.787704,[153 224] ; [3 8],[151.57731959 225.42268041] ; [4.42268041 6.57731959],0
b2,1,0.374795,0.787704,[153 224] ; [3 8],[151.57731959 225.42268041] ; [4.42268041 6.57731959],0
v2,1,0.377578,0.778572,[342 244] ; [6 7],[340.44741235 245.55258765] ; [7.55258765 5.44741235],0
r1,1,0.402884,0.699702,[526  83] ; [11  3],[524.93258427  84.06741573] ; [12.06741573  1.93258427],0
p5,1,0.409641,0.679842,[ 83 522] ; [ 3 11],[ 84.0549273 520.9450727] ; [ 1.9450727 12.0549273],0
s2,1,0.443903,0.586172,[326 278] ; [9 5],[327.41100324 276.58899676] ; [7.58899676 6.41100324],0
a7,1,0.444175,0.585474,[448 162] ; [9 5],[446.74679487 163.25320513] ; [10.25320513  3.74679487],0
v1,1,0.449116,0.572881,[359 239] ; [7 7],[357.62745098 240.37254902] ; [8.37254902 5.62745098],0
p4,1,0.521127,0.411662,[397 210] ; [8 6],[395.86956522 211.13043478] ; [9.13043478 4.86956522],0
n2,1,0.521886,0.410165,[88 25] ; [7 1],[88.71900826 24.28099174] ; [6.28099174 1.71900826],0
d2,1,0.531327,0.391853,[312 296] ; [6 8],[310.84244373 297.15755627] ; [7.15755627 6.84244373],0
p12,1,0.538449,0.378422,[ 57 549] ; [ 2 12],[ 57.66774194 548.33225806] ; [ 1.33225806 12.66774194],0
a1,1,0.598115,0.277848,[ 26 586] ; [ 1 13],[ 26.39616613 585.60383387] ; [ 0.60383387 13.39616613],0
s7,1,0.606753,0.264931,[310 271] ; [6 7],[309.08417508 271.91582492] ; [6.91582492 6.08417508],0
v3,1,0.66075,0.192614,[263 327] ; [5 8],[262.22222222 327.77777778] ; [5.77777778 7.22222222],0
p9,1,0.688494,0.160721,[533  71] ; [11  2],[532.53808752  71.46191248] ; [11.46191248  1.53808752],0
a3,1,0.775808,0.081103,[447 162] ; [10  3],[447.44855305 161.55144695] ; [9.55144695 3.44855305],0
b5,1,0.78132,0.077061,[371 241] ; [9 5],[371.50159744 240.49840256] ; [8.49840256 5.50159744],0
n3,1,0.789539,0.07124,[85 27] ; [5 2],[84.70588235 27.29411765] ; [5.29411765 1.70588235],0
p3,1,0.803102,0.062168,[327 281] ; [8 6],[327.45980707 280.54019293] ; [7.54019293 6.45980707],0
p6,1,0.811471,0.056896,[239 363] ; [6 8],[239.43181818 362.56818182] ; [5.56818182 8.43181818],0
u2,1,0.827321,0.047585,[91 73] ; [2 2],[90.78571429 73.21428571] ; [2.21428571 1.78571429],0
a5,1,0.851967,0.034823,[467 144] ; [11  3],[467.2928 143.7072] ; [10.7072  3.2928],0
s4,1,0.903185,0.014796,[ 93 508] ; [ 2 12],[ 92.83739837 508.16260163] ; [ 2.16260163 11.83739837],0
s3,1,0.933043,0.007059,[359 244] ; [7 5],[358.85853659 244.14146341] ; [7.14146341 4.85853659],0
