Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,6e-06,20.521429,[24 12] ; [ 4 28],[14.82352941 21.17647059] ; [13.17647059 18.82352941],1
r4,1,0.002059,9.495819,[34  4] ; [19 14],[28.36619718  9.63380282] ; [24.63380282  8.36619718],0
p7,1,0.002397,9.217772,[30  8] ; [14 18],[23.88571429 14.11428571] ; [20.11428571 11.88571429],0
v1,1,0.007189,7.225204,[23 13] ; [10 22],[17.47058824 18.52941176] ; [15.52941176 16.47058824],0
p11,1,0.009353,6.75411,[34  4] ; [21 12],[29.43661972  8.56338028] ; [25.56338028  7.43661972],0
p3,1,0.00968,6.69278,[26 12] ; [12 20],[20.62857143 17.37142857] ; [17.37142857 14.62857143],0
r1,1,0.012831,6.192323,[32  6] ; [19 14],[27.29577465 10.70422535] ; [23.70422535  9.29577465],0
a3,1,0.015417,5.868222,[34  4] ; [21 11],[29.85714286  8.14285714] ; [25.14285714  6.85714286],0
u1,1,0.020602,5.360185,[12 26] ; [ 3 30],[ 8.02816901 29.97183099] ; [ 6.97183099 26.02816901],0
a5,1,0.027084,4.885449,[31  7] ; [19 14],[26.76056338 11.23943662] ; [23.23943662  9.76056338],0
r3,1,0.043944,4.058697,[36  2] ; [26  7],[33.18309859  4.81690141] ; [28.81690141  4.18309859],0
b4,1,0.045587,3.996803,[24 14] ; [13 20],[19.8028169 18.1971831] ; [17.1971831 15.8028169],0
d5,1,0.046857,3.950498,[32  6] ; [21 12],[28.36619718  9.63380282] ; [24.63380282  8.36619718],0
a6,1,0.053126,3.739939,[28 10] ; [17 16],[24.08450704 13.91549296] ; [20.91549296 12.08450704],0
s5,1,0.058463,3.58047,[ 9 29] ; [ 2 28],[ 6.14705882 31.85294118] ; [ 4.85294118 25.14705882],0
d1,1,0.080629,3.052179,[24 14] ; [14 19],[20.33802817 17.66197183] ; [17.66197183 15.33802817],0
n1,1,0.087375,2.922078,[2 4] ; [9 3],[3.66666667 2.33333333] ; [7.33333333 4.66666667],0
s4,1,0.107636,2.588594,[ 3 35] ; [ 7 26],[ 5.35211268 32.64788732] ; [ 4.64788732 28.35211268],0
b5,1,0.111272,2.536063,[17 21] ; [21 12],[20.33802817 17.66197183] ; [17.66197183 15.33802817],0
d2,1,0.119901,2.418612,[22 16] ; [13 20],[18.73239437 19.26760563] ; [16.26760563 16.73239437],0
v4,1,0.149988,2.072368,[36  2] ; [27  5],[34.2  3.8] ; [28.8  3.2],0
a7,1,0.152395,2.048116,[28 10] ; [19 14],[25.15492958 12.84507042] ; [21.84507042 11.15492958],0
d3,1,0.152395,2.048116,[28 10] ; [19 14],[25.15492958 12.84507042] ; [21.84507042 11.15492958],0
s8,1,0.264669,1.244169,[20 18] ; [13 20],[17.66197183 20.33802817] ; [15.33802817 17.66197183],0
a4,1,0.264669,1.244169,[20 18] ; [13 20],[17.66197183 20.33802817] ; [15.33802817 17.66197183],0
p9,1,0.267527,1.229383,[30  7] ; [23 10],[28.01428571  8.98571429] ; [24.98571429  8.01428571],0
r2,1,0.296951,1.087838,[35  2] ; [28  4],[33.7826087  3.2173913] ; [29.2173913  2.7826087],0
