Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.026337,4.933749,[ 3 19] ; [7 8],[ 5.94594595 16.05405405] ; [ 4.05405405 10.94594595],0
d5,1,0.044789,4.02656,[18  5] ; [7 8],[15.13157895  7.86842105] ; [9.86842105 5.13157895],0
p9,1,0.082553,3.013915,[15  7] ; [13  1],[17.11111111  4.88888889] ; [10.88888889  3.11111111],0
a6,1,0.088769,2.896549,[17  6] ; [7 8],[14.52631579  8.47368421] ; [9.47368421 5.52631579],0
p1,1,0.124352,2.361637,[ 1 22] ; [ 3 12],[ 2.42105263 20.57894737] ; [ 1.57894737 13.42105263],0
n5,1,0.135918,2.223572,[13 10] ; [12  3],[15.13157895  7.86842105] ; [9.86842105 5.13157895],0
v2,1,0.155808,2.014444,[11 11] ; [ 4 11],[ 8.91891892 13.08108108] ; [6.08108108 8.91891892],0
p10,1,0.182227,1.779364,[13  9] ; [12  3],[14.86486486  7.13513514] ; [10.13513514  4.86486486],0
s6,1,0.207886,1.586087,[ 9 14] ; [9 6],[10.89473684 12.10526316] ; [7.10526316 7.89473684],0
d3,1,0.207886,1.586087,[14  9] ; [6 9],[12.10526316 10.89473684] ; [7.89473684 7.10526316],0
p3,1,0.225038,1.47195,[ 6 16] ; [7 8],[ 7.72972973 14.27027027] ; [5.27027027 9.72972973],0
s8,1,0.22504,1.471937,[ 5 18] ; [6 9],[ 6.65789474 16.34210526] ; [ 4.34210526 10.65789474],0
v3,1,0.22504,1.471937,[ 5 18] ; [6 9],[ 6.65789474 16.34210526] ; [ 4.34210526 10.65789474],0
b3,1,0.239113,1.385814,[4 9] ; [6 5],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
b2,1,0.239113,1.385814,[4 9] ; [6 5],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
p5,1,0.320428,0.987201,[ 3 19] ; [ 4 11],[ 4.16216216 17.83783784] ; [ 2.83783784 12.16216216],0
a8,1,0.350479,0.871722,[ 4 18] ; [ 1 13],[ 3.05555556 18.94444444] ; [ 1.94444444 12.05555556],0
n6,1,0.36454,0.822191,[13 10] ; [10  4],[14.2972973  8.7027027] ; [8.7027027 5.2972973],0
v1,1,0.376445,0.782279,[11 12] ; [ 5 10],[ 9.68421053 13.31578947] ; [6.31578947 8.68421053],0
r1,1,0.376445,0.782279,[11 12] ; [ 5 10],[ 9.68421053 13.31578947] ; [6.31578947 8.68421053],0
a4,1,0.376445,0.782279,[11 12] ; [ 5 10],[ 9.68421053 13.31578947] ; [6.31578947 8.68421053],0
p6,1,0.473805,0.513088,[ 5 17] ; [ 2 13],[ 4.16216216 17.83783784] ; [ 2.83783784 12.16216216],0
r4,1,0.47522,0.509814,[ 7 16] ; [ 3 12],[ 6.05263158 16.94736842] ; [ 3.94736842 11.05263158],0
d4,1,0.47522,0.509814,[16  7] ; [12  3],[16.94736842  6.05263158] ; [11.05263158  3.94736842],0
s3,1,0.475703,0.508698,[ 5 17] ; [ 5 10],[ 5.94594595 16.05405405] ; [ 4.05405405 10.94594595],0
a1,1,0.531257,0.391986,[ 3 20] ; [ 1 14],[ 2.42105263 20.57894737] ; [ 1.57894737 13.42105263],0
p12,1,0.531257,0.391986,[ 3 20] ; [ 1 14],[ 2.42105263 20.57894737] ; [ 1.57894737 13.42105263],0
a3,1,0.536158,0.382707,[14  8] ; [11  4],[14.86486486  7.13513514] ; [10.13513514  4.86486486],0
s5,1,0.565403,0.330435,[ 3 20] ; [ 3 12],[ 3.63157895 19.36842105] ; [ 2.36842105 12.63157895],0
s7,1,0.61438,0.253846,[ 6 14] ; [5 8],[ 6.66666667 13.33333333] ; [4.33333333 8.66666667],0
n4,1,0.635318,0.224918,[12 11] ; [9 6],[12.71052632 10.28947368] ; [8.28947368 6.71052632],0
p4,1,0.635318,0.224918,[12 11] ; [9 6],[12.71052632 10.28947368] ; [8.28947368 6.71052632],0
p7,1,0.645572,0.211528,[14  9] ; [8 7],[13.31578947  9.68421053] ; [8.68421053 6.31578947],0
s1,1,0.648867,0.207332,[ 2 21] ; [ 2 13],[ 2.42105263 20.57894737] ; [ 1.57894737 13.42105263],0
p11,1,0.666177,0.186107,[17  6] ; [12  3],[17.55263158  5.44736842] ; [11.44736842  3.55263158],0
p2,1,0.717269,0.131125,[14  9] ; [10  5],[14.52631579  8.47368421] ; [9.47368421 5.52631579],0
v4,1,0.739979,0.110145,[12 11] ; [7 8],[11.5 11.5] ; [7.5 7.5],0
b5,1,0.739979,0.110145,[12 11] ; [7 8],[11.5 11.5] ; [7.5 7.5],0
b4,1,0.739979,0.110145,[12 11] ; [7 8],[11.5 11.5] ; [7.5 7.5],0
d2,1,0.7445,0.106211,[ 8 15] ; [6 9],[ 8.47368421 14.52631579] ; [5.52631579 9.47368421],0
n1,1,0.803017,0.062222,[3 6] ; [2 3],[3.21428571 5.78571429] ; [1.78571429 3.21428571],0
s4,1,0.820643,0.051401,[ 2 21] ; [ 1 14],[ 1.81578947 21.18421053] ; [ 1.18421053 13.81578947],0
b1,1,0.831895,0.045059,[13 10] ; [9 6],[13.31578947  9.68421053] ; [8.68421053 6.31578947],0
n3,1,0.872081,0.025926,[5 4] ; [3 2],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
n2,1,0.872081,0.025926,[5 4] ; [3 2],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
u2,1,0.912637,0.012037,[7 2] ; [3 1],[6.92307692 2.07692308] ; [3.07692308 0.92307692],0
d1,1,0.926661,0.008473,[ 8 15] ; [ 5 10],[ 7.86842105 15.13157895] ; [5.13157895 9.86842105],0
p8,1,0.942094,0.005276,[10 12] ; [7 8],[10.10810811 11.89189189] ; [6.89189189 8.10810811],0
