Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.024945,5.027675,[26 12] ; [63 10],[30.46846847  7.53153153] ; [58.53153153 14.46846847],0
a7,1,0.03078,4.665179,[19 19] ; [51 21],[24.18181818 13.81818182] ; [45.81818182 26.18181818],0
b1,1,0.046837,3.951224,[21 17] ; [26 47],[16.09009009 21.90990991] ; [30.90990991 42.09009009],0
s5,1,0.061285,3.502274,[ 1 37] ; [10 62],[ 3.8 34.2] ; [ 7.2 64.8],0
d1,1,0.094366,2.798277,[10 28] ; [31 42],[14.03603604 23.96396396] ; [26.96396396 46.03603604],0
n2,1,0.114685,2.48845,[14  5] ; [12 12],[11.48837209  7.51162791] ; [14.51162791  9.48837209],0
a5,1,0.118496,2.437088,[21 17] ; [29 44],[17.11711712 20.88288288] ; [32.88288288 40.11711712],0
r2,1,0.12286,2.380482,[27 11] ; [61 12],[30.12612613  7.87387387] ; [57.87387387 15.12612613],0
p9,1,0.155947,2.01309,[27 10] ; [42 29],[23.63888889 13.36111111] ; [45.36111111 25.63888889],0
a2,1,0.159646,1.977575,[ 5 33] ; [ 4 69],[ 3.08108108 34.91891892] ; [ 5.91891892 67.08108108],0
v1,1,0.17217,1.863943,[15 23] ; [19 52],[11.85321101 26.14678899] ; [22.14678899 48.85321101],0
n6,1,0.210928,1.565045,[25 13] ; [39 34],[21.90990991 16.09009009] ; [42.09009009 30.90990991],0
s7,1,0.248928,1.329312,[ 7 28] ; [ 8 61],[ 5.04807692 29.95192308] ; [ 9.95192308 59.04807692],0
s2,1,0.26239,1.256101,[ 4 33] ; [14 59],[ 6.05454545 30.94545455] ; [11.94545455 61.05454545],0
a4,1,0.266116,1.236659,[12 26] ; [16 57],[ 9.58558559 28.41441441] ; [18.41441441 54.58558559],0
u1,1,0.329262,0.951799,[ 4 34] ; [ 4 69],[ 2.73873874 35.26126126] ; [ 5.26126126 67.73873874],0
r4,1,0.33659,0.923375,[22 16] ; [49 24],[24.30630631 13.69369369] ; [46.69369369 26.30630631],0
p4,1,0.346509,0.8862,[15 23] ; [22 50],[12.78181818 25.21818182] ; [24.21818182 47.78181818],0
