Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7.1e-05,15.772392,[6 3] ; [ 5 44],[1.70689655 7.29310345] ; [ 9.29310345 39.70689655],1
r4,1,0.000157,14.289792,[5 4] ; [ 4 49],[1.30645161 7.69354839] ; [ 7.69354839 45.30645161],1
p10,1,0.001551,10.017353,[8 1] ; [17 35],[3.68852459 5.31147541] ; [21.31147541 30.68852459],0
r1,1,0.002019,9.532351,[8 1] ; [18 35],[3.77419355 5.22580645] ; [22.22580645 30.77419355],0
p5,1,0.003247,8.663102,[3 6] ; [ 2 49],[0.75 8.25] ; [ 4.25 46.75],0
p9,1,0.00326,8.655778,[8 1] ; [18 32],[3.96610169 5.03389831] ; [22.03389831 27.96610169],0
s6,1,0.011237,6.427519,[6 3] ; [13 40],[2.75806452 6.24193548] ; [16.24193548 36.75806452],0
p8,1,0.019465,5.459247,[5 4] ; [10 42],[2.21311475 6.78688525] ; [12.78688525 39.21311475],0
p4,1,0.030295,4.692489,[5 4] ; [11 41],[2.36065574 6.63934426] ; [13.63934426 38.36065574],0
n6,1,0.049146,3.870367,[7 2] ; [22 30],[4.27868852 4.72131148] ; [24.72131148 27.27868852],0
p2,1,0.052173,3.770221,[6 3] ; [17 35],[3.39344262 5.60655738] ; [19.60655738 32.39344262],0
s3,1,0.054325,3.702695,[5 4] ; [12 38],[2.59322034 6.40677966] ; [14.40677966 35.59322034],0
a6,1,0.071446,3.249476,[7 2] ; [24 29],[4.5 4.5] ; [26.5 26.5],0
s5,1,0.129072,2.303628,[3 6] ; [ 7 46],[1.4516129 7.5483871] ; [ 8.5483871 44.4516129],0
s2,1,0.129072,2.303628,[3 6] ; [ 7 46],[1.4516129 7.5483871] ; [ 8.5483871 44.4516129],0
n5,1,0.142147,2.154557,[8 1] ; [34 19],[6.09677419 2.90322581] ; [35.90322581 17.09677419],0
n2,1,0.147177,2.101264,[5 2] ; [11 16],[3.29411765 3.70588235] ; [12.70588235 14.29411765],0
u1,1,0.147589,2.096995,[1 8] ; [ 1 52],[0.29032258 8.70967742] ; [ 1.70967742 51.29032258],0
u2,1,0.19043,1.714286,[2 1] ; [ 6 15],[1. 2.] ; [ 7. 14.],0
d3,1,0.1958,1.673429,[6 3] ; [23 30],[4.20967742 4.79032258] ; [24.79032258 28.20967742],0
n3,1,0.207821,1.586538,[1 5] ; [12 15],[2.36363636 3.63636364] ; [10.63636364 16.36363636],0
p3,1,0.229655,1.442996,[4 5] ; [13 39],[2.50819672 6.49180328] ; [14.49180328 37.50819672],0
v3,1,0.230316,1.43891,[3 5] ; [10 43],[1.70491803 6.29508197] ; [11.29508197 41.70491803],0
d4,1,0.231207,1.433423,[7 2] ; [30 23],[5.37096774 3.62903226] ; [31.62903226 21.37096774],0
a2,1,0.262364,1.256239,[2 7] ; [ 5 48],[1.01612903 7.98387097] ; [ 5.98387097 47.01612903],0
p11,1,0.270582,1.213794,[4 5] ; [14 39],[2.61290323 6.38709677] ; [15.38709677 37.61290323],0
b4,1,0.272067,1.206297,[7 2] ; [31 22],[5.51612903 3.48387097] ; [32.48387097 20.51612903],0
b2,1,0.292915,1.106173,[1 5] ; [14 22],[2.14285714 3.85714286] ; [12.85714286 23.14285714],0
b3,1,0.292915,1.106173,[1 5] ; [14 22],[2.14285714 3.85714286] ; [12.85714286 23.14285714],0
v2,1,0.297075,1.087278,[2 6] ; [ 6 46],[1.06666667 6.93333333] ; [ 6.93333333 45.06666667],0
n4,1,0.317736,0.998245,[7 2] ; [32 21],[5.66129032 3.33870968] ; [33.33870968 19.66129032],0
v1,1,0.33144,0.943263,[4 5] ; [15 38],[2.75806452 6.24193548] ; [16.24193548 36.75806452],0
p7,1,0.366563,0.815281,[1 7] ; [14 37],[2.03389831 5.96610169] ; [12.96610169 38.03389831],0
a7,1,0.370468,0.802093,[5 4] ; [21 32],[3.77419355 5.22580645] ; [22.22580645 30.77419355],0
a5,1,0.382085,0.763983,[6 3] ; [27 26],[4.79032258 4.20967742] ; [28.20967742 24.79032258],0
n1,1,0.436074,0.606591,[4 3] ; [11 16],[3.08823529 3.91176471] ; [11.91176471 15.08823529],0
d5,1,0.440594,0.594736,[6 3] ; [28 25],[4.93548387 4.06451613] ; [29.06451613 23.93548387],0
r2,1,0.443102,0.588235,[7 2] ; [33 18],[6. 3.] ; [34. 17.],0
d2,1,0.460043,0.545789,[5 4] ; [22 30],[3.98360656 5.01639344] ; [23.01639344 28.98360656],0
d1,1,0.468504,0.525502,[4 5] ; [17 36],[3.0483871 5.9516129] ; [17.9516129 35.0483871],0
b5,1,0.567963,0.326102,[5 4] ; [24 29],[4.20967742 4.79032258] ; [24.79032258 28.20967742],0
p1,1,0.753795,0.09837,[1 8] ; [ 8 45],[1.30645161 7.69354839] ; [ 7.69354839 45.30645161],0
a3,1,0.821916,0.050661,[6 3] ; [32 19],[5.7 3.3] ; [32.3 18.7],0
u3,1,0.865215,0.028812,[1 2] ; [ 6 15],[0.875 2.125] ; [ 6.125 14.875],0
b1,1,0.868961,0.027218,[5 4] ; [31 22],[5.22580645 3.77419355] ; [30.77419355 22.22580645],0
a4,1,0.909474,0.012928,[3 6] ; [18 33],[3.15 5.85] ; [17.85 33.15],0
