Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.694735,[16 27] ; [67 19],[27.66666667 15.33333333] ; [55.33333333 30.66666667],1
a2,1,0.00131,10.328431,[ 2 41] ; [25 61],[ 9. 34.] ; [18. 68.],0
d3,1,0.00276,8.95959,[21 22] ; [64 21],[28.5546875 14.4453125] ; [56.4453125 28.5546875],0
a3,1,0.042015,4.134615,[25 18] ; [65 21],[30. 13.] ; [60. 26.],0
s8,1,0.050359,3.829466,[24 19] ; [32 53],[18.8125 24.1875] ; [37.1875 47.8125],0
d4,1,0.05253,3.758793,[29 14] ; [71 15],[33.33333333  9.66666667] ; [66.66666667 19.33333333],0
b3,1,0.054992,3.682328,[10 22] ; [23 20],[14.08 17.92] ; [18.92 24.08],0
b2,1,0.054992,3.682328,[10 22] ; [23 20],[14.08 17.92] ; [18.92 24.08],0
u1,1,0.073585,3.201189,[ 4 39] ; [19 67],[ 7.66666667 35.33333333] ; [15.33333333 70.66666667],0
p4,1,0.08685,2.931818,[28 15] ; [68 18],[32. 11.] ; [64. 22.],0
b5,1,0.104246,2.639346,[19 24] ; [51 35],[23.33333333 19.66666667] ; [46.66666667 39.33333333],0
b4,1,0.105504,2.620312,[17 26] ; [47 39],[21.33333333 21.66666667] ; [42.66666667 43.33333333],0
u3,1,0.111126,2.538131,[ 8 10] ; [14  6],[10.42105263  7.57894737] ; [11.57894737  8.42105263],0
p2,1,0.130783,2.283186,[35  8] ; [78  8],[37.66666667  5.33333333] ; [75.33333333 10.66666667],0
s7,1,0.156699,2.005795,[27 14] ; [43 39],[23.33333333 17.66666667] ; [46.66666667 35.33333333],0
b1,1,0.20908,1.577789,[22 21] ; [34 52],[18.66666667 24.33333333] ; [37.33333333 48.66666667],0
a8,1,0.209234,1.576716,[ 3 39] ; [12 68],[ 5.16393443 36.83606557] ; [ 9.83606557 70.16393443],0
s4,1,0.210951,1.564889,[14 28] ; [19 64],[11.088 30.912] ; [21.912 61.088],0
n3,1,0.229421,1.444444,[10  5] ; [20  4],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
s5,1,0.230139,1.44,[18 22] ; [27 53],[15. 25.] ; [30. 50.],0
v2,1,0.241084,1.374242,[12 29] ; [34 51],[14.96825397 26.03174603] ; [31.03174603 53.96825397],0
p7,1,0.294578,1.098578,[37  6] ; [65 18],[34.80952381  8.19047619] ; [67.19047619 15.80952381],0
s6,1,0.367916,0.810692,[30 10] ; [57 28],[27.84 12.16] ; [59.16 25.84],0
r1,1,0.40496,0.693548,[29 14] ; [64 22],[31. 12.] ; [62. 24.],0
a5,1,0.425357,0.635468,[27 16] ; [60 26],[29. 14.] ; [58. 28.],0
p12,1,0.430273,0.622087,[ 3 39] ; [10 76],[ 4.265625 37.734375] ; [ 8.734375 77.265625],0
n4,1,0.46628,0.530777,[31 12] ; [67 19],[32.66666667 10.33333333] ; [65.33333333 20.66666667],0
d5,1,0.483873,0.490122,[33 10] ; [61 25],[31.33333333 11.66666667] ; [62.66666667 23.33333333],0
n6,1,0.49143,0.473394,[35  8] ; [74 12],[36.33333333  6.66666667] ; [72.66666667 13.33333333],0
d1,1,0.53207,0.390436,[25 18] ; [45 41],[23.33333333 19.66666667] ; [46.66666667 39.33333333],0
n2,1,0.573683,0.316558,[10  5] ; [18  6],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
p1,1,0.589874,0.290541,[ 7 36] ; [11 75],[ 6. 37.] ; [12. 74.],0
v4,1,0.593549,0.284836,[40  3] ; [81  4],[40.6484375  2.3515625] ; [80.3515625  4.6484375],0
v3,1,0.614039,0.254336,[12 30] ; [21 65],[10.828125 31.171875] ; [22.171875 63.828125],0
s2,1,0.654178,0.200673,[23 20] ; [49 36],[24.1875 18.8125] ; [47.8125 37.1875],0
s3,1,0.665007,0.187498,[27 16] ; [50 35],[25.8671875 17.1328125] ; [51.1328125 33.8671875],0
p3,1,0.6992,0.149306,[28 15] ; [53 33],[27. 16.] ; [54. 32.],0
