Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.008394,[79 10] ; [ 8 22],[65.06722689 23.93277311] ; [21.93277311  8.06722689],1
r3,1,5.8e-05,16.164424,[82  6] ; [19 11],[75.3220339 12.6779661] ; [25.6779661  4.3220339],1
r2,1,0.000151,14.361503,[83  6] ; [19 10],[76.93220339 12.06779661] ; [25.06779661  3.93220339],1
v4,1,0.001289,10.357824,[81  8] ; [20 10],[75.53781513 13.46218487] ; [25.46218487  4.53781513],0
a1,1,0.016399,5.759562,[ 2 87] ; [ 4 26],[ 4.48739496 84.51260504] ; [ 1.51260504 28.48739496],0
p1,1,0.030772,4.665616,[ 4 84] ; [ 5 25],[ 6.71186441 81.28813559] ; [ 2.28813559 27.71186441],0
v2,1,0.040209,4.209052,[42 39] ; [ 9 21],[37.21621622 43.78378378] ; [13.78378378 16.21621622],0
p4,1,0.053252,3.735986,[38 50] ; [ 7 23],[33.55932203 54.44067797] ; [11.44067797 18.55932203],0
a5,1,0.06084,3.514346,[64 25] ; [16 14],[59.83193277 29.16806723] ; [20.16806723  9.83193277],0
d5,1,0.064408,3.42008,[75 13] ; [21  9],[71.59322034 16.40677966] ; [24.40677966  5.59322034],0
s4,1,0.066394,3.369985,[ 9 80] ; [ 7 23],[11.96638655 77.03361345] ; [ 4.03361345 25.96638655],0
p8,1,0.071232,3.254398,[38 48] ; [ 7 21],[33.94736842 52.05263158] ; [11.05263158 16.94736842],0
p3,1,0.095824,2.773707,[33 55] ; [ 6 23],[29.33333333 58.66666667] ; [ 9.66666667 19.33333333],0
p2,1,0.117211,2.454202,[66 22] ; [18 12],[62.6440678 25.3559322] ; [21.3559322  8.6440678],0
s6,1,0.126082,2.340089,[47 42] ; [11 19],[43.37815126 45.62184874] ; [14.62184874 15.37815126],0
a6,1,0.127938,2.317348,[73 15] ; [21  9],[70.10169492 17.89830508] ; [23.89830508  6.10169492],0
d1,1,0.18685,1.742281,[48 41] ; [12 18],[44.87394958 44.12605042] ; [15.12605042 14.87394958],0
p7,1,0.19043,1.714286,[45 39] ; [11 17],[42. 42.] ; [14. 14.],0
