Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000326,12.916667,[114  10] ; [21 10],[108.  16.] ; [27.  4.],1
r4,1,0.000617,11.724157,[86 39] ; [11 20],[77.72435897 47.27564103] ; [19.27564103 11.72435897],1
n4,1,0.001102,10.648258,[91 34] ; [13 18],[83.33333333 41.66666667] ; [20.66666667 10.33333333],0
b1,1,0.006169,7.50013,[43 82] ; [19 12],[49.67948718 75.32051282] ; [12.32051282 18.67948718],0
a5,1,0.007181,7.22716,[70 55] ; [ 9 22],[63.30128205 61.69871795] ; [15.69871795 15.30128205],0
p10,1,0.009013,6.820223,[99 24] ; [18 13],[93.44805195 29.55194805] ; [23.55194805  7.44805195],0
v3,1,0.010547,6.540061,[42 83] ; [ 3 27],[36.29032258 88.70967742] ; [ 8.70967742 21.29032258],0
d5,1,0.014428,5.985028,[92 32] ; [16 15],[86.4 37.6] ; [21.6  9.4],0
p3,1,0.026814,4.902733,[64 61] ; [ 9 22],[58.49358974 66.50641026] ; [14.50641026 16.49358974],0
p8,1,0.044482,4.038153,[62 61] ; [ 9 21],[57.07843137 65.92156863] ; [13.92156863 16.07843137],0
d1,1,0.050617,3.820886,[52 73] ; [ 7 24],[47.27564103 77.72435897] ; [11.72435897 19.27564103],0
u2,1,0.059155,3.560916,[23 29] ; [12  5],[26.37681159 25.62318841] ; [8.62318841 8.37681159],0
r2,1,0.072,3.236837,[102  20] ; [20  9],[98.56953642 23.43046358] ; [23.43046358  5.56953642],0
p9,1,0.072391,3.227965,[109  16] ; [23  8],[105.76923077  19.23076923] ; [26.23076923  4.76923077],0
p11,1,0.085335,2.960252,[99 26] ; [20 11],[95.3525641 29.6474359] ; [23.6474359  7.3525641],0
n5,1,0.085751,2.952381,[88 36] ; [17 14],[84. 40.] ; [21. 10.],0
p4,1,0.089697,2.879803,[73 51] ; [13 18],[68.8 55.2] ; [17.2 13.8],0
u3,1,0.106099,2.611387,[19 33] ; [10  7],[21.85507246 30.14492754] ; [7.14492754 9.85507246],0
s4,1,0.114941,2.484936,[ 24 101] ; [10 21],[27.24358974 97.75641026] ; [ 6.75641026 24.24358974],0
d3,1,0.124086,2.364972,[73 51] ; [13 17],[69.24675325 54.75324675] ; [16.75324675 13.24675325],0
b3,1,0.130196,2.290171,[25 46] ; [ 3 15],[22.33707865 48.66292135] ; [ 5.66292135 12.33707865],0
b2,1,0.130196,2.290171,[25 46] ; [ 3 15],[22.33707865 48.66292135] ; [ 5.66292135 12.33707865],0
a4,1,0.166933,1.910269,[40 85] ; [ 6 25],[36.85897436 88.14102564] ; [ 9.14102564 21.85897436],0
a3,1,0.196028,1.671722,[72 52] ; [14 17],[68.8 55.2] ; [17.2 13.8],0
b4,1,0.276286,1.185267,[74 51] ; [15 16],[71.31410256 53.68589744] ; [17.68589744 13.31410256],0
n1,1,0.282209,1.156422,[11 26] ; [6 7],[12.58 24.42] ; [4.42 8.58],0
d4,1,0.284573,1.145118,[89 36] ; [19 12],[86.53846154 38.46153846] ; [21.46153846  9.53846154],0
d2,1,0.320643,0.986323,[44 81] ; [ 8 23],[41.66666667 83.33333333] ; [10.33333333 20.66666667],0
v2,1,0.324284,0.971589,[54 71] ; [10 20],[51.61290323 73.38709677] ; [12.38709677 17.61290323],0
p5,1,0.374849,0.787528,[ 15 110] ; [ 2 29],[ 13.62179487 111.37820513] ; [ 3.37820513 27.62179487],0
v4,1,0.450726,0.568825,[114  11] ; [26  4],[112.90322581  12.09677419] ; [27.09677419  2.90322581],0
p1,1,0.497453,0.460366,[  8 117] ; [ 1 30],[  7.21153846 117.78846154] ; [ 1.78846154 29.21153846],0
s6,1,0.500517,0.453839,[70 50] ; [16 15],[68.34437086 51.65562914] ; [17.65562914 13.34437086],0
b5,1,0.526474,0.401192,[77 48] ; [21 10],[78.52564103 46.47435897] ; [19.47435897 11.52564103],0
v1,1,0.535953,0.383092,[54 68] ; [11 18],[52.51655629 69.48344371] ; [12.48344371 16.51655629],0
