Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.067571,3.341056,[4 1] ; [ 66 102],[2.02312139 2.97687861] ; [ 67.97687861 100.02312139],0
r1,1,0.127606,2.321395,[1 4] ; [91 76],[2.6744186 2.3255814] ; [89.3255814 77.6744186],0
s1,1,0.134188,2.243373,[1 4] ; [  8 158],[0.26315789 4.73684211] ; [  8.73684211 157.26315789],0
s7,1,0.224652,1.474406,[2 3] ; [ 29 129],[0.95092025 4.04907975] ; [ 30.04907975 127.95092025],0
p4,1,0.231741,1.430145,[3 2] ; [ 57 110],[1.74418605 3.25581395] ; [ 58.25581395 108.74418605],0
b4,1,0.252615,1.308784,[4 1] ; [91 77],[2.74566474 2.25433526] ; [92.25433526 75.74566474],0
d3,1,0.264232,1.246446,[4 1] ; [91 75],[2.77777778 2.22222222] ; [92.22222222 73.77777778],0
a5,1,0.273907,1.197077,[4 1] ; [93 75],[2.80346821 2.19653179] ; [94.19653179 73.80346821],0
p10,1,0.280057,1.166812,[4 1] ; [93 74],[2.81976744 2.18023256] ; [94.18023256 72.81976744],0
v4,1,0.287437,1.131588,[3 2] ; [133  34],[3.95348837 1.04651163] ; [132.04651163  34.95348837],0
p11,1,0.307814,1.040031,[4 1] ; [96 72],[2.89017341 2.10982659] ; [97.10982659 70.89017341],0
s5,1,0.33464,0.930858,[1 4] ; [ 13 151],[0.41420118 4.58579882] ; [ 13.58579882 150.41420118],0
a6,1,0.369765,0.804455,[4 1] ; [101  67],[3.03468208 1.96531792] ; [101.96531792  66.03468208],0
d2,1,0.37891,0.774237,[3 2] ; [67 99],[2.04678363 2.95321637] ; [67.95321637 98.04678363],0
p9,1,0.389037,0.741951,[4 1] ; [100  64],[3.07692308 1.92307692] ; [100.92307692  63.07692308],0
r3,1,0.389342,0.740997,[3 2] ; [128  39],[3.80813953 1.19186047] ; [127.19186047  39.80813953],0
n5,1,0.391257,0.735032,[4 1] ; [102  65],[3.08139535 1.91860465] ; [102.91860465  64.08139535],0
n4,1,0.396521,0.71885,[4 1] ; [103  65],[3.09248555 1.90751445] ; [103.90751445  64.09248555],0
a3,1,0.401339,0.704312,[2 3] ; [97 68],[2.91176471 2.08823529] ; [96.08823529 68.91176471],0
a7,1,0.405041,0.69331,[4 1] ; [103  64],[3.11046512 1.88953488] ; [103.88953488  63.11046512],0
u3,1,0.432344,0.616519,[2 1] ; [31 40],[1.33783784 1.66216216] ; [31.66216216 39.33783784],0
s3,1,0.46442,0.535222,[2 3] ; [ 42 123],[1.29411765 3.70588235] ; [ 42.70588235 122.29411765],0
s8,1,0.475775,0.508533,[1 4] ; [ 17 151],[0.52023121 4.47976879] ; [ 17.47976879 150.52023121],0
d5,1,0.478527,0.502218,[4 1] ; [108  59],[3.25581395 1.74418605] ; [108.74418605  58.25581395],0
p2,1,0.520976,0.411961,[2 2] ; [110  58],[2.60465116 1.39534884] ; [109.39534884  58.60465116],0
u2,1,0.620909,0.244592,[1 2] ; [34 37],[1.41891892 1.58108108] ; [33.58108108 37.41891892],0
p3,1,0.629363,0.232925,[2 3] ; [ 50 117],[1.51162791 3.48837209] ; [ 50.48837209 116.51162791],0
n1,1,0.651015,0.204623,[1 1] ; [20 38],[0.7 1.3] ; [20.3 37.7],0
n6,1,0.66881,0.182997,[3 1] ; [108  59],[2.59649123 1.40350877] ; [108.40350877  58.59649123],0
p8,1,0.718552,0.129884,[2 3] ; [ 54 113],[1.62790698 3.37209302] ; [ 54.37209302 112.62790698],0
a2,1,0.720256,0.128247,[1 4] ; [ 24 144],[0.72254335 4.27745665] ; [ 24.27745665 143.72254335],0
n2,1,0.792065,0.069501,[1 1] ; [35 24],[1.18032787 0.81967213] ; [34.81967213 24.18032787],0
s2,1,0.793276,0.068675,[1 4] ; [ 26 140],[0.78947368 4.21052632] ; [ 26.21052632 139.78947368],0
a4,1,0.829682,0.046272,[2 3] ; [ 59 108],[1.77325581 3.22674419] ; [ 59.22674419 107.77325581],0
n3,1,0.841142,0.040173,[1 1] ; [32 24],[1.13793103 0.86206897] ; [31.86206897 24.13793103],0
v1,1,0.925272,0.008797,[1 3] ; [ 45 121],[1.08235294 2.91764706] ; [ 44.91764706 121.08235294],0
b1,1,0.940609,0.005551,[2 3] ; [70 98],[2.08092486 2.91907514] ; [69.91907514 98.08092486],0
b5,1,0.952764,0.003509,[3 2] ; [103  65],[3.06358382 1.93641618] ; [102.93641618  65.06358382],0
p7,1,0.98705,0.000263,[2 3] ; [67 99],[2.01754386 2.98245614] ; [66.98245614 99.01754386],0
