Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.166667,[50 10] ; [ 8 19],[40. 20.] ; [18.  9.],1
n6,1,0.003762,8.395097,[45 14] ; [12 15],[39.10465116 19.89534884] ; [17.89534884  9.10465116],0
a7,1,0.005953,7.564357,[43 17] ; [11 16],[37.24137931 22.75862069] ; [16.75862069 10.24137931],0
a6,1,0.020896,5.335483,[37 21] ; [10 17],[32.07058824 25.92941176] ; [14.92941176 12.07058824],0
p7,1,0.025941,4.959975,[29 27] ; [ 7 20],[24.28915663 31.71084337] ; [11.71084337 15.28915663],0
b1,1,0.032963,4.547704,[37 23] ; [10 17],[32.4137931 27.5862069] ; [14.5862069 12.4137931],0
b2,1,0.038677,4.275,[12 33] ; [7 5],[15. 30.] ; [4. 8.],0
b3,1,0.038677,4.275,[12 33] ; [7 5],[15. 30.] ; [4. 8.],0
s8,1,0.051682,3.786044,[33 26] ; [ 9 18],[28.81395349 30.18604651] ; [13.18604651 13.81395349],0
p10,1,0.052844,3.748849,[43 17] ; [13 13],[39.06976744 20.93023256] ; [16.93023256  9.06976744],0
s4,1,0.059282,3.557347,[11 49] ; [10 17],[14.48275862 45.51724138] ; [ 6.51724138 20.48275862],0
a8,1,0.063494,3.443687,[11 48] ; [ 1 26],[ 8.23255814 50.76744186] ; [ 3.76744186 23.23255814],0
p11,1,0.071705,3.243546,[39 21] ; [12 15],[35.17241379 24.82758621] ; [15.82758621 11.17241379],0
u3,1,0.158834,1.985294,[13  5] ; [4 5],[11.33333333  6.66666667] ; [5.66666667 3.33333333],0
p9,1,0.161429,1.960787,[43 17] ; [14 11],[40.23529412 19.76470588] ; [16.76470588  8.23529412],0
r3,1,0.172425,1.861728,[52  8] ; [26  1],[53.79310345  6.20689655] ; [24.20689655  2.79310345],0
p3,1,0.224766,1.473679,[24 35] ; [ 7 19],[21.51764706 37.48235294] ; [ 9.48235294 16.51764706],0
p8,1,0.227032,1.459362,[13 46] ; [ 3 24],[10.97674419 48.02325581] ; [ 5.02325581 21.97674419],0
