Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,61.359497,[116  18] ; [ 8 29],[97.16959064 36.83040936] ; [26.83040936 10.16959064],1
p11,1,6.3e-05,16.019047,[107  28] ; [17 20],[97.3255814 37.6744186] ; [26.6744186 10.3255814],1
p2,1,0.000151,14.354973,[107  27] ; [18 19],[97.95321637 36.04678363] ; [27.04678363  9.95321637],1
s6,1,0.001738,9.807867,[93 40] ; [15 21],[84.99408284 48.00591716] ; [23.00591716 12.99408284],0
s8,1,0.001843,9.700144,[61 74] ; [ 6 30],[52.89473684 82.10526316] ; [14.10526316 21.89473684],0
b1,1,0.003061,8.770804,[41 94] ; [21 16],[48.6627907 86.3372093] ; [13.3372093 23.6627907],0
n6,1,0.008499,6.925176,[106  27] ; [21 15],[99.94674556 33.05325444] ; [27.05325444  8.94674556],0
v4,1,0.009383,6.748478,[128   6] ; [29  6],[124.4852071   9.5147929] ; [32.5147929  2.4852071],0
r4,1,0.012365,6.257775,[118  17] ; [26 11],[113.02325581  21.97674419] ; [30.97674419  6.02325581],0
p8,1,0.014398,5.988722,[50 83] ; [ 6 31],[43.81176471 89.18823529] ; [12.18823529 24.81176471],0
s1,1,0.020665,5.354814,[  5 130] ; [ 5 31],[  7.89473684 127.10526316] ; [ 2.10526316 33.89473684],0
s5,1,0.032129,4.591581,[46 84] ; [ 6 30],[40.72289157 89.27710843] ; [11.27710843 24.72289157],0
r2,1,0.042241,4.125534,[129   4] ; [32  4],[126.70414201   6.29585799] ; [34.29585799  1.70414201],0
n5,1,0.080687,3.051016,[95 39] ; [20 16],[90.64705882 43.35294118] ; [24.35294118 11.64705882],0
s2,1,0.10868,2.573316,[67 67] ; [13 24],[62.69005848 71.30994152] ; [17.30994152 19.69005848],0
a7,1,0.123514,2.372189,[90 45] ; [19 17],[86.05263158 48.94736842] ; [22.94736842 13.05263158],0
p1,1,0.143048,2.144863,[ 14 121] ; [ 1 36],[ 11.77325581 123.22674419] ; [ 3.22674419 33.77325581],0
p6,1,0.153226,2.039835,[ 29 101] ; [ 4 31],[ 26. 104.] ; [ 7. 28.],0
